ID,GarrPlotID,GarrBuildingID
11,14,8
14,14,9
17,14,10
50,13,24
51,13,25
52,14,26
53,14,27
54,14,28
60,13,34
61,13,35
62,13,36
63,14,37
64,14,38
65,14,39
66,13,40
67,13,41
71,12,51
72,12,52
73,12,60
80,14,65
81,14,66
82,14,67
103,12,76
114,12,90
115,12,91
119,12,93
120,12,94
121,12,95
122,12,96
134,13,111
135,12,117
136,12,118
137,12,119
138,12,120
139,12,121
140,12,122
141,12,123
142,12,124
143,12,125
144,12,126
145,12,127
146,12,128
147,12,129
148,12,130
149,12,131
150,12,132
151,13,133
152,13,138
154,12,140
155,12,141
156,12,142
157,12,143
158,13,144
159,13,145
160,28,61
161,28,62
162,28,63
163,29,136
164,29,137
165,29,29
172,42,42
173,13,159
174,13,160
175,13,161
176,14,162
177,14,163
178,14,164
189,42,167
190,42,168
191,31,64
192,31,134
193,31,135
256,56,205
257,56,206
258,56,207
