ID,Text_lang,RelationshipFlags,EmotesTextID
1,%s agrees with %s.,0,1
2,%s agrees with you.,1,1
3,You agree with %s.,2,1
4,%s agrees.,4,1
5,You agree.,6,1
6,%s is amazed by %s!,0,2
7,%s is amazed by you!,1,2
8,You are amazed by %s!,2,2
9,%s is amazed!,4,2
10,You are amazed!,6,2
11,%s raises his fist in anger at %s.,0,3
12,%s raises his fist in anger at you.,1,3
13,You raise your fist in anger at %s.,2,3
14,%s raises his fist in anger.,4,3
15,You raise your fist in anger.,6,3
16,%s raises her fist in anger at %s.,8,3
17,%s raises her fist in anger at you.,9,3
18,%s raises her fist in anger.,12,3
19,%s apologizes to %s. Sorry!,0,4
20,%s apologizes to you. Sorry!,1,4
21,You apologize to %s. Sorry!,2,4
22,%s apologizes to everyone. Sorry!,4,4
23,You apologize to everyone. Sorry!,6,4
24,%s applauds at %s. Bravo!,0,5
25,%s applauds at you. Bravo!,1,5
26,You applaud at %s. Bravo!,2,5
27,%s applauds. Bravo!,4,5
28,You applaud. Bravo!,6,5
29,%s is so bashful...too bashful to get %s's attention.,0,6
30,%s is so bashful...too bashful to get your attention.,1,6
31,You are so bashful...too bashful to get %s's attention.,2,6
32,%s is bashful.,4,6
33,You are bashful.,6,6
34,%s beckons %s over.,0,7
35,%s beckons you over.,1,7
36,You beckon %s over.,2,7
37,%s beckons everyone over.,4,7
38,You beckon everyone over to you.,6,7
39,%s begs %s. How pathetic.,0,8
40,%s begs you. How pathetic.,1,8
41,You beg %s. How pathetic.,2,8
42,%s begs everyone around him. How pathetic.,4,8
43,You beg everyone around you. How pathetic.,6,8
44,%s begs everyone around her. How pathetic.,12,8
45,%s bites %s. Ouch!,0,9
46,%s bites you. Ouch!,1,9
47,You bite %s. Ouch!,2,9
48,%s looks around for someone to bite.,4,9
49,You look around for someone to bite.,6,9
50,Blood oozes from %s's wounds.,4,10
51,Blood oozes from your wounds.,6,10
52,%s blinks at %s.,0,11
53,%s blinks at you.,1,11
54,You blink at %s.,2,11
55,%s blinks.,4,11
56,You blink your eyes.,6,11
57,%s blushes at %s.,0,12
58,%s blushes at you.,1,12
59,You blush at %s.,2,12
60,%s blushes.,4,12
61,You blush.,6,12
62,%s bonks %s on the noggin. Doh!,0,13
63,%s bonks you on the noggin. Doh!,1,13
64,You bonk %s on the noggin. Doh!,2,13
65,%s bonks his own noggin. Doh!,4,13
66,You bonk yourself on the noggin. Doh!,6,13
67,%s bonks her own noggin. Doh!,12,13
68,%s is terribly bored with %s.,0,14
69,%s is terribly bored with you.,1,14
70,You are terribly bored with %s.,2,14
71,%s is overcome with boredom.  Oh the drudgery!,4,14
72,You are overcome with boredom.  Oh the drudgery!,6,14
73,%s bounces up and down in front of %s.,0,15
74,%s bounces up and down in front of you.,1,15
75,You bounce up and down in front of %s.,2,15
76,%s bounces up and down.,4,15
77,You bounce up and down.,6,15
78,"%s will be right back. Sit tight, %s.",0,16
79,%s will be right back. Sit tight.,1,16
80,You let %s know you'll be right back.,2,16
81,%s will be right back.,4,16
82,You let everyone know you'll be right back.,6,16
83,%s bows before %s.,0,17
84,%s bows before you.,1,17
85,You bow before %s.,2,17
86,%s bows down graciously.,4,17
87,You bow down graciously.,6,17
91,%s lets out a loud belch.,4,18
92,You let out a loud belch.,6,18
93,%s waves goodbye to %s. Farewell!,0,19
94,%s waves goodbye to you. Farewell!,1,19
