ID,ChildItemID,ItemID,ArtifactID
1,0,120978,2
2,127830,127829,3
3,0,127857,4
4,128288,128289,11
5,128293,128292,12
6,0,128306,13
7,0,128402,15
8,0,128403,16
9,128479,128476,17
10,0,128808,34
11,128873,128819,41
12,133959,128820,54
13,128822,128821,57
14,0,128823,48
15,0,128825,45
16,0,128826,55
17,133958,128827,47
18,128831,128832,60
19,0,128858,59
20,128859,128860,58
21,0,128861,56
22,0,128862,53
23,128867,128866,49
24,0,128868,46
25,128869,128870,43
26,134552,128872,44
27,134553,128908,35
28,0,128910,36
29,128934,128911,42
30,128936,128935,40
31,0,128937,51
32,0,128938,52
33,133948,128940,50
34,0,128941,38
35,0,128942,39
36,137246,128943,37
