ID,JournalTierID,JournalInstanceID,OrderIndex,AvailabilityCondition
345,73,66,0,0
346,73,63,0,0
348,73,70,0,0
349,73,69,0,0
350,73,64,0,0
351,73,67,0,0
352,73,68,0,0
353,73,65,0,0
354,73,77,0,0
355,73,76,0,0
361,73,71,0,0
429,73,184,0,0
430,73,185,0,0
431,73,186,0,0
439,68,227,0,0
440,68,228,0,0
441,68,229,0,0
442,68,230,0,0
443,68,231,0,0
444,68,232,0,0
445,68,226,0,0
446,68,233,0,0
447,68,234,0,0
449,68,236,0,0
450,68,237,0,0
451,68,238,0,0
452,68,239,0,0
453,68,240,0,0
454,68,241,0,0
460,70,247,0,0
461,70,248,0,0
462,70,249,0,0
463,70,250,0,0
464,70,251,0,0
465,70,252,0,0
466,70,253,0,0
467,70,254,0,0
468,70,255,0,0
469,70,256,0,0
470,70,257,0,0
471,70,258,0,0
472,70,259,0,0
473,70,260,0,0
474,70,261,0,0
475,70,262,0,0
484,72,271,0,0
485,72,272,0,0
486,72,273,0,0
487,72,274,0,0
488,72,275,0,0
489,72,276,0,0
490,72,277,0,0
491,72,278,0,0
492,72,279,0,0
493,72,280,0,0
494,72,281,0,0
495,72,282,0,0
496,72,283,0,0
497,72,284,0,0
498,72,285,0,0
499,72,286,0,0
513,74,302,0,0
528,74,313,0,0
531,74,321,0,0
533,73,75,0,0
534,73,72,0,0
535,73,73,0,0
536,73,187,0,0
537,73,78,0,0
538,73,74,0,0
539,74,317,1,140395
541,74,322,6,0
544,74,303,0,0
545,74,324,0,0
546,74,330,2,140395
547,74,320,3,140395
549,74,312,0,0
561,68,311,0,0
562,68,316,0,0
563,68,246,0,0
700,74,362,4,140398
720,74,369,5,140400
1534,74,246,0,0
1535,74,311,0,0
1536,74,316,0,0
