ID,DifficultyID,InterruptFlags,AuraInterruptFlags[0],AuraInterruptFlags[1],ChannelInterruptFlags[0],ChannelInterruptFlags[1],SpellID
8010,0,1,0,0,15420,0,42598
8011,0,31,0,0,0,0,42609
8257,0,0,8916992,0,0,0,43680
8258,0,0,8916992,0,0,0,43681
8526,0,15,0,0,0,0,44950
8527,0,15,0,0,0,0,44953
8529,0,15,0,0,0,0,44958
23310,0,31,0,0,0,0,104047
23312,0,31,0,0,0,0,104049
63181,0,0,8916992,0,0,0,219003
63182,0,0,8916992,0,0,0,219004
123482,0,15,0,0,0,0,540
123483,0,15,0,0,0,0,541
123485,0,8,0,0,0,0,543
123486,0,15,0,0,0,0,134
123487,0,15,0,0,0,0,10015
123489,0,15,0,0,0,0,490
123495,0,31,128,0,0,0,459
123499,0,13,0,0,0,0,428
123500,0,15,0,0,0,0,172
123502,0,15,0,0,0,0,184
123503,0,15,0,0,0,0,403
123504,0,15,0,0,0,0,597
123505,0,15,0,0,0,0,598
123506,0,15,0,0,0,0,575
123509,0,15,0,0,0,0,481
123512,0,8,0,0,0,0,139
123513,0,13,0,0,0,0,446
123514,0,13,0,0,0,0,447
123515,0,5,0,0,0,0,450
123516,0,15,0,0,0,0,556
123520,0,15,0,0,0,0,560
123521,0,15,0,0,0,0,561
123522,0,9,0,0,31756,0,136
123523,0,15,0,0,0,0,512
123524,0,15,0,0,0,0,513
123525,0,15,0,0,0,0,519
123529,0,15,0,0,15420,0,126
123530,0,8,0,0,0,0,130
123531,0,8,0,0,0,0,132
123532,0,15,0,0,0,0,520
123538,0,15,0,0,0,0,228
123539,0,8,0,0,0,0,246
123540,0,31,128,0,0,0,581
123541,0,15,0,0,0,0,585
123542,0,8,0,0,0,0,586
123543,0,15,0,0,0,0,587
123544,0,15,0,0,0,0,113
123545,0,15,0,0,0,0,688
123546,0,15,0,0,31756,0,10
123547,0,8,0,0,0,0,467
123548,0,31,128,0,0,0,468
123550,0,15,0,0,0,0,116
123551,0,13,0,0,0,0,34
123552,0,13,0,0,0,0,35
123553,0,15,0,0,0,0,50
123555,0,15,0,0,0,0,537
123557,0,13,0,0,0,0,555
123558,0,15,0,0,0,0,133
123559,0,15,0,0,0,0,143
123560,0,15,0,0,0,0,145
123561,0,1,262272,0,0,0,433
123563,0,0,163842,0,0,0,546
123564,0,15,0,0,0,0,547
123565,0,15,0,0,0,0,548
123568,0,15,0,0,0,0,491
123570,0,31,128,0,0,0,578
123571,0,31,128,0,0,0,579
123572,0,31,128,0,0,0,580
123574,0,15,0,0,0,0,612
123575,0,15,0,0,0,0,635
123576,0,15,0,0,0,0,493
123579,0,8,0,0,0,0,89
123580,0,15,0,0,0,0,624
123581,0,15,0,0,0,0,625
123582,0,15,0,0,0,0,626
123583,0,8,0,0,0,0,589
123584,0,15,0,0,0,0,613
123585,0,15,0,0,0,0,614
123586,0,15,0,0,0,0,615
123587,0,15,0,0,0,0,616
123589,0,15,0,0,0,0,627
123590,0,8,0,0,0,0,603
123592,0,15,0,0,0,0,618
123595,0,15,0,0,31756,0,689
123597,0,15,0,0,0,0,591
123598,0,13,0,0,0,0,443
123599,0,13,0,0,0,0,444
123600,0,13,0,0,0,0,445
123601,0,15,0,0,0,0,339
123603,0,15,0,0,0,0,721
123606,0,15,0,0,0,0,724
123607,0,15,0,0,0,0,596
123608,0,8,0,0,0,0,552
123609,0,8,0,0,0,0,594
123610,0,31,128,0,0,0,458
123611,0,13,2,0,0,0,16
123612,0,1,0,0,0,0,75
123613,0,1,0,0,0,0,77
123614,0,15,0,0,0,0,421
123615,0,15,0,0,0,0,639
123618,0,13,0,0,0,0,33
123619,0,8,0,0,0,0,453
123620,0,0,64,0,0,0,454
123621,0,15,0,0,0,0,455
123622,0,8,0,0,0,0,122
123624,0,15,0,0,0,0,506
123626,0,8,0,0,0,0,439
123627,0,8,0,0,0,0,440
123628,0,8,0,0,0,0,441
123629,0,13,0,0,0,0,442
123630,0,13,0,0,0,0,31
123631,0,15,0,0,0,0,538
123632,0,8,0,0,0,0,602
123633,0,15,0,0,0,0,606
123638,0,15,0,0,0,0,931
123641,0,15,0,0,0,0,913
123644,0,15,0,0,0,0,982
123646,0,15,0,0,0,0,984
123648,0,31,128,0,0,0,470
123649,0,31,128,0,0,0,471
123650,0,31,128,0,0,0,472
123651,0,8,0,0,0,0,527
123652,0,8,0,0,0,0,528
123654,0,15,0,0,0,0,693
123657,0,8,0,0,0,0,696
123659,0,7,0,0,0,0,59
123660,0,7,0,0,0,0,60
123661,0,7,0,0,0,0,61
123662,0,15,80899,0,0,0,66
123664,0,15,0,0,0,0,1096
123670,0,15,0,0,0,0,697
123671,0,15,0,0,15374,0,698
123672,0,15,0,0,0,0,711
123673,0,15,0,0,0,0,650
123674,0,15,0,0,0,0,874
123676,0,15,0,0,0,0,924
123677,0,15,0,0,0,0,926
123680,0,15,0,0,0,0,1026
123681,0,15,0,0,0,0,1027
123682,0,15,0,0,0,0,1029
123683,0,15,0,0,0,0,695
123686,0,15,128,0,0,0,818
123687,0,15,0,0,0,0,930
123689,0,15,0,0,0,0,686
123690,0,15,0,0,0,0,707
123691,0,15,0,0,31756,0,709
123692,0,15,0,0,0,0,647
123694,0,15,0,0,0,0,877
123697,0,1,262272,0,0,0,833
123698,0,0,128,1048576,0,0,783
123699,0,8,0,0,0,0,687
123700,0,15,0,0,0,0,789
123701,0,15,2,0,0,0,700
123702,0,15,0,0,0,0,701
123703,0,15,0,0,0,0,659
123708,0,15,0,0,0,0,915
123710,0,15,0,0,0,0,932
123713,0,15,0,0,0,0,784
123714,0,11,0,0,0,0,785
123716,0,15,0,0,0,0,1037
123717,0,15,0,0,0,0,1094
123718,0,15,0,0,0,0,661
123719,0,15,0,0,0,0,663
123720,0,15,0,0,0,0,664
123721,0,15,0,0,0,0,657
123723,0,15,0,0,0,0,1042
123727,0,15,0,0,0,0,1023
123728,0,0,2,0,15374,0,746
123730,0,15,0,0,0,0,936
123731,0,1,262272,0,0,0,430
