ID,RaceID,ClassID,SexID,SoundID,EmotesTextID
12,1,0,1,7894,85
17,1,0,0,7914,85
18,3,0,0,7918,85
19,3,0,1,7917,85
20,4,0,1,7915,85
21,4,0,0,7916,85
22,7,0,1,7919,85
23,7,0,0,7920,85
24,2,0,1,7921,85
25,2,0,0,7922,85
26,5,0,1,7927,85
27,5,0,0,7928,85
28,6,0,1,7925,85
29,6,0,0,7926,85
30,8,0,1,7923,85
31,8,0,0,7924,85
33,6,0,0,7930,226
34,6,0,1,7929,226
35,1,0,1,7951,14
36,1,0,0,7952,14
37,3,0,1,7947,14
38,3,0,0,7948,14
39,4,0,1,7953,14
40,4,0,0,7954,14
41,7,0,1,7949,14
43,7,0,0,7950,14
44,2,0,1,7955,14
45,2,0,0,7956,14
46,5,0,1,7962,14
48,5,0,0,7961,14
49,6,0,1,7957,14
50,6,0,0,7958,14
51,8,0,1,7959,14
52,8,0,0,7960,14
53,1,0,1,7967,104
54,1,0,0,7968,104
55,3,0,1,7963,104
56,3,0,0,7964,104
57,4,0,1,7969,104
58,4,0,0,7970,104
59,7,0,1,7965,104
60,7,0,0,7966,104
61,2,0,1,7971,104
62,2,0,0,7972,104
63,5,0,1,7977,104
64,5,0,0,7978,104
65,6,0,1,7973,104
66,6,0,0,7974,104
67,8,0,1,7975,104
68,8,0,0,7976,104
69,3,0,1,7935,106
70,3,0,0,7936,106
71,7,0,1,7937,106
72,7,0,0,7938,106
73,1,0,1,7931,106
74,1,0,0,7932,106
75,4,0,1,7933,106
76,4,0,0,7934,106
77,2,0,1,7939,106
78,2,0,0,7940,106
79,5,0,1,7941,106
80,5,0,0,7942,106
81,6,0,1,7945,106
82,6,0,0,7946,106
83,8,0,1,7943,106
84,8,0,0,7944,106
85,1,0,0,2668,303
86,1,0,1,2680,303
87,2,0,0,2692,303
88,2,0,1,2704,303
89,3,0,0,2716,303
90,3,0,1,2728,303
91,4,0,0,2740,303
92,4,0,1,2752,303
93,5,0,0,2764,303
94,5,0,1,2776,303
95,6,0,0,2788,303
96,6,0,1,2801,303
97,7,0,0,2826,303
98,7,0,1,2838,303
99,8,0,0,2850,303
100,8,0,1,2862,303
101,1,0,0,2669,304
102,1,0,1,2681,304
103,2,0,0,2693,304
104,2,0,1,2705,304
105,3,0,0,2717,304
106,3,0,1,2729,304
107,4,0,0,2741,304
108,4,0,1,2753,304
109,5,0,0,2765,304
110,5,0,1,2777,304
111,6,0,0,2789,304
112,6,0,1,2802,304
113,7,0,0,2827,304
114,7,0,1,2839,304
115,8,0,0,2851,304
116,8,0,1,2863,304
117,1,0,0,2670,305
118,1,0,1,2682,305
119,2,0,0,2694,305
120,2,0,1,2706,305
121,3,0,0,2718,305
122,3,0,1,2730,305
123,4,0,0,2742,305
124,4,0,1,2754,305
125,5,0,0,2766,305
126,5,0,1,2778,305
127,6,0,0,2790,305
128,6,0,1,2803,305
129,7,0,0,2828,305
130,7,0,1,2840,305
131,8,0,0,2852,305
132,8,0,1,2864,305
133,1,0,0,2671,306
134,1,0,1,2683,306
135,2,0,0,2695,306
136,2,0,1,2707,306
137,3,0,0,2719,306
138,3,0,1,2731,306
139,4,0,0,2743,306
140,4,0,1,2755,306
141,5,0,0,2767,306
142,5,0,1,2779,306
143,6,0,0,2791,306
144,6,0,1,2804,306
145,7,0,0,2829,306
146,7,0,1,2841,306
147,8,0,0,2853,306
148,8,0,1,2865,306
149,1,0,0,2672,307
150,1,0,1,2684,307
151,2,0,0,2696,307
152,2,0,1,2708,307
153,3,0,0,2720,307
154,3,0,1,2732,307
155,4,0,0,2744,307
156,4,0,1,2756,307
157,5,0,0,2768,307
158,5,0,1,2780,307
159,6,0,0,2792,307
160,6,0,1,2805,307
161,7,0,0,2830,307
162,7,0,1,2842,307
163,8,0,0,2854,307
164,8,0,1,2866,307
165,1,0,0,2673,323
166,1,0,1,2685,323
167,2,0,0,2697,323
168,2,0,1,2709,323
169,3,0,0,2721,323
170,3,0,1,2733,323
171,4,0,0,2745,323
172,4,0,1,2757,323
173,5,0,0,2769,323
174,5,0,1,2781,323
175,6,0,0,2793,323
176,6,0,1,2806,323
177,7,0,0,2831,323
178,7,0,1,2843,323
179,8,0,0,2855,323
180,8,0,1,2867,323
181,1,0,0,2674,324
182,1,0,1,2686,324
183,2,0,0,2698,324
184,2,0,1,2710,324
185,3,0,0,2722,324
186,3,0,1,2734,324
187,4,0,0,2746,324
188,4,0,1,2758,324
189,5,0,0,2770,324
190,5,0,1,2782,324
191,6,0,0,2794,324
192,6,0,1,2807,324
193,7,0,0,2832,324
194,7,0,1,2844,324
195,8,0,0,2856,324
196,8,0,1,2868,324
197,1,0,0,2675,325
198,1,0,1,2687,325
199,2,0,0,2699,325
200,2,0,1,2711,325
201,3,0,0,2723,325
202,3,0,1,2735,325
203,4,0,0,2747,325
204,4,0,1,2759,325
205,5,0,0,2771,325
206,5,0,1,2783,325
207,6,0,0,2795,325
208,6,0,1,2808,325
209,7,0,0,2833,325
210,7,0,1,2845,325
211,8,0,0,2857,325
212,8,0,1,2869,325
213,1,0,0,2676,326
214,1,0,1,2688,326
215,2,0,0,2700,326
216,2,0,1,2712,326
217,3,0,0,2724,326
218,3,0,1,2736,326
219,4,0,0,2748,326
220,4,0,1,2760,326
221,5,0,0,2772,326
222,5,0,1,2784,326
223,6,0,0,2796,326
224,6,0,1,2809,326
225,7,0,0,2834,326
226,7,0,1,2846,326
227,8,0,0,2858,326
228,8,0,1,2870,326
233,3,0,0,2725,21
234,3,0,1,2737,21
235,4,0,0,2749,21
236,4,0,1,2761,21
237,5,0,0,2773,21
238,5,0,1,2785,21
239,6,0,0,2797,21
240,6,0,1,2810,21
241,7,0,0,2835,21
242,7,0,1,2847,21
243,8,0,0,2859,21
244,8,0,1,2871,21
245,1,0,0,2678,327
246,1,0,1,2690,327
247,2,0,0,2702,327
248,2,0,1,2714,327
249,3,0,0,2726,327
250,3,0,1,2738,327
251,4,0,0,2750,327
252,4,0,1,2762,327
253,5,0,0,2774,327
254,5,0,1,2786,327
255,6,0,0,2799,327
256,6,0,1,2811,327
257,7,0,0,2836,327
258,7,0,1,2848,327
259,8,0,0,2860,327
260,8,0,1,2872,327
261,1,0,0,2679,183
262,1,0,1,2691,183
263,2,0,0,2703,183
264,2,0,1,2715,183
265,3,0,0,2727,183
266,3,0,1,2739,183
267,4,0,0,2751,183
268,4,0,1,2763,183
269,5,0,0,2775,183
