ID,ItemID,ItemAppearanceModifierID,ItemAppearanceID,OrderIndex,TransmogSourceTypeEnum
48336,92553,0,19967,0,0
77255,134017,0,9987,0,5
116764,185976,0,48327,0,6
116768,185977,0,48329,0,6
116769,185998,0,48322,0,6
116770,185999,0,48321,0,6
116771,186001,0,48324,0,6
116772,186002,0,48325,0,6
116784,186015,0,48328,0,6
116785,186016,0,48326,0,6
116786,186018,0,55082,0,6
116787,186019,0,55085,0,6
116788,186020,0,55083,0,6
116789,186021,0,55086,0,6
116790,186022,0,55089,0,6
116791,186023,0,55087,0,6
116792,186024,0,55090,0,6
116793,186025,0,55081,0,6
116794,186026,0,55095,0,6
116795,186027,0,55096,0,6
116796,186028,0,55097,0,6
116797,186029,0,55098,0,6
116798,186030,0,55099,0,6
116799,186031,0,55100,0,6
116800,186032,0,55101,0,6
116801,186033,0,55102,0,6
116802,186034,0,47086,0,6
116803,186035,0,47668,0,6
116804,186036,0,47083,0,6
116805,186037,0,47036,0,6
116806,186038,0,55091,0,6
116807,186039,0,47085,0,6
116808,186040,0,47667,0,6
116809,186041,0,47084,0,6
116811,186044,0,55103,0,6
116812,186045,0,47267,0,6
116813,186046,0,55088,0,6
116814,186047,0,48086,0,6
116815,186075,0,47267,0,6
116816,186076,0,55101,0,6
116818,186078,0,55095,0,6
116819,186079,0,55099,0,6
116820,186080,0,55096,0,6
116821,186081,0,47086,0,6
116822,186082,0,55091,0,6
116823,186083,0,47668,0,6
116824,186084,0,47667,0,6
116825,186085,0,48321,0,6
116826,186086,0,48327,0,6
116827,186087,0,48328,0,6
116828,186088,0,48329,0,6
116881,17,0,45701,0,0
116882,25,0,45702,0,0
116883,35,0,45703,0,0
116884,36,0,45704,0,0
116885,37,0,45705,0,0
116886,38,0,45706,0,0
116887,39,0,45707,0,0
116888,40,0,45708,0,0
116889,43,0,45709,0,0
116890,44,0,45710,0,0
116891,45,0,45711,0,0
116892,47,0,45712,0,0
116893,48,0,45713,0,0
116894,49,0,45714,0,0
116895,51,0,45715,0,0
116896,52,0,45716,0,0
116897,53,0,45717,0,0
116898,55,0,45718,0,0
116901,59,0,45721,0,0
116902,60,0,45722,0,0
116903,61,0,45723,0,0
116904,79,0,45724,0,0
116905,80,0,45725,0,0
116906,85,0,45726,0,0
116909,120,0,45728,0,0
116910,121,0,45729,0,0
116911,127,0,45730,0,0
116912,129,0,45731,0,0
116913,139,0,45732,0,0
116914,140,0,45733,0,0
116915,143,0,45734,0,0
116916,147,0,45735,0,0
116917,148,0,45736,0,0
116918,153,0,45737,0,0
116919,154,0,45738,0,0
116922,192,0,45739,0,0
116923,193,0,45740,0,0
116924,194,0,45741,0,0
116925,195,0,45742,0,0
116926,200,0,45743,0,0
116927,201,0,45744,0,0
116928,202,0,45745,0,0
116929,203,0,45746,0,0
116930,209,0,45747,0,0
116931,210,0,45748,0,0
116932,236,0,45749,0,0
116933,237,0,45750,0,0
116934,238,0,45751,0,0
116935,239,0,45752,0,0
116936,285,0,45753,0,0
116937,286,0,45754,0,0
116938,287,0,45755,0,0
116944,647,0,45756,0,0
116945,710,0,45757,0,0
116946,711,0,45758,0,0
116947,714,0,45759,0,0
116948,718,0,45760,0,0
