ID,SexID,ModelFileDataID,FaceVariationIndex,BoneSetFileDataID,RaceID
44,0,900914,0,1053744,7
45,0,900914,1,1053747,7
46,0,900914,2,1053741,7
47,0,900914,3,1053753,7
48,0,900914,4,1053749,7
49,0,900914,5,1053745,7
50,0,900914,6,1053750,7
51,0,900914,7,1053740,7
52,0,900914,8,1053742,7
53,0,900914,9,1053751,7
54,0,900914,10,1053746,7
55,0,900914,11,1053748,7
56,0,900914,12,1053752,7
57,0,900914,13,1053743,7
58,1,1022598,0,1053732,11
59,1,1022598,1,1053729,11
60,1,1022598,2,1053728,11
61,1,1022598,3,1053720,11
62,1,1022598,4,1053738,11
63,1,1022598,5,1053736,11
64,1,1022598,6,1053733,11
65,1,1022598,7,1053722,11
66,1,1022598,8,1053725,11
67,1,1022598,9,1053734,11
68,1,1022598,10,1053721,11
69,1,1022598,11,1053739,11
70,1,1022598,12,1053727,11
71,1,1022598,13,1053731,11
72,1,1022598,14,1053737,11
73,1,1022598,15,1053726,11
74,1,1022598,16,1053723,11
75,1,1022598,17,1053730,11
76,1,1022598,18,1053735,11
77,1,1022598,19,1053724,11
78,1,921844,0,1053758,4
81,1,921844,1,1053765,4
82,1,921844,2,1053756,4
83,1,921844,3,1053764,4
84,1,921844,4,1053769,4
85,1,921844,5,1053770,4
86,1,921844,6,1053754,4
87,1,921844,7,1053759,4
88,1,921844,8,1053757,4
89,1,921844,9,1053760,4
90,1,921844,10,1053766,4
91,1,921844,11,1053763,4
92,1,921844,12,1053755,4
93,1,921844,13,1053761,4
94,1,921844,14,1053768,4
95,1,921844,15,1053771,4
96,1,921844,16,1053767,4
97,1,921844,17,1053762,4
98,1,949470,0,1053782,2
99,1,949470,1,1053775,2
100,1,949470,2,1053789,2
101,1,949470,3,1053785,2
102,1,949470,4,1053783,2
103,1,949470,5,1053781,2
104,1,949470,6,1053779,2
105,1,949470,7,1053773,2
106,1,949470,8,1053790,2
107,1,949470,9,1053788,2
108,1,949470,10,1053776,2
109,1,949470,11,1053784,2
110,1,949470,12,1053787,2
111,1,949470,13,1053786,2
112,1,949470,14,1053774,2
113,1,949470,15,1053778,2
114,1,949470,17,1053777,2
115,0,917116,0,1054841,2
116,0,917116,1,1054837,2
117,0,917116,2,1054829,2
118,0,917116,3,1054833,2
119,0,917116,4,1054832,2
120,0,917116,5,1054836,2
121,0,917116,6,1054834,2
122,0,917116,7,1054839,2
123,0,917116,8,1054827,2
124,0,917116,9,1054831,2
125,0,917116,10,1054830,2
126,0,917116,11,1054838,2
127,0,917116,12,1054828,2
128,0,917116,13,1054826,2
129,0,917116,14,1054835,2
130,0,917116,15,1054840,2
131,0,917116,16,1054842,2
132,0,917116,17,1054825,2
