ID,SpellID,MawPowerRarityID
1,294578,1
2,294587,2
3,294588,3
4,294592,1
5,294593,2
6,294594,3
7,294597,1
8,294600,2
9,294601,3
10,294602,1
11,294603,2
12,294604,3
13,294609,1
14,294610,2
15,294611,3
16,293025,1
17,293026,2
18,293027,3
19,296140,4
20,297576,3
21,295754,3
22,296141,3
23,300730,3
24,300771,3
25,305273,3
26,297721,3
27,293156,2
28,293151,2
29,293167,2
30,293557,3
31,299419,2
33,296482,3
34,296515,3
35,293186,4
36,293192,2
37,293225,3
38,293999,2
39,294091,3
40,294148,2
41,296105,2
42,293853,2
43,293852,2
44,293563,2
45,293944,3
46,293596,3
47,295072,1
48,295073,2
49,295068,3
50,295187,3
51,294130,3
52,294422,1
53,295694,3
54,295732,3
55,295963,2
56,295965,2
57,295969,2
58,295997,2
59,297833,4
60,297877,4
61,294170,4
62,295568,4
63,294719,3
64,295978,4
65,295086,4
66,294887,4
67,296507,3
68,296504,3
70,296502,3
71,296499,3
72,296485,3
73,298690,2
74,298789,2
75,295948,3
76,298563,1
77,298561,1
78,298562,1
79,299391,1
80,299392,1
81,299393,1
82,298564,2
83,298576,2
84,298991,2
85,298685,2
86,298891,2
87,299388,2
88,298650,3
89,298581,3
90,298907,3
91,298911,3
92,298952,3
93,298692,3
94,298590,4
95,298572,4
96,298767,4
97,298803,4
98,298969,4
99,298883,3
100,298884,3
101,298885,3
102,298886,3
103,298887,4
104,299331,2
105,299340,2
106,299341,2
107,299325,3
108,299469,3
109,299625,3
110,299629,4
111,299630,2
112,299386,4
113,300793,3
114,300796,3
115,299049,3
116,299048,3
117,304845,3
119,295072,1
120,304917,3
121,304918,3
122,304992,3
123,304996,3
124,304998,3
125,305002,3
126,305004,3
127,305006,3
128,305008,3
129,305042,2
130,305044,2
131,305047,2
132,305050,2
133,305052,2
134,305054,3
135,305266,3
136,305269,3
137,297413,3
138,305274,3
139,305277,3
140,305282,3
141,305287,3
142,305288,3
143,305293,3
144,305308,3
145,306563,3
146,306571,3
147,306573,3
148,306575,3
149,306590,3
150,306591,2
151,306592,2
152,306593,2
153,342027,3
154,306604,4
155,306609,4
156,306615,4
157,306625,4
158,307595,2
159,307660,2
160,307597,2
161,307598,3
162,307605,4
163,307647,2
164,307661,3
165,307741,4
166,307738,3
167,308193,2
168,308194,2
169,308195,2
170,308196,2
171,308201,2
172,308203,2
173,308204,2
174,308205,3
175,308199,2
176,308200,2
177,308198,3
178,308202,4
179,306594,3
180,308197,3
181,295754,3
182,312334,3
183,312341,3
184,312342,3
185,312532,3
186,312535,4
187,312552,3
188,312549,2
189,312547,3
190,312533,1
191,312670,1
192,312840,2
193,312897,1
194,312985,2
195,313565,3
196,313566,3
197,313567,3
198,313572,3
199,313576,4
200,313579,2
201,313580,2
202,313581,2
203,313902,1
204,313900,1
205,313965,1
206,313766,3
207,313846,3
208,313847,3
209,313848,3
210,313849,3
211,313850,3
212,313851,3
213,313852,4
214,313817,3
215,313818,3
216,313819,3
217,313820,3
218,313821,3
219,313822,3
220,313823,4
221,313824,3
222,313825,3
223,313826,3
224,313827,3
225,313828,3
226,313829,3
227,313831,4
228,313881,3
229,313882,3
230,313883,3
231,313884,3
232,313885,3
233,313886,3
234,313887,4
235,313867,3
236,313868,3
237,313869,3
238,313870,3
239,313871,3
240,313872,3
241,313873,4
242,313860,3
243,313861,3
244,313862,3
245,313863,3
246,313864,3
247,313865,3
248,313866,4
249,313839,3
250,313840,3
251,313841,3
252,313842,3
253,313843,3
254,313844,3
255,313845,4
256,313888,3
257,313889,3
258,313890,3
259,313891,3
260,313892,3
261,313893,3
262,313894,4
263,313832,3
264,313833,3
265,313834,3
266,313835,3
267,313836,3
268,313837,3
269,313838,4
270,313874,3
271,313875,3
272,313876,3
273,313877,3
274,313878,3
275,313879,3
276,313880,4
277,313853,3
278,313854,3
279,313855,3
280,313856,3
281,313857,3
282,313858,3
283,313859,4
284,314222,2
285,314225,2
286,314226,3
287,314227,3
288,314228,4
289,314229,4
290,314230,2
291,314231,2
292,314232,3
293,314233,3
294,314234,4
295,314235,4
296,314236,2
297,314237,2
298,314238,3
299,314239,3
300,314240,4
301,314241,4
302,314242,2
303,314243,2
304,314244,3
305,314245,3
306,335541,4
307,314247,4
308,314248,2
309,314249,2
310,314250,3
311,314251,3
312,314252,4
313,314253,4
314,314254,2
315,342444,2
316,314256,3
317,342446,3
318,314258,4
319,342453,4
320,314260,2
321,314261,2
322,314262,3
323,314263,3
324,314264,4
325,314265,4
326,327363,2
327,327370,2
328,327468,2
329,327469,3
330,327513,4
331,327536,3
332,336750,2
333,343220,2
334,343221,3
335,343203,3
336,343209,4
337,343231,4
338,314278,2
339,333261,2
340,314280,3
341,333262,3
342,333264,4
343,314283,4
344,314284,2
345,314285,2
346,314286,3
347,314287,3
348,332873,4
349,314289,4
350,314290,3
351,314291,2
352,314292,2
353,314293,3
354,314294,4
355,314295,4
356,315266,2
357,315288,3
358,315300,3
359,315319,3
360,315314,4
361,316693,3
362,316850,3
363,319041,3
364,319056,3
365,319206,3
366,319276,3
367,319279,3
368,319280,3
369,319281,3
370,319285,3
371,319287,3
372,319288,3
374,319605,3
376,319649,2
377,320928,1
739,332206,4
740,320930,3
741,320931,2
742,320932,3
743,332185,1
744,320934,1
745,332200,1
746,320936,4
747,320937,1
748,320938,1
749,320939,1
750,332201,2
751,320941,3
752,320942,1
753,320943,2
754,320944,1
755,320945,4
756,332762,1
757,332775,4
758,320948,2
759,320949,2
760,320950,2
761,320951,3
762,320952,3
763,320953,3
764,320954,4
765,320955,4
766,320956,2
767,320957,3
768,320868,3
769,329588,1
770,329632,2
771,320871,1
772,320872,3
773,329678,1
774,320874,1
775,329693,1
776,329237,1
777,329428,4
778,329241,4
779,329510,1
780,320880,1
781,320881,2
782,320882,3
783,320883,2
784,320884,3
785,320885,3
786,320886,3
787,320887,4
788,329416,4
789,329689,1
790,349859,2
791,320891,2
792,320892,3
793,320893,2
794,329300,4
795,320895,1
796,320896,1
797,320897,2
798,320898,1
799,320899,1
800,320900,1
801,320901,2
802,320902,3
803,320903,3
804,320904,2
805,320905,1
806,320906,4
807,320907,4
808,320908,3
809,320909,1
810,320910,1
811,320911,1
812,320912,1
813,320913,2
814,320914,3
815,320915,4
816,320916,4
817,320917,1
818,330745,3
819,320919,3
820,320920,4
821,320921,2
822,320922,3
823,320923,3
824,320924,1
825,320925,4
826,320926,4
827,320927,3
828,322026,3
829,322027,2
830,329345,4
831,329283,4
832,322032,4
833,322051,4
834,322039,4
835,322049,1
836,322024,2
837,322029,3
838,329268,3
839,329275,3
840,329452,3
841,329335,4
844,329213,3
845,322035,1
846,322093,2
847,322031,2
848,322046,1
849,322043,2
850,322025,1
851,329207,2
852,322036,1
853,322030,1
854,322038,1
855,329146,1
856,322023,1
857,322047,1
918,329857,3
919,329526,1
920,329530,1
921,329534,1
922,329537,1
923,329576,1
924,329580,1
925,329590,1
926,329538,1
927,329573,1
928,329595,2
929,329726,2
930,329732,2
931,329768,2
932,329793,2
933,329789,4
934,329798,3
935,329883,3
936,329805,3
937,330179,3
938,329937,3
939,329963,4
940,329817,4
941,329811,4
942,329962,4
943,329949,3
944,329572,1
