ID,ProfessionTraitID,ProfessionEffectID,Field_10_0_0_44649_003
2257,2721,1,0
2258,2723,7,0
2259,2727,11,0
2260,2728,36,0
2261,2729,1,0
2262,2731,6,0
2263,2732,8,0
2264,2734,6,0
2265,2735,12,0
2266,2736,38,0
2267,2736,39,1
2268,2737,1,0
2269,2739,6,0
2270,2740,8,0
2271,2742,6,0
2272,2743,12,0
2273,2744,38,0
2274,2744,39,1
2275,2745,1,0
2276,2746,6,0
2277,2747,7,0
2278,2749,11,0
2279,2751,38,0
2280,2751,39,1
2281,2758,105,0
2282,2759,27,0
2283,2760,31,0
2284,2762,27,0
2285,2763,96,0
2286,2764,1,0
2287,2765,7,0
2288,2767,11,0
2289,2769,33,0
2290,2771,7,0
2291,2773,11,0
2292,2775,9,0
2293,2775,13,1
2294,2775,32,2
2295,2776,101,0
2296,2777,111,0
2297,2778,111,0
2298,2780,112,0
2300,2782,1,0
2301,2783,29,0
2302,2784,6,0
2303,2785,8,0
2304,2786,29,0
2305,2788,29,0
2306,2789,6,0
2307,2790,39,0
2308,2791,96,0
2309,2792,1,0
2310,2794,12,0
2311,2796,8,0
2312,2798,12,0
2313,2799,71,0
2314,2800,101,0
2315,2801,89,0
2316,2802,12,0
2317,2803,90,0
2318,2804,12,0
2319,2805,90,0
2320,2806,12,0
2321,2807,91,0
2322,2808,2,0
2323,2809,92,0
2324,2810,8,0
2325,2811,93,0
2326,2812,8,0
2327,2813,93,0
2328,2814,8,0
2329,2815,94,0
3582,4149,1,0
3583,4151,7,0
3584,4155,11,0
3585,4156,35,0
3586,4157,1,0
3587,4159,8,0
3588,4160,6,0
3589,4161,12,0
3590,4162,6,0
3591,4163,8,0
3592,4164,38,0
3593,4164,39,1
3594,4165,1,0
3595,4167,8,0
3596,4168,6,0
3597,4169,12,0
3598,4170,6,0
3599,4171,8,0
3600,4172,38,0
3601,4172,39,1
3602,4173,1,0
3603,4174,6,0
3604,4175,7,0
3605,4177,11,0
3606,4179,38,0
3607,4179,39,1
3608,4186,105,0
3609,4187,27,0
3610,4188,33,0
3611,4189,27,0
3612,4190,33,0
3613,4191,96,0
4276,5004,1,0
4277,5005,41,0
4278,5006,7,0
4279,5008,11,0
4280,5010,7,0
4281,5011,32,0
4282,5011,9,1
4283,5011,13,2
4284,5012,1,0
4285,5013,117,0
4286,5014,8,0
4287,5016,12,0
4288,5018,8,0
4289,5019,37,0
4290,5020,1,0
4293,5024,71,0
4294,5026,38,0
4295,5028,1,0
4298,5032,71,0
4299,5034,38,0
4300,5036,1,0
4301,5037,117,0
4302,5038,8,0
4303,5040,12,0
4304,5042,8,0
4305,5044,1,0
4307,5046,6,0
4308,5048,71,0
4309,5050,38,0
4310,5052,1,0
4312,5054,6,0
4313,5056,71,0
4314,5058,38,0
4315,5060,1,0
4316,5061,7,0
4317,5063,11,0
4318,5065,7,0
4319,5067,11,0
4321,5069,38,0
4322,5069,39,1
4323,5070,1,0
4324,5071,71,0
4325,5072,8,0
4326,5074,100,0
4327,5075,8,0
4328,5076,100,0
4329,5077,37,0
4330,5078,1,0
4331,5079,71,0
4332,5080,8,0
4333,5081,100,0
4334,5083,12,0
4335,5084,100,0
4336,5085,37,0
4337,5086,1,0
4338,5087,29,0
4339,5088,8,0
4340,5089,28,0
4341,5090,8,0
4342,5091,96,0
4343,5092,1,0
4344,5093,29,0
4345,5094,8,0
4346,5095,29,0
4347,5096,8,0
4348,5097,96,0
4383,5141,1,0
4384,5142,41,0
4385,5143,7,0
4386,5145,11,0
4387,5147,7,0
4388,5148,32,0
4389,5148,9,1
4390,5148,13,2
4391,5149,1,0
4392,5150,117,0
4393,5151,8,0
4394,5153,12,0
4395,5155,8,0
4396,5156,37,0
4397,5157,1,0
4399,5159,6,0
4400,5161,6,0
4401,5162,38,0
4402,5162,39,1
4403,5163,6,0
4404,5165,1,0
4406,5167,6,0
4407,5169,6,0
4408,5170,38,0
4409,5170,39,1
4410,5171,6,0
4411,5173,1,0
4413,5175,6,0
4414,5177,6,0
4415,5178,38,0
4416,5178,39,1
4417,5179,6,0
4418,5181,1,0
4419,5182,117,0
4420,5183,8,0
4421,5185,12,0
4422,5187,8,0
4423,5188,37,0
4424,5189,1,0
4426,5191,6,0
4427,5193,6,0
4428,5194,38,0
4429,5194,39,1
4430,5195,6,0
4431,5197,1,0
4433,5199,6,0
4434,5201,6,0
4435,5202,38,0
4436,5202,39,1
4437,5203,6,0
4438,5205,1,0
4440,5207,6,0
4441,5209,6,0
4442,5210,38,0
4443,5210,39,1
4444,5211,6,0
4445,5213,1,0
4446,5214,117,0
4447,5215,8,0
4448,5217,12,0
4449,5219,8,0
4450,5220,37,0
4451,5221,1,0
4453,5223,6,0
4454,5225,6,0
4455,5226,38,0
4456,5226,39,1
4457,5227,6,0
4458,5229,1,0
4460,5231,6,0
4461,5233,6,0
4462,5234,38,0
4463,5234,39,1
4464,5235,6,0
4465,5237,1,0
4467,5239,6,0
