ID,MapChallengeModeID,DisplaySeasonID
1,375,10
2,376,10
3,377,10
4,378,10
5,379,10
6,380,10
7,381,10
8,382,10
9,375,11
10,376,11
11,377,11
12,378,11
13,379,11
14,380,11
15,381,11
16,382,11
18,375,12
19,376,12
20,377,12
21,378,12
22,379,12
23,380,12
24,381,12
25,382,12
26,392,12
27,391,12
76,169,17
77,166,17
78,227,17
79,234,17
80,369,17
81,370,17
82,391,17
83,392,17
85,399,19
86,400,19
87,401,19
88,402,19
89,2,19
90,210,19
91,200,19
92,165,19
93,403,21
94,404,21
95,406,21
96,405,21
97,245,21
98,251,21
101,438,21
102,206,21
