ID,VendorID,DeviceID
1,4318,800
2,4318,808
3,4318,802
4,4318,801
5,4318,803
6,4318,804
7,4318,805
8,4318,806
9,4318,786
10,4318,785
11,4318,788
12,4318,794
13,4318,840
14,4318,834
15,4318,833
16,4318,835
17,4318,836
18,4318,839
19,4318,770
20,4318,769
21,4318,251
22,4318,29
23,4318,818
24,4318,820
25,4318,817
26,4318,816
27,4318,819
28,4318,1008
29,4318,976
30,4318,977
31,4318,978
32,4318,578
33,4318,981
34,4318,583
35,4318,577
36,4318,580
37,4318,576
38,4318,326
39,4318,335
40,4318,243
41,4318,545
42,4318,546
43,4318,352
44,4318,353
45,4318,354
46,4318,355
47,4318,359
48,4318,360
49,4318,361
50,4318,358
51,4318,361
52,4318,324
53,4318,329
54,4318,328
55,4318,321
56,4318,242
57,4318,320
58,4318,241
59,4318,322
60,4318,244
61,4318,323
62,4318,325
63,4318,327
64,4318,200
65,4318,530
66,4318,66
67,4318,246
68,4318,194
69,4318,68
70,4318,72
71,4318,536
72,4318,195
73,4318,982
74,4318,1342
75,4318,1338
76,4318,1339
77,4318,2018
78,4318,2019
79,4318,2021
80,4318,470
81,4318,467
82,4318,469
83,4318,471
84,4318,479
85,4318,915
86,4318,917
87,4318,738
88,4318,465
89,4318,472
90,4318,477
91,4318,920
92,4318,2127
93,4318,2123
94,4318,2121
95,4318,2117
96,4318,2159
97,4318,2124
98,4318,2125
99,4318,2120
100,4318,1030
101,4318,1059
102,4318,2122
103,4318,1063
104,4318,1064
105,4318,1058
106,4318,1060
107,4318,1602
108,4318,1028
109,4318,1056
110,4318,1762
111,4318,1763
112,4318,1764
