ID,Multiplier[0],Multiplier[1],Multiplier[2],PhaseMultiplier
1,1,1,1,1
3,0.4,0.4,0.21,5
4,0.5,0.5,0.5,1.5
6,0.1,0.2,0.08,6
10,0.4,0.3,0.2,1
13,0.21,0.29,0.18,4
14,0.1,0.08,0.06,1
15,0,0.12,0.5,1.5
16,0.1,0.2,0.08,1
17,0.01,0.15,0.75,1.8
18,0.21,0.48,0.01,2
19,0.4,0.4,0.5,1
20,0.35,0.35,0.35,1
21,0.25,0,0.25,1
22,2.5,2.5,2.5,1
23,1,1,0.7,1
24,0.8,0.8,0.8,1.5
25,0.7,0.7,0.7,1
26,0.5,0.5,0.5,1
27,0.5,0.5,0.5,1
40,0.5,0.5,0.5,1
46,0.5,0.5,0.5,1
47,1,1,0.5,1.5
48,0.8,0.4,0.2,0.6
49,0.3,0.3,1.5,0.6
50,0.4,0.4,0.5,0.9
51,0,0,0.8,1
53,1,0.3,0.1,1
54,0,0,0.8,1
155,0.5,0.5,0.5,0.75
156,0.35,0.35,0.35,1
157,1.3,1.3,0.2,3.2
158,4,4,4,1
160,1.5,0.5,0.2,1.2
161,0.5,0.5,0.5,1
162,1.5,1,0.5,1
163,1.2,1,1,1
164,1.2,1.5,0.6,1
165,0.5,1,0.25,1
166,0.7,0.7,0.35,0.5
167,0.4,0.4,0.4,0.8
168,0.5,0.5,0.5,1
169,1.2,0.4,0.5,1.6
171,3,1.3,1.3,1.6
172,0.5,0.5,0.5,0.5
173,0.2,0.4,0.1,1
174,0.2,0.2,0.2,1
175,0.4,0.8,0.2,1
176,0.5,0.8,0.7,1
177,1.5,1,0.6,1
178,0.8,0.6,0.6,1
191,30,30,30,1
192,1,0.5,0.5,2
193,1,1,1,1
