ID,RequiredTransmogHoliday
6833,181
21157,327
21524,141
21525,141
21538,327
21539,327
21541,327
21543,327
21544,327
22206,423
23324,341
33292,324
33862,372
33863,372
33864,372
33868,372
33966,372
33967,372
33968,372
33969,372
34683,341
34685,341
44785,404
44788,404
44800,181
44803,181
45067,181
46723,404
46800,404
46824,404
46860,409
46861,409
49715,423
70923,141
74278,341
74282,181
74283,181
139133,324
139134,324
139135,324
139136,324
139299,141
139300,141
146306,141
147885,590
151352,327
151353,327
151354,327
151355,327
151764,423
151765,423
151766,423
151767,423
151768,423
151769,423
151770,423
151771,327
151772,327
151790,141
151791,141
151792,141
151804,181
151806,181
164922,181
164923,181
164924,181
169461,372
188699,341
