ID,Name,Version,Flags
1,RaidLeader,0.6,1
2,RaidMod,,1
3,,,2
4,,,2
5,,,2
6,,,2
7,,,2
8,,,2
9,,,2
10,,,2
11,,,2
118,,,2
119,,,2
120,,,2
121,,,2
122,,,2
123,,,2
124,,,2
125,,,2
126,,,2
127,,,2
128,,,2
129,,,2
246,,,2
247,,,2
248,,,2
249,,,2
273,,,2
294,,,2
315,,,2
336,,,2
338,,,2
339,,,2
340,GearScore,2.2.06 - Release,1
341,GearScore,3.0.011 - Release,1
342,GearScore,2.0.03 ,1
343,,,2
344,GearScore,3.0.012 - Release,1
345,GearScore,2.0.03 ,1
346,GearScore,2.2.08 - Release ,1
347,GearScore,3.0.07 - Release,1
348,GearScore,2.2.05 - Release,1
349,GearScore,2.2.06 - Release,1
350,GearScore,2.2.07 - Release ,1
351,GearScore,2.2.09 - Release ,1
352,GearScore,3.0.08 - Release,1
353,GearScore,3.0.011 - Release,1
354,GearScore,3.0.012 - Release,1
355,,,2
356,,,2
357,,,2
358,,,2
359,,,2
360,,,2
361,GearScore,3.0.012 - Release,1
362,,,2
363,,,2
364,,,2
365,,,2
366,GearScore,3.0.012 - Release,1
367,GearScore,2.0.03 ,1
368,GearScore,2.2.08 - Release ,1
369,GearScore,3.0.07 - Release,1
370,GearScore,2.2.05 - Release,1
371,GearScore,2.2.06 - Release,1
372,GearScore,2.2.07 - Release ,1
373,GearScore,2.2.09 - Release ,1
374,GearScore,3.0.08 - Release,1
375,GearScore,3.0.011 - Release,1
376,GearScore,3.0.012 - Release,1
377,,,2
378,,,2
379,,,2
380,,,2
381,,,2
382,,,2
383,,,2
384,,,2
385,,,2
386,,,2
387,GearScore,2.0.03 ,1
388,GearScore,2.2.08 - Release ,1
389,GearScore,3.0.07 - Release,1
390,GearScore,2.2.05 - Release,1
391,GearScore,2.2.06 - Release,1
392,GearScore,2.2.07 - Release ,1
393,GearScore,2.2.09 - Release ,1
394,GearScore,3.0.08 - Release,1
395,GearScore,3.0.011 - Release,1
396,GearScore,3.0.012 - Release,1
397,,,2
398,,,2
399,,,2
400,,,2
401,RotationBuilder,1.45,1
402,RotationBuilder,1.0,1
403,,,2
404,,,2
405,,,2
406,,,2
407,,,2
408,,,2
409,,,2
410,,,2
411,,,2
412,,,2
413,,,2
414,,,2
415,,,2
416,,,2
417,,,2
418,,,2
419,,,2
420,,,2
421,,,2
422,,,2
423,,,2
424,,,2
425,,,2
426,,,2
427,,,2
428,,,2
429,,,2
430,,,2
431,,,2
432,,,2
433,,,2
434,,,2
435,,,2
436,,,2
437,,,2
438,,,2
439,,,2
440,,,2
441,,,2
442,,,2
443,,,2
444,,,2
445,,,2
446,,,2
447,,,2
448,,,2
449,,,2
450,,,2
451,,,2
452,,,2
453,,,2
454,,,2
455,,,2
456,,,2
457,,,2
458,,,2
459,,,2
460,,,2
461,,,2
462,,,2
463,,,2
464,,,2
465,,,2
466,,,2
467,,,2
468,,,2
469,,,2
470,,,2
471,,,2
472,,,2
473,,,2
474,,,2
475,,,2
476,,,2
477,,,2
478,,,2
479,,,2
480,,,2
481,,,2
482,,,2
483,,,2
484,,,2
485,,,2
486,,,2
487,,,2
488,,,2
489,,,2
490,,,2
491,,,2
492,,,2
493,,,2
494,,,2
495,,,2
496,,,2
497,,,2
498,,,2
499,,,2
500,,,2
501,,,2
502,,,2
503,,,2
504,,,2
505,,,2
506,,,2
507,,,2
508,,,2
509,,,2
510,,,2
511,,,2
512,,,2
513,,,2
514,,,2
515,,,2
516,,,2
517,,,2
518,,,2
519,,,2
520,,,2
627,Auctionator,8.3.3.1,1
628,Auctionator,8.3.4.3,1
629,Auctionator,8.3.4.2,1
630,Auctionator,8.3.4,1
631,Auctionator,8.3.3.2,1
632,Auctionator,8.3.3,1
633,Auctionator,8.3.2.2,1
634,Auctionator,8.3.2.1,1
635,Auctionator,8.3.2,1
636,Auctionator,8.3.1.6-2,1
637,Auctionator,8.3.1.5,1
638,Auctionator,8.3.1.4,1
639,Auctionator,8.3.1.3,1
640,Auctionator,8.3.1.2,1
641,Auctionator,8.3.1.1,1
642,Auctionator,8.3.0.7,1
643,Auctionator,8.3.1.0,1
644,Auctionator,8.3.0.5,1
645,Auctionator,8.3.0.4,1
646,Auctionator,8.3.0.2,1
647,Auctionator,8.3.0.1,1
648,ElvUI_UnitFramePlugin,2.2,1
649,Auctionator,8.3.1.6,1
650,VenturePlan,4.07,1
674,!ChatTransmit,,1
675,!ChatTransmit,,1
676,!ChatTransmit,,1
677,!ChatTransmit,,1
678,!ChatTransmit,,1
