ID,Name_lang
1,Test Exclusive Category
4,Anti-Magic Shell
5,Chains of Ice
6,Barkskin
7,Cat Form
8,Eclipse
9,Master Shapeshifter
10,Travel Form
11,Freezing Trap
12,Ice Trap
13,Counterspell
14,Ice Block
15,Fists of Fury
16,Roll
17,Consecration
18,Hand of Freedom
19,Judgment
20,Dispersion
21,Guardian Spirit
22,Leap of Faith
23,Spirit of Redemption
24,Fade
25,Evasion
26,Vanish
27,Feral Spirit
28,Ghost Wolf
29,Grounding Totem
30,Lightning Shield
31,Shamanistic Rage
32,Spiritwalker's Grace
33,Life Tap
34,Unending Resolve
35,Heroic Strike
36,Die by the Sword
37,Heroic Leap
38,Raging Blow
39,Shield Wall
40,Raise Dead
41,Water Elemental
42,Polymorph Appearance
43,Avenging Wrath
44,Mind Blast
45,Camouflage
46,Disengage
47,Mend Pet
48,Deterrence
49,Aspect of the Pack
50,Blink
51,Expel Harm
52,Renewing Mist
53,Word of Glory
54,Avenger's Shield
55,Holy Wrath
56,Holy Shock
57,Prayer of Mending
58,Power Word: Shield
59,Lightwell
60,Mass Dispel
61,Recuperate
62,Purge
63,Charge
64,Pummel
65,Victory Rush
66,Whirlwind
67,Savage Roar
68,Detox
69,Revive Pet
70,Lava Lash
71,Moonkin Visual
72,Faerie Fire
73,Exorcism
74,Battle Cry
75,Dark Ranger
76,Harpoon
77,Dire Beast
78,Hunter's Mark
79,Flare
80,Path of Frost
81,Wraith Walk
82,Hex
83,Felguard
84,Crackling Jade Lightning
85,Shattered Souls
86,Voidform
87,Glide
88,Shadowform
89,Death Grip
90,Summon Succubus
91,Soul Shards
92,Shadowfiend
93,Divine Steed
94,Aquatic Form
95,Flight Form
195,Summon Sayaad
197,Arcane Familiar
198,Pistol Shot
