ID,RangeIndex,MinLevel,MaxLevel,MapID
1,1,50,54,30
2,2,55,59,30
3,3,60,64,30
4,4,65,69,30
5,0,10,14,489
6,1,15,19,489
7,2,20,24,489
8,3,25,29,489
9,4,30,34,489
10,5,35,39,489
11,6,40,44,489
12,7,45,49,489
13,0,10,14,529
14,1,15,19,529
15,2,20,24,529
16,3,25,29,529
17,4,30,34,529
18,5,35,39,529
19,6,40,44,529
20,0,10,14,559
21,1,15,19,559
22,2,20,24,559
23,3,25,29,559
24,4,30,34,559
25,5,35,39,559
26,6,40,44,559
27,7,45,49,559
28,8,50,54,559
29,9,55,59,559
30,10,60,64,559
31,11,65,69,559
32,12,70,74,559
33,13,75,79,559
34,14,80,84,559
35,15,85,89,559
36,0,10,14,562
37,1,15,19,562
38,2,20,24,562
39,3,25,29,562
40,4,30,34,562
41,5,35,39,562
42,6,40,44,562
43,7,45,49,562
44,8,50,54,562
45,9,55,59,562
46,10,60,64,562
47,11,65,69,562
48,12,70,74,562
49,13,75,79,562
50,14,80,84,562
51,15,85,89,562
52,0,35,39,566
53,1,40,44,566
54,2,45,49,566
55,0,10,14,572
56,1,15,19,572
57,2,20,24,572
58,3,25,29,572
59,4,30,34,572
60,5,35,39,572
61,6,40,44,572
62,7,45,49,572
63,8,50,54,572
64,9,55,59,572
65,10,60,64,572
66,11,65,69,572
67,12,70,74,572
68,13,75,79,572
69,14,80,84,572
70,15,85,89,572
71,0,65,69,607
72,1,70,74,607
73,2,75,79,607
74,0,10,14,617
75,1,15,19,617
76,2,20,24,617
77,3,25,29,617
78,4,30,34,617
79,5,35,39,617
80,6,40,44,617
81,7,45,49,617
82,8,50,54,617
83,9,55,59,617
84,10,60,64,617
85,11,65,69,617
86,12,70,74,617
87,13,75,79,617
88,14,80,84,617
89,15,85,89,617
90,0,10,14,618
91,1,15,19,618
92,2,20,24,618
93,3,25,29,618
94,4,30,34,618
95,5,35,39,618
96,6,40,44,618
97,7,45,49,618
98,8,50,54,618
99,9,55,59,618
100,10,60,64,618
101,11,65,69,618
102,12,70,74,618
103,13,75,79,618
104,14,80,84,618
105,15,85,89,618
106,0,75,79,628
107,1,80,84,628
108,2,85,89,628
128,0,85,89,726
144,0,85,89,761
148,8,50,54,489
149,9,55,59,489
150,10,60,64,489
151,11,65,69,489
152,12,70,74,489
153,13,75,79,489
154,14,80,84,489
155,15,85,89,489
156,3,50,54,566
157,4,55,59,566
158,5,60,64,566
159,6,65,69,566
160,7,70,74,566
161,8,75,79,566
162,9,80,84,566
163,10,85,89,566
164,7,45,49,529
165,8,50,54,529
166,9,55,59,529
167,10,60,64,529
168,11,65,69,529
169,12,70,74,529
170,13,75,79,529
172,15,85,89,529
173,0,45,49,30
177,3,80,84,607
178,4,85,89,607
179,5,70,74,30
180,6,75,79,30
181,7,80,84,30
182,8,85,89,30
594,0,35,39,968
595,1,40,44,968
596,2,45,49,968
597,3,50,54,968
598,4,55,59,968
599,5,60,64,968
600,6,65,69,968
601,7,70,74,968
602,8,75,79,968
603,9,80,84,968
604,10,85,89,968
631,0,90,90,998
637,0,150,150,1010
650,0,90,90,727
664,16,90,90,489
665,1,90,90,726
666,11,90,90,566
667,1,90,90,761
668,16,90,90,529
669,11,90,90,968
670,9,90,90,30
671,5,90,90,607
672,3,90,90,628
673,0,90,90,980
688,16,90,90,559
689,16,90,90,562
690,16,90,90,617
691,16,90,90,618
702,16,90,90,572
713,0,90,90,1105
717,0,90,90,1134
1644,0,71,79,2118
1674,0,85,89,2755
1713,1,80,84,2118
1714,2,85,89,2118
1715,0,85,85,728
1722,14,80,84,529
1754,1,90,90,2755
1755,3,90,90,2118
