ID,StartEvent,EndEvent,StartMinOffsetMs,StartMaxOffsetMs,EndMinOffsetMs,EndMaxOffsetMs,TargetType,SpellVisualKitID,Field_10_0_0_44649_008,Field_10_0_0_44649_009,SpellVisualID
2,1,2,0,0,0,0,1,865,0,0,608
3,6,13,0,0,0,0,1,130,0,0,608
4,6,13,0,0,0,0,2,130,0,0,608
5,6,13,0,0,0,0,3,9189,0,0,608
6,1,2,0,0,0,0,1,217,0,0,677
7,3,13,0,0,0,0,1,389,0,0,677
8,6,13,0,0,0,0,1,694,0,0,677
9,6,13,0,0,0,0,2,694,0,0,677
10,1,2,0,0,0,0,1,114,0,0,64
11,3,13,0,0,0,0,1,118,0,0,64
13,6,13,0,0,0,0,2,7775,0,0,64
14,1,2,0,0,0,0,1,137,0,0,871
15,3,13,0,0,0,0,1,138,0,0,871
16,6,13,0,0,0,0,3,9202,0,0,871
17,1,2,0,0,0,0,1,217,0,0,5599
18,3,13,0,0,0,0,1,5289,0,0,5599
19,6,13,0,0,0,0,1,362,0,0,5599
20,6,13,0,0,0,0,2,362,0,0,5599
21,6,13,0,0,0,0,1,33440,0,0,3222
22,6,13,0,0,0,0,2,33440,0,0,3222
24,7,8,0,0,0,0,2,33441,0,0,3222
25,1,2,0,0,0,0,1,99,0,0,407
26,3,13,0,0,0,0,1,337,0,0,407
27,3,13,0,0,0,0,1,18435,0,0,19179
28,1,2,0,0,0,0,1,6777,0,0,8714
29,3,13,0,0,0,0,1,7401,0,0,8714
30,6,13,0,0,0,0,1,2709,0,0,8714
31,6,13,0,0,0,0,2,2709,0,0,8714
32,3,13,0,0,0,0,1,7156,0,0,8715
33,6,13,0,0,0,0,1,261,0,0,8715
34,6,13,0,0,0,0,2,261,0,0,8715
35,3,13,0,0,0,0,1,7430,0,0,8716
36,6,13,0,0,0,0,1,7431,0,0,8716
37,6,13,0,0,0,0,2,7431,0,0,8716
39,7,8,0,0,0,0,2,6432,0,0,8717
41,7,8,0,0,0,0,2,7373,0,0,8636
42,11,12,0,0,0,0,2,7371,0,0,8636
43,6,13,0,0,0,0,1,7087,0,0,8637
44,6,13,0,0,0,0,2,7087,0,0,8637
45,5,13,0,0,0,0,3,7407,0,0,8637
46,1,2,0,0,0,0,1,3271,0,0,8639
47,3,13,0,0,0,0,1,3272,0,0,8639
48,6,13,0,0,0,0,1,213,0,0,8639
49,6,13,0,0,0,0,2,213,0,0,8639
50,5,13,0,0,0,0,3,9204,0,0,8639
51,6,13,0,0,0,0,1,7087,0,0,8641
