ID,EffectType,Effect,ParentSpellVisualKitID
2,6,2,1
3,2,277317,1
4,6,3,2
5,5,27,2
7,6,4,3
8,5,7,3
9,2,277319,3
10,2,277320,3
11,5,7,4
12,2,277321,4
13,2,277322,5
14,2,277323,5
15,6,5,6
16,2,277324,6
17,2,277325,6
18,6,6,7
19,5,1144,7
20,6,7,8
21,1,2,8
28,6,9,11
29,2,277331,11
30,2,277332,11
31,6,10,12
32,5,703,12
33,2,277333,12
34,2,277334,12
41,6,13,16
42,5,5756,16
43,2,277339,16
44,2,277340,16
45,1,3,16
46,6,14,17
47,5,703,17
48,2,277341,17
49,2,277342,17
52,6,15,19
53,5,2560,19
54,6,16,20
55,6,17,21
60,5,29,24
61,2,277348,24
64,6,18,27
65,5,1509,27
66,2,277351,27
67,2,277352,28
68,6,19,30
69,5,702,30
70,2,277353,30
71,2,277354,30
72,6,20,31
73,5,703,31
74,2,277355,31
75,2,277356,31
76,6,21,32
77,2,277357,32
78,6,22,33
79,2,277358,33
83,6,23,35
84,5,20,35
85,2,277362,35
86,2,277363,35
87,6,24,36
88,5,27,36
89,2,277364,36
90,2,277365,36
91,6,25,37
92,5,2561,37
93,2,277366,37
94,2,277367,37
95,6,26,38
99,6,27,39
100,2,277370,39
101,2,277371,39
102,6,28,40
103,5,51,40
104,2,277372,40
105,2,277373,40
106,6,29,41
107,5,51,41
108,2,277374,41
109,2,277375,41
110,5,3116,42
111,2,277376,42
112,6,30,43
114,2,277377,44
115,2,277378,44
116,1,4,44
139,6,35,52
140,5,742,52
141,2,277396,52
142,2,277397,52
143,2,277398,52
144,5,26,53
145,2,277399,53
146,5,30,54
147,2,277400,54
148,2,277401,55
149,5,3229,56
150,2,277402,56
151,6,36,59
152,5,10895,59
153,2,277403,59
154,6,37,60
155,5,51,60
156,2,277404,60
157,2,277405,60
158,6,38,61
159,5,1484,61
162,5,33,62
163,2,277408,62
165,6,39,64
166,5,1104,64
167,6,40,65
168,5,2560,65
169,2,277410,65
170,2,277411,65
171,5,2579,66
172,2,277412,66
173,6,41,67
174,5,48,67
175,2,277413,67
176,2,277414,67
177,5,22,68
178,2,277415,68
179,1,5,68
180,6,42,69
181,5,4474,69
182,2,277416,69
183,2,277417,69
184,2,277418,69
185,5,37,70
186,2,277419,70
190,6,44,72
191,5,2561,72
192,2,277421,72
193,2,277422,72
194,5,1502,73
195,2,277423,73
196,2,277424,73
197,6,45,74
198,5,42,74
199,6,46,75
200,5,3660,75
201,2,277425,75
202,5,38,76
203,2,277426,76
204,2,277427,78
205,5,15,79
206,2,5411,79
207,6,47,80
208,5,702,80
209,2,277428,80
210,2,277429,80
212,2,12665,81
214,2,277430,82
215,6,48,83
216,5,42,83
217,2,277431,83
218,6,49,84
219,5,50,85
220,2,277432,85
221,6,50,86
222,5,2617,87
223,2,277433,87
224,2,277434,87
225,6,51,88
226,5,45,88
230,5,50,90
231,2,277437,90
232,6,52,91
233,6,53,92
234,2,277438,92
235,6,54,93
236,5,3090,93
237,2,277439,93
238,2,277440,93
239,2,277441,93
240,6,55,94
242,2,277442,94
243,2,277443,94
249,5,44,96
250,2,277446,96
251,2,277447,96
254,5,1433,98
255,2,277449,98
256,6,58,99
257,5,740,99
258,2,277450,99
259,2,277451,99
260,6,59,100
261,5,27,100
262,2,277452,100
263,2,277453,100
264,5,1482,101
265,2,277454,101
276,6,62,104
277,5,703,104
278,2,277462,104
279,2,277463,104
291,2,277471,108
292,2,277472,108
293,2,277473,108
294,1,6,108
300,6,67,110
301,5,23431,110
302,2,277477,110
303,2,277478,110
304,2,277479,110
305,2,277480,111
306,2,277481,111
307,1,7,111
311,6,68,114
312,5,745,114
313,2,277485,114
314,2,277486,114
315,5,743,115
316,2,277487,115
317,6,69,116
318,2,277488,116
319,2,277489,116
320,5,743,117
321,2,277490,117
322,6,70,118
323,5,2560,118
324,2,277491,118
325,2,277492,118
326,6,71,119
327,5,2562,119
328,2,277493,119
329,2,277494,119
334,6,73,121
