ID,PlayerConditionID,WhenFalse,WhenTrue,VFOG_uID
1,80795,0.5,0.5,0
2,81250,1,1,959
3,82910,1,1,1030
5,0,5,5,1965
6,0,5,5,2213
7,137077,3,3,2211
8,127896,1,1,2214
9,139462,1,1,2332
10,139462,1,1,2645
11,139462,1,1,2644
12,139462,1,1,2643
13,139462,1,1,2642
14,139462,1,1,2641
15,139462,1,1,2640
16,146029,1,1,2069
17,145937,1,1,2652
18,139462,1,1,2648
22,146668,1,1,2844
23,146387,1,1,2830
24,146670,1,1,2834
25,146810,3,3,2853
120,152451,1,1,2765
121,152451,1,1,2766
122,152451,1,1,2767
123,152451,1,1,2775
124,152451,1,1,2776
125,152451,1,1,2778
126,152451,1,1,2779
127,152451,1,1,2780
128,152451,1,1,2806
129,152451,1,1,2807
130,152451,1,1,2808
131,152451,1,1,2809
132,153036,1,1,3596
133,153036,1,1,3597
134,153036,1,1,3598
135,153036,1,1,3599
136,153036,1,1,3600
137,153036,1,1,3601
138,153036,1,1,3602
139,153036,1,1,3603
140,153036,1,1,3604
141,153036,1,1,3605
142,153036,1,1,3606
143,153036,1,1,3607
