ID,WorldStateID,WorldStateValue,AreaID,WMOAreaID,ZoneIntroMusicID,ZoneMusicID,SoundAmbienceID,SoundProviderPreferencesID
1838,28242,1,16370,0,0,3164,0,0
1839,28245,1,16371,0,0,3164,0,0
1840,28243,1,16371,0,0,3164,0,0
1841,28374,1,16371,0,0,3164,0,0
1842,28374,1,16372,0,0,3164,0,0
1843,28247,1,0,131953,0,3164,0,0
1844,28251,1,0,131995,0,3164,0,0
1845,28249,1,0,131997,0,3164,0,0
1846,28249,1,0,131998,0,3164,0,0
1847,28249,1,0,131999,0,3164,0,0
1848,28249,1,0,132000,0,3164,0,0
1849,28250,1,16371,0,0,3163,0,0
