ID,Tier,EndOfMatchILvl,WeeklyCacheILvl,PvpSeasonID
1,0,340,355,2
2,1,350,365,2
3,2,360,370,2
4,3,365,375,2
5,4,370,380,2
6,5,375,385,2
13,0,370,385,3
14,1,380,395,3
15,2,385,400,3
16,3,385,405,3
17,4,385,410,3
18,5,385,415,3
19,5,405,415,5
20,4,400,410,5
21,3,395,405,5
22,2,390,400,5
23,1,380,395,5
24,0,370,385,5
25,0,400,415,10
26,1,410,425,10
27,2,415,430,10
28,3,415,435,10
29,4,415,440,10
30,5,415,445,10
31,5,435,445,11
32,4,430,440,11
33,3,425,435,11
34,2,420,430,11
35,1,410,425,11
36,0,400,415,11
37,5,120,130,13
38,4,115,125,13
39,3,110,120,13
40,2,105,115,13
41,1,95,110,13
42,0,85,100,13
43,5,445,475,12
44,4,445,470,12
45,3,445,465,12
46,2,445,460,12
47,1,440,455,12
48,0,430,445,12
49,0,200,200,14
50,1,207,207,14
51,2,213,213,14
52,3,220,220,14
53,4,226,226,14
54,5,226,226,14
