ID,Name_lang,GameType_lang,ShortDescription_lang,LongDescription_lang,PvpType,MinLevel,MaxLevel,RatedPlayers,MinPlayers,MaxPlayers,GroupsAllowed,MaxGroupSize,HolidayWorldState,Flags,IconFileDataID,Required_Player_Condition_ID
1,Alterac Valley,Epic Battleground,,,0,20,80,25,10,40,1,5,1941,152,136324,0
2,Classic Warsong Gulch,Capture the Flag,,,0,0,0,10,5,10,1,5,1942,0,136365,0
3,Classic Arathi Basin,Domination,,,0,0,0,10,8,15,1,5,1943,0,136322,0
4,Nagrand Arena (old),,,,1,0,0,5,0,5,1,5,0,1,460867,5793
5,zzOldBlade's Edge Arena,,,,1,0,0,5,0,5,1,5,0,1,460861,0
6,All Arenas,,,,1,20,80,5,0,5,1,3,0,8,525915,0
7,Eye of the Storm,Domination,,,0,20,80,15,8,15,1,5,2851,24,525912,0
8,Ruins of Lordaeron,,,,1,10,80,5,0,5,1,5,0,8,460869,0
9,Strand of the Ancients,Siege,,,0,10,60,15,8,15,1,5,3695,1,460870,0
10,Dalaran Sewers,,,,1,10,80,5,0,5,1,5,0,8,460862,0
11,The Ring of Valor,,,,1,0,0,5,0,5,1,5,0,0,460868,0
30,Isle of Conquest,Epic Battleground,,,0,20,80,25,10,40,1,5,4273,152,311222,0
32,Random Battleground,,,,0,10,80,25,5,10,1,5,0,0,525915,0
100,Rated Battleground,,,,0,50,80,10,5,10,1,10,0,2,0,0
101,Rated Battleground,,,,0,50,60,15,8,15,1,15,0,2,0,0
102,Rated Battleground,,,,0,50,80,6,4,6,1,6,0,2,0,0
108,Twin Peaks,Capture the Flag,,,0,30,80,10,5,10,1,5,5361,24,525913,0
120,The Battle for Gilneas,Domination,,,0,20,80,10,3,10,1,5,5360,24,460871,0
656,Rated Eye of the Storm,,,,0,50,80,10,5,10,1,5,2851,10,0,0
699,Temple of Kotmogu,Power Orbs,,,0,40,80,10,2,10,1,5,6306,24,791651,0
706,CTF3,,,,0,0,0,10,5,10,1,5,6408,1,0,0
708,Silvershard Mines,Payload,,,0,30,80,10,5,10,1,5,6436,24,791650,0
719,Tol'Viron Arena,,,,1,10,80,5,0,5,1,5,0,8,791652,0
754,Deepwind Gorge (Legacy),Domination,,,0,40,70,10,8,15,1,5,7671,8,875925,0
757,The Tiger's Peak,,,,1,10,80,5,0,5,1,5,0,8,875926,0
789,Southshore vs. Tarren Mill,Brawl,,,0,50,80,0,10,40,1,5,0,32,0,0
803,Small Battleground D,Various,,,0,0,0,5,0,5,1,5,0,1,0,0
808,Black Rook Hold Arena,,,,1,10,80,5,0,5,1,5,0,8,1389174,0
809,Nagrand Arena,,,,1,10,80,5,0,5,1,5,0,8,460867,0
816,Ashamane's Fall,,,,1,10,80,5,0,5,1,5,0,8,1389175,0
844,Blade's Edge Arena,,,,1,10,80,5,0,5,1,5,0,8,460861,0
846,The Battle for Gilneas (Old City Map),Brawl,,,0,0,0,10,5,10,1,5,0,33,460871,0
847,Arathi Basin Winter,Brawl,,,0,50,80,10,8,15,1,5,0,32,136322,0
848,AI Test - Arathi Basin,,,,0,0,0,10,8,15,1,15,12812,1,0,0
849,Deepwind Dunk,Brawl,,,0,50,80,10,8,15,1,5,0,32,875925,0
853,Shado-Pan Showdown,Brawl,,,0,50,80,5,0,5,1,5,0,96,0,0
856,[TEMP] RaceTrackBG,Domination,,,0,0,0,10,5,10,1,5,0,1,875925,0
857,Battle for Blackrock Mountain,,,,0,0,0,0,2,2,1,2,0,33,136326,0
858,Temple of Hotmogu,Brawl,,,0,50,80,10,1,10,1,5,0,32,791651,0
859,Gravity Lapse,Brawl,,,0,50,80,15,8,15,1,5,0,32,525912,0
860,Deepwind Dunk,Brawl,,,0,50,80,10,8,15,1,5,0,32,875925,0
861,Warsong Scramble,Brawl,,,0,50,80,10,5,10,1,5,0,32,136365,0
862,Eye of the Horn,Brawl,,,0,50,80,15,8,15,1,5,0,32,525912,0
866,All Arenas,Brawl,,,0,50,80,5,8,15,1,5,0,96,525915,0
868,Ruins of Lordaeron,,,,0,50,80,5,0,15,1,5,0,96,460869,0
869,Dalaran Sewers,,,,0,50,80,5,0,15,1,5,0,96,460862,0
870,Tol'Viron Arena,,,,0,50,80,5,0,15,1,5,0,96,791652,0
871,The Tiger's Peak,,,,0,50,80,5,0,15,1,5,0,96,875926,0
