ID,ItemContext,ItemCreationContextGroupID
6,3,6
7,4,6
8,5,6
9,6,6
10,102,6
11,103,6
12,143,6
13,23,6
14,16,6
15,35,6
16,42,6
17,43,6
18,53,6
19,54,6
20,55,6
21,57,6
22,149,6
23,150,6
24,151,6
25,152,6
26,22,6
27,104,6
28,109,6
29,110,6
30,137,6
31,138,6
32,108,6
33,173,6
34,174,6
35,175,6
36,176,6
37,177,6
38,178,6
39,179,6
40,180,6
41,181,6
42,182,6
43,183,6
44,184,6
45,14,6
46,153,6
47,154,6
48,33,6
51,21,7
52,22,7
53,9,7
54,1,7
55,2,7
56,23,7
57,146,7
58,147,7
59,148,7
60,143,7
61,102,7
62,103,7
63,16,7
64,33,7
65,35,7
66,4,7
67,83,7
68,3,7
69,82,7
70,5,7
71,84,7
72,6,7
73,85,7
74,149,7
75,150,7
76,151,7
77,152,7
78,81,7
79,117,7
80,118,7
81,119,7
82,120,7
83,126,7
84,127,7
85,109,7
86,110,7
87,137,7
88,138,7
89,108,7
90,129,7
91,130,7
92,131,7
93,132,7
94,145,7
95,134,7
96,135,7
97,136,7
98,25,7
99,26,7
100,27,7
101,28,7
102,29,7
103,30,7
104,36,7
105,37,7
106,42,7
107,43,7
108,53,7
109,54,7
110,55,7
111,165,7
112,166,7
113,167,7
114,168,7
115,169,7
116,170,7
117,171,7
118,172,7
119,173,7
120,174,7
121,175,7
122,176,7
123,177,7
124,178,7
125,179,7
126,180,7
127,181,7
128,182,7
129,183,7
130,184,7
131,57,8
132,162,8
133,163,8
134,21,9
135,22,9
136,9,9
137,1,9
138,2,9
139,23,9
140,146,9
141,147,9
142,148,9
143,143,9
144,102,9
145,103,9
146,16,9
147,33,9
148,35,9
149,4,9
150,83,9
151,3,9
152,82,9
153,5,9
154,84,9
155,6,9
156,85,9
157,149,9
158,150,9
159,151,9
160,152,9
161,81,9
162,117,9
163,118,9
164,119,9
165,120,9
166,126,9
167,127,9
168,109,9
169,110,9
170,137,9
171,138,9
172,108,9
173,129,9
174,130,9
175,131,9
176,132,9
177,145,9
178,134,9
179,135,9
180,136,9
181,25,9
182,26,9
183,27,9
184,28,9
185,29,9
186,30,9
187,36,9
188,37,9
189,42,9
190,43,9
191,53,9
192,54,9
193,55,9
194,165,9
195,166,9
196,167,9
197,168,9
198,169,9
199,170,9
200,171,9
201,172,9
202,173,9
203,174,9
204,175,9
205,176,9
206,177,9
207,178,9
208,179,9
209,180,9
210,181,9
211,182,9
212,183,9
213,184,9
214,146,6
215,29,6
216,30,6
217,36,6
218,37,6
219,25,10
220,26,10
221,27,10
222,28,10
223,29,10
224,30,10
225,36,10
226,37,10
227,42,10
228,43,10
229,53,10
230,54,10
231,55,10
232,74,10
233,25,11
234,26,11
235,27,11
236,28,11
237,29,11
238,30,11
239,36,11
240,37,11
241,42,11
242,43,11
243,53,11
244,54,11
245,55,11
246,74,11
247,133,11
248,134,11
249,135,11
250,136,11
251,57,7
252,14,7
