Name_lang,Description_lang,ID,Flags,Field_12_0_0_63534_004,Field_12_0_0_63534_005,Field_12_0_0_63534_006
Tiger Test NI,"Initiative is used in Unit Testing, Ask Tiger Lu before changing values",1,1,100,0,-1
The Best Initiative,It is the best,6,1,0,90931,0
Test Initiative - Not as good as the last one,Porobably at least,7,1,0,90934,1
Great initiative,Maybe not so great,9,1,0,90935,0
[DNT] With Regards to Sporeggar,"[DNT] The farmers and cultivators of the Neighborhood are struggling to produce good soil for this seasons crop rotation. Sympathetic to their plight, the Cenarion Circle has recommended reaching out to a small farming village on the outskirts of Zangarmarsh...",10,1,0,90973,0
[DNT] Deeperholm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,11,1,0,90973,0
Candle Culture,Strange wax deposits have started to appear in the neighborhood. Who better to find a use than the Kobolds of the Ringing Deeps? Seek their counsel on illumination.,12,0,0,91278,0
Friend of the Grummles,"Maintaining a home is hard work! Everyone could sure use a little pick-me-up. That's why we've reached out to the grummles of Kun-Lai, who brew a special beverage called kafa that will put some pep back in your step.",13,0,0,91362,0
[DNT] Holm Sweet Holm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,14,1,0,91396,0
Artistic Aid,"A blood elf art commune is sheltering in the neighborhood while their home is under attack, and wants to share their artistic prowess with the neighborhood.",15,0,0,91633,0
Reaching Beyond the Possible,The dracthyr have recently rediscovered themselves and chosen their own path in life. Their passion for learning will help inspire neighborhood residents to learn new trade skills.,16,0,0,92151,0
Moderate Mechanization,The mechagnomes of Mechagon are here to assist the neighborhood with technological upgrades.,17,0,0,92687,0
Consortium Consternation,The Consortium are in the neighborhood helping the locals recover items lost in void storage.,18,0,0,93941,0
Smell Sensation,The niffen are in the neighborhood to help out with some pollination issues. Together you can make the neighborhoods flora flourish.,19,0,0,94009,0
Every Bakar Has Its Day,"Residents of the neighborhood love their pets, but they could use some help training them. The Maruuk of the Ohn'ahran Plains have very strong bonds with their bakar, and they may be willing to pass on some training tips.",20,0,0,95174,0
Knock-off Amani,"Griftah and his traveling troupe of traders are visiting the neighborhood to trade their ""traditional Amani goods"". They may not be genuine, but they look good.",22,0,0,95334,0
Vacation Season,"The tortollans are a worldly folk. So worldly, in fact, that they need no introduction to your neighborhood--they've been vacationing here long before you put down your roots! Share in their recreational wisdom.",24,0,0,96734,0
