ID,RTPCID,Field_9_0_1_33978_001,CreatureID,SpellID,Field_9_0_1_33978_004
4,29,0,0,325693,0
5,30,0,0,325693,0
6,31,0,0,325693,0
7,32,0,0,325693,0
8,33,0,0,325693,0
9,34,0,0,325693,0
10,35,0,0,325693,0
11,36,0,0,325693,0
12,37,0,0,325693,0
13,38,0,0,325693,0
14,39,0,0,325693,0
15,40,0,0,325693,0
16,41,0,0,325693,0
17,42,0,0,325693,0
18,43,0,0,325693,0
19,44,0,0,325693,0
20,45,0,0,325693,0
108,298,0,0,325693,0
109,299,0,0,326632,0
110,323,0,0,325693,0
111,324,0,0,342837,0
112,325,0,157833,0,0
118,333,0,0,342837,0
119,334,0,0,342837,0
120,335,0,0,342837,0
121,336,0,0,342837,0
122,337,0,0,342837,0
123,338,0,0,342837,0
124,339,0,0,342837,0
125,340,0,0,342837,0
126,341,0,0,342837,0
127,342,0,0,342837,0
128,343,0,0,342837,0
129,344,0,0,342837,0
130,345,0,0,342837,0
131,346,0,0,342837,0
132,347,0,0,342837,0
133,348,0,0,342837,0
134,349,0,0,342837,0
135,350,0,0,342837,0
136,351,0,0,342837,0
137,352,0,0,342837,0
138,353,0,0,342837,0
139,354,0,0,342837,0
140,355,0,0,342837,0
141,356,0,0,342837,0
142,357,0,0,342837,0
143,358,0,0,342837,0
144,359,0,0,342837,0
145,360,0,0,342837,0
146,361,0,0,342837,0
147,362,0,0,342837,0
148,363,0,0,342837,0
149,364,0,0,342837,0
150,365,0,0,342837,0
151,366,0,0,342837,0
152,367,0,0,342837,0
153,368,0,0,342837,0
154,369,0,0,342837,0
155,370,0,0,342837,0
156,371,0,0,342837,0
157,372,0,0,342837,0
158,373,0,0,342837,0
159,374,0,0,342837,0
160,375,0,0,342837,0
161,376,0,0,343510,0
162,377,0,0,343510,0
163,378,0,0,343510,0
164,382,0,157833,0,0
165,383,0,166415,0,0
166,384,0,166415,0,0
169,388,0,157833,0,0
171,391,0,0,325693,0
175,395,0,0,342837,0
176,396,0,0,342837,0
177,397,0,0,342837,0
178,398,0,0,342837,0
179,399,0,0,342837,0
180,400,0,0,342837,0
181,401,0,0,342837,0
182,402,0,0,343644,0
225,447,0,0,335478,0
226,448,0,0,335478,0
227,449,0,0,335478,0
228,450,0,0,335478,0
229,451,0,0,319496,0
230,452,0,0,319496,0
231,453,0,0,319496,0
232,454,0,0,319496,0
233,455,0,0,319495,0
234,456,0,0,319495,0
235,457,0,0,319495,0
236,458,0,0,319495,0
237,459,0,0,319503,0
238,460,0,0,319503,0
239,461,0,0,319503,0
240,462,0,0,319503,0
241,463,0,0,319503,0
242,464,0,0,319503,0
243,465,0,0,319503,0
244,466,0,0,319503,0
245,467,0,0,319503,0
246,468,0,0,319503,0
247,469,0,0,319503,0
248,470,0,0,319503,0
249,471,0,0,319503,0
250,472,0,0,319503,0
251,473,0,0,319503,0
252,474,0,0,319503,0
253,475,0,0,319503,0
254,476,0,0,319503,0
255,477,0,0,335478,0
256,478,0,0,335478,0
262,485,0,0,342837,0
263,486,0,0,342837,0
264,487,0,0,342837,0
265,488,0,0,342837,0
266,489,0,0,342837,0
267,491,0,0,342837,0
268,490,0,0,342837,0
269,492,0,0,332445,0
273,495,0,0,332299,0
274,496,0,0,332301,0
275,497,0,176006,0,0
278,501,0,176006,0,0
282,510,0,0,344937,0
283,511,0,0,344937,0
284,512,0,0,344937,0
285,506,0,0,344937,0
286,505,0,0,344937,0
291,508,0,0,344937,0
292,517,0,0,342837,0
293,519,0,0,347853,0
294,520,0,0,347853,0
295,521,0,176281,0,0
296,522,0,176281,0,0
298,524,0,0,347890,0
299,525,0,0,312015,0
300,526,0,0,312015,0
302,528,0,0,326632,0
305,531,0,0,344937,0
306,532,0,0,344937,0
307,533,0,0,344937,0
308,534,0,0,344937,0
309,535,0,0,344937,0
310,536,0,0,344937,0
311,537,0,0,344937,0
312,538,0,0,344937,0
313,539,0,0,344937,0
314,540,0,0,344937,0
315,541,0,0,344937,0
316,542,0,0,344937,0
317,543,0,0,344937,0
318,544,0,0,344937,0
319,545,0,0,344937,0
320,546,0,0,344937,0
321,547,0,0,344937,0
322,548,0,0,344937,0
323,549,0,0,344937,0
324,550,0,0,344937,0
325,551,0,0,343030,0
328,554,0,0,344937,0
329,555,0,0,344937,0
330,556,0,0,344937,0
331,557,0,0,344937,0
332,558,0,0,344937,0
333,559,0,0,344937,0
334,560,0,0,344937,0
335,561,0,0,344937,0
336,562,0,0,344937,0
337,563,0,0,344937,0
338,564,0,0,344937,0
339,565,0,0,344937,0
340,566,0,0,344937,0
341,567,0,0,344937,0
342,568,0,0,344937,0
343,569,0,0,344937,0
344,570,0,0,344937,0
347,573,0,152253,0,0
348,574,0,152253,0,0
353,579,0,152253,0,0
354,580,0,152253,0,0
355,581,0,0,344937,0
357,583,0,0,344937,0
358,584,0,0,344937,0
359,585,0,0,344937,0
360,586,0,0,344937,0
361,587,0,0,344937,0
362,588,0,0,344937,0
363,589,0,0,344937,0
368,594,0,0,344937,0
369,595,0,0,344937,0
370,596,0,0,344937,0
371,597,0,0,344937,0
373,600,0,0,0,0
374,601,0,0,349926,0
375,602,0,0,349926,0
376,603,0,0,349926,0
377,604,0,0,349926,0
380,610,0,0,351309,0
381,611,0,0,351309,0
384,614,0,0,353249,0
385,615,0,0,353249,0
386,616,0,0,353249,0
387,617,0,0,351309,0
388,618,0,0,351309,0
393,623,0,175611,0,0
396,626,0,175611,0,0
397,627,0,177303,0,0
398,628,0,177303,0,0
399,629,0,177876,0,0
400,630,0,177876,0,0
407,638,0,0,356252,0
408,639,0,0,356252,0
409,640,0,0,342837,0
410,641,0,0,57346,0
411,642,0,0,342837,0
412,643,0,178897,0,0
413,644,0,178897,0,0
