ID,OrderIndex,FactionIndex,CreatureID,Scale,Flags,GarrFollowerID
16,0,0,114075,1,1,734
17,1,0,106280,1,1,734
18,2,0,106280,1,1,734
19,0,1,114075,1,1,734
20,1,1,106280,1,1,734
21,2,1,106280,1,1,734
22,0,0,114074,1,1,728
23,1,0,106280,1,1,728
24,2,0,106280,1,1,728
25,0,1,114074,1,1,728
26,1,1,106280,1,1,728
27,2,1,106280,1,1,728
28,0,0,114073,1,1,727
29,1,0,106280,1,1,727
30,2,0,106280,1,1,727
31,0,1,114073,1,1,727
32,1,1,106280,1,1,727
33,2,1,106280,1,1,727
34,0,0,114072,1,1,649
35,1,0,106280,1,1,649
36,2,0,106280,1,1,649
37,0,1,114072,1,1,649
38,1,1,106280,1,1,649
39,2,1,106280,1,1,649
41,0,0,106637,1,1,621
42,1,0,25165,1,1,621
43,0,1,106637,1,1,621
44,1,1,25165,1,1,621
45,0,0,114076,1,1,738
46,1,0,108619,1,1,738
47,2,0,108619,1,1,738
48,3,0,108619,1,1,738
49,4,0,108619,1,1,738
50,0,1,114076,1,1,738
51,1,1,108619,1,1,738
52,2,1,108619,1,1,738
53,3,1,108619,1,1,738
54,4,1,108619,1,1,738
55,0,0,114078,1,1,737
56,1,0,108619,1,1,737
57,2,0,108619,1,1,737
58,3,0,108619,1,1,737
59,4,0,108619,1,1,737
60,0,1,114078,1,1,737
61,1,1,108619,1,1,737
62,2,1,108619,1,1,737
63,3,1,108619,1,1,737
64,4,1,108619,1,1,737
65,0,0,114077,1,1,736
66,1,0,108619,1,1,736
67,2,0,108619,1,1,736
68,3,0,108619,1,1,736
69,4,0,108619,1,1,736
70,0,1,114077,1,1,736
71,1,1,108619,1,1,736
72,2,1,108619,1,1,736
73,3,1,108619,1,1,736
74,4,1,108619,1,1,736
75,0,0,114076,1,1,735
76,1,0,108619,1,1,735
77,2,0,108619,1,1,735
78,3,0,108619,1,1,735
79,4,0,108619,1,1,735
80,0,1,114076,1,1,735
81,1,1,108619,1,1,735
82,2,1,108619,1,1,735
83,3,1,108619,1,1,735
84,4,1,108619,1,1,735
85,0,0,109032,1,1,743
86,1,0,111011,2,0,743
87,0,1,109032,1,1,743
88,1,1,111011,2,0,743
89,0,0,114023,1.2,1,683
90,1,0,106410,1,1,683
91,2,0,106410,1,1,683
92,0,1,114023,1.2,1,683
93,1,1,106410,1,1,683
94,2,1,106410,1,1,683
95,0,0,114024,1,1,784
96,1,0,106410,1,1,784
97,2,0,106410,1,1,784
98,0,1,114024,1,1,784
99,1,1,106410,1,1,784
100,2,1,106410,1,1,784
101,0,0,114025,1.2,1,785
102,1,0,106410,1,1,785
103,2,0,106410,1,1,785
104,0,1,114025,1.2,1,785
105,1,1,106410,1,1,785
106,2,1,106410,1,1,785
107,0,0,114023,1.2,1,786
108,1,0,106410,1,1,786
109,2,0,106410,1,1,786
110,0,1,114023,1.2,1,786
111,1,1,106410,1,1,786
112,2,1,106410,1,1,786
113,0,0,114024,1,1,787
114,1,0,106410,1,1,787
115,2,0,106410,1,1,787
116,0,1,114024,1,1,787
117,1,1,106410,1,1,787
118,2,1,106410,1,1,787
119,0,0,114025,1.2,1,788
120,1,0,106410,1,1,788
121,2,0,106410,1,1,788
122,0,1,114025,1.2,1,788
123,1,1,106410,1,1,788
124,2,1,106410,1,1,788
125,0,0,114155,1,1,674
126,1,0,112719,1,1,674
127,2,0,112721,1,1,674
128,3,0,112722,1,1,674
130,0,1,114155,1,1,674
131,1,1,112719,1,1,674
132,2,1,112721,1,1,674
133,3,1,112722,1,1,674
136,0,0,114156,1,1,840
137,1,0,112719,1,1,840
138,2,0,112721,1,1,840
139,3,0,112722,1,1,840
141,0,1,114156,1,1,840
142,1,1,112719,1,1,840
143,2,1,112721,1,1,840
144,3,1,112722,1,1,840
146,0,0,114157,1,1,841
147,1,0,112719,1,1,841
148,2,0,112721,1,1,841
149,3,0,112722,1,1,841
151,0,1,114157,1,1,841
152,1,1,112719,1,1,841
153,2,1,112721,1,1,841
154,3,1,112722,1,1,841
156,0,0,114158,1,1,842
157,1,0,112719,1,1,842
158,2,0,112721,1,1,842
159,3,0,112722,1,1,842
161,0,1,114158,1,1,842
162,1,1,112719,1,1,842
163,2,1,112721,1,1,842
164,3,1,112722,1,1,842
165,0,0,113989,1,1,680
166,1,0,112942,1,1,680
167,2,0,112943,1,1,680
168,0,1,113989,1,1,680
169,1,1,112942,1,1,680
170,2,1,112943,1,1,680
171,0,0,113990,1,1,908
172,1,0,112942,1,1,908
173,2,0,112943,1,1,908
174,0,1,113990,1,1,908
175,1,1,112942,1,1,908
176,2,1,112943,1,1,908
177,0,0,113991,1,1,909
178,1,0,112942,1,1,909
179,2,0,112943,1,1,909
180,0,1,113991,1,1,909
181,1,1,112942,1,1,909
182,2,1,112943,1,1,909
183,0,0,113992,1,1,910
