ID,ItemBonusTreeID,ItemID
138706,1273,49715
318587,5537,6266
318912,5654,14091
318914,5663,15278
318916,5666,15221
318918,5658,12017
318935,5710,9409
318936,5709,10783
318938,5657,10788
318939,5655,10785
318941,5656,10786
318942,5709,10800
318943,5704,13409
318944,5676,20664
318945,5676,20652
318946,5676,20655
318947,5676,20690
318948,5678,20686
318950,5679,20674
318979,5680,20667
318980,5680,20658
318981,5680,20661
318982,5681,20689
318983,5680,20681
318984,5682,20665
318985,5683,20656
318986,5683,20670
318987,5683,20659
318988,5683,20684
318989,5684,20668
319023,5685,20680
319057,5686,20662
319058,5686,20653
319059,5686,20673
319060,5686,20687
319061,5687,20683
319062,5688,20671
319063,5689,11767
319064,5690,11766
319066,5692,11764
319067,5691,11765
319068,5693,12952
319069,5693,12953
319070,5693,12960
319071,5693,22225
319076,5695,20692
319081,5693,18319
319082,5696,18529
319083,5697,18382
319084,5697,18295
319085,5698,18684
319086,5699,12527
319087,5700,19921
319088,5701,862
319089,5702,10504
319090,5701,13386
319091,5704,10787
319092,5705,10828
319093,5706,13254
319094,5707,10796
319095,5708,10777
319096,5709,13258
319097,5709,9455
319098,5709,9428
319100,5711,10784
319101,5717,9640
319103,5718,20039
319104,5717,9410
319105,5719,12926
319106,5720,9461
319107,5720,11118
319108,5704,11934
319109,5721,10795
319583,5657,3474
319628,5666,727
319629,5664,789
319630,5668,790
319631,5668,863
319632,5666,864
319633,5664,865
319634,5663,866
319635,5664,1207
319636,5668,1259
319637,5664,1608
319638,5663,1613
319639,5667,1625
319640,5669,1639
319641,5669,1640
319642,5665,1990
319643,5668,1994
319644,5663,2072
319645,5668,2073
319646,5664,2075
319647,5663,2077
319648,5666,2078
319649,5664,2079
319650,5668,2080
319651,5662,2140
319652,5662,2632
319653,5662,2819
319654,5662,3184
319655,5663,3185
319656,5666,3186
319657,5662,3187
319658,5667,3192
319659,5665,3193
319660,5669,3195
319661,5667,3196
319662,5667,3197
319663,5665,3198
319664,5669,3199
319665,5669,3201
319666,5667,3206
319667,5665,3208
319668,5669,3210
319669,5672,3430
319670,5666,3740
319671,5672,4087
319672,5662,4088
319673,5672,4089
319674,5668,4561
319675,5669,4562
319676,5665,4564
319677,5663,4566
319678,5667,4567
319679,5668,4568
319680,5664,4569
319681,5665,4570
319682,5662,4571
319683,5663,4575
319684,5673,5215
319685,5673,5216
319686,5654,6267
319687,5839,6268
319688,5839,6269
319689,5838,6336
319690,5838,6337
319691,5654,6512
319692,5654,6536
319693,5654,6537
319694,5654,6538
319695,5654,6539
319696,5654,6540
319697,5654,6541
319698,5659,6542
319699,5654,6543
319700,5838,6545
319701,5838,6546
319702,5838,6547
319703,5838,6548
319704,5838,6550
319705,5838,6551
319706,5839,6552
319707,5839,6553
319708,5839,6554
319709,5839,6556
319710,5839,6557
319711,5839,6558
319712,5660,6559
319713,5660,6560
319714,5654,6562
319715,5654,6563
319716,5659,6564
319717,5654,6565
319718,5654,6567
319719,5654,6568
319720,5654,6569
319721,5654,6570
319722,5660,6571
319723,5660,6572
319724,5838,6573
319725,5838,6574
319726,5659,6575
319727,5838,6576
319728,5838,6577
319729,5838,6578
319730,5838,6580
319731,5839,6581
319732,5839,6582
319733,5839,6583
319734,5839,6584
319735,5659,6585
319736,5839,6586
319737,5839,6587
319738,5658,6589
319739,5838,6590
319740,5838,6591
319741,5838,6592
319742,5659,6593
319743,5838,6594
319744,5838,6595
319745,5838,6596
319746,5838,6597
319747,5660,6598
319748,5660,6599
319749,5839,6600
319750,5839,6601
319751,5839,6602
319752,5839,6603
319753,5659,6604
319754,5839,6605
319755,5839,6607
319756,5654,6609
319757,5654,6610
319758,5654,6611
319759,5654,6612
319760,5654,6613
319761,5659,6614
319762,5654,6615
319763,5654,6616
319764,5654,6617
319765,5660,7108
319766,5660,7330
319767,5660,7331
319768,5654,7332
319769,5654,7353
319770,5654,7354
319771,5654,7355
319772,5659,7356
319773,5654,7357
319774,5654,7366
319775,5654,7367
319776,5654,7368
319777,5654,7369
319778,5654,7370
319779,5839,7406
319780,5839,7407
319781,5839,7408
319782,5839,7409
319783,5839,7410
319784,5659,7411
319785,5839,7412
319786,5839,7413
319787,5839,7414
319788,5839,7415
319789,5838,7416
319790,5838,7417
319791,5838,7418
319792,5659,7419
319793,5838,7420
319794,5838,7421
319795,5838,7422
319796,5838,7423
319797,5838,7424
319798,5658,7426
319799,5658,7427
319800,5654,7429
319801,5654,7430
319802,5654,7431
319803,5654,7432
319804,5654,7433
319805,5654,7434
319806,5654,7435
319807,5659,7436
319808,5654,7437
319809,5654,7438
319810,5655,7439
319811,5839,7440
319812,5839,7441
319813,5839,7443
319814,5839,7444
319815,5839,7445
319816,5659,7446
319817,5839,7447
319818,5839,7448
319819,5838,7454
319820,5838,7455
319821,5838,7456
319822,5838,7457
319823,5838,7458
319824,5838,7459
319825,5659,7460
319826,5838,7461
319827,5838,7462
319828,5660,7463
319829,5660,7465
319830,5658,7466
319831,5658,7467
319832,5654,7468
319833,5654,7469
319834,5654,7470
319835,5654,7471
319836,5654,7472
319837,5654,7473
319838,5659,7474
319839,5654,7475
319840,5654,7476
319841,5655,7477
319842,5655,7478
319843,5655,7479
319844,5655,7480
319845,5655,7481
319846,5655,7482
319847,5659,7483
319848,5655,7484
319849,5655,7485
319850,5656,7486
319851,5656,7487
319852,5656,7488
319853,5656,7489
319854,5656,7490
319855,5656,7491
319856,5659,7492
319857,5656,7493
319858,5656,7494
319859,5660,7495
319860,5660,7496
319861,5658,7497
319862,5654,7517
319863,5654,7518
319864,5654,7519
319865,5654,7520
319866,5654,7521
319867,5654,7522
319868,5654,7523
319869,5659,7524
319870,5654,7525
319871,5654,7526
319872,5655,7527
319873,5655,7528
319874,5655,7529
319875,5655,7530
319876,5655,7531
319877,5655,7532
319878,5659,7533
319879,5655,7534
319880,5655,7535
319881,5660,7536
319882,5660,7537
319883,5656,7538
319884,5656,7539
319885,5656,7540
319886,5656,7541
319887,5656,7542
319888,5656,7543
319889,5659,7544
319890,5656,7545
319891,5656,7546
319892,5658,7547
319893,5658,7548
319894,5661,7554
319895,5661,7555
319896,5661,7556
319897,5661,7557
319898,5661,7558
319899,5661,7609
319900,5667,8178
319901,5664,8194
319902,5666,8196
319903,5667,8199
319904,5655,8210
319905,5655,8211
319906,5655,8212
319907,5655,8213
319908,5655,8214
319909,5659,8215
319910,5657,9285
319911,5657,9286
319912,5657,9287
319913,5657,9288
319914,5657,9289
319915,5657,9290
319916,5657,9291
319917,5657,9292
319918,5657,9387
319919,5656,9388
319920,5655,9389
319921,5654,9390
319922,5654,9747
319923,5654,9748
319924,5654,9749
319925,5660,9753
319926,5839,9756
319927,5839,9757
319928,5838,9763
319929,5660,9764
319930,5838,9765
319931,5654,9766
319932,5654,9767
319933,5654,9768
319934,5661,9769
319935,5659,9770
319936,5654,9771
319937,5654,9772
319938,5654,9773
319939,5654,9774
319940,5839,9775
319941,5839,9776
319942,5839,9777
319943,5660,9778
319944,5659,9779
319945,5839,9780
319946,5839,9781
319947,5839,9782
319948,5838,9783
319949,5838,9784
319950,5838,9785
319951,5659,9786
319952,5838,9787
319953,5838,9788
319954,5838,9789
319955,5660,9790
319956,5654,9791
319957,5654,9792
319958,5654,9793
319959,5659,9794
319960,5654,9795
319961,5654,9796
319962,5654,9797
319963,5654,9798
319964,5654,9799
319965,5661,9800
319966,5839,9801
319967,5839,9802
319968,5839,9803
319969,5660,9804
319970,5659,9805
319971,5839,9806
319972,5839,9807
319973,5839,9808
319974,5839,9809
319975,5838,9810
319976,5838,9811
319977,5659,9812
319978,5838,9813
319979,5838,9814
319980,5838,9815
319981,5660,9816
319982,5838,9817
319983,5838,9818
319984,5654,9819
