Description_lang,ID,SpecID,SpellID,OverridesSpellID,Flags,ActionBarSpellID,PvpTalentCategoryID,LevelRequired,PlayerConditionID
,15,265,248855,0,0,0,2,49,103501
,16,265,212371,0,0,0,2,0,0
,18,265,212295,0,0,0,2,0,0
,19,265,221711,0,0,0,2,0,0
,24,73,236077,0,0,0,2,0,0
,28,71,235941,0,0,0,2,46,103491
,29,71,198807,0,0,0,2,0,0
,31,71,236308,0,0,0,2,38,103492
,32,71,236320,0,0,0,2,0,0
,33,71,198817,0,0,0,2,0,0
,34,71,236273,0,0,0,2,40,0
,40,252,288855,0,0,0,2,0,0
,41,252,77606,0,0,0,2,0,0
,49,104,236144,0,0,0,2,30,0
,51,104,236180,0,0,0,2,30,0
,52,104,201664,0,0,0,2,0,0
,59,105,233673,0,0,0,2,40,103446
,66,64,407581,0,0,0,2,0,0
,70,270,353584,0,0,0,2,32,103483
,77,269,201372,0,0,0,2,21,103485
,81,70,199428,0,0,0,2,25,0
,85,65,199452,0,0,0,2,41,103470
,86,65,210378,0,0,0,2,34,0
,87,65,199456,0,0,0,2,25,103471
,88,65,199454,0,0,0,2,30,103469
,90,66,216868,0,0,0,2,0,0
,91,66,199542,0,0,0,2,0,103472
,92,66,216853,0,0,0,2,32,103476
,94,66,228049,86659,0,0,2,40,103475
,97,66,216855,0,0,0,2,0,0
,100,256,196439,0,0,0,2,0,0
,101,257,213610,0,0,0,2,0,0
,106,258,199259,0,0,0,2,23,103431
,108,257,357481,0,0,0,2,41,103427
,109,256,214205,0,0,0,2,0,0
,111,256,197535,0,0,0,2,0,0
,112,257,289666,0,0,0,2,0,0
,113,258,199445,0,0,0,2,0,0
,114,256,236499,0,0,0,2,23,103424
,123,256,197862,0,0,0,2,0,0
,124,257,215982,20711,0,215769,2,29,0
,126,256,197871,0,0,0,2,0,0
,127,257,197268,0,0,0,2,0,0
,129,260,197000,0,0,0,2,0,0
,135,260,198265,0,0,0,2,29,103452
,136,261,198952,0,0,0,2,0,0
,138,260,354406,0,0,0,2,35,0
,139,260,354425,0,0,0,2,0,0
,141,259,354895,0,0,0,2,30,0
,145,260,207777,0,0,0,2,0,0
,146,261,354825,0,0,0,2,25,0
,147,259,198145,0,0,0,2,22,0
,149,252,356520,0,0,0,2,30,0
,152,252,210128,0,0,0,2,0,0
,153,261,207736,0,0,0,2,40,0
,157,267,200586,0,0,0,2,0,0
,162,266,212459,0,0,0,2,0,0
,164,267,461917,0,0,0,2,30,103503
,165,266,201996,0,0,0,2,0,0
,166,72,280745,0,0,0,2,33,103495
,168,73,213871,0,0,0,2,0,0
,170,72,213857,0,0,0,2,0,103493
,171,73,199023,0,0,0,2,27,103497
,173,73,198912,0,0,0,2,0,0
,175,73,199045,0,0,0,2,0,103496
,177,72,411764,0,0,0,2,0,0
,178,73,199086,0,0,0,2,33,103498
,179,72,199261,0,0,0,2,0,0
,180,102,233754,0,0,0,2,0,0
,182,102,200567,0,0,0,2,0,0
,184,102,233750,0,0,0,2,40,0
,185,102,209740,0,0,0,2,30,0
,194,104,228431,0,0,0,2,27,103441
,195,104,202226,0,0,0,2,0,0
,196,104,202246,0,0,0,2,0,0
,197,104,329042,0,0,0,2,40,0
,201,103,305497,0,0,0,2,35,0
,203,103,213200,0,0,0,2,43,103434
,204,250,202727,0,0,0,2,0,0
,205,250,202731,0,0,0,2,0,0
,206,250,47476,221562,0,0,2,45,126724
,601,103,236012,0,0,0,2,0,0
,602,103,203052,0,0,0,2,21,0
,608,250,233412,0,0,0,2,35,103419
,609,250,203173,0,0,0,2,0,0
,611,103,236020,0,0,0,2,0,0
,612,103,203224,0,0,0,2,0,0
,620,103,203242,0,0,0,2,37,103440
,632,64,198148,0,0,0,2,40,0
,634,64,198144,12472,0,0,2,30,103450
,635,62,210476,0,0,0,2,48,103448
,637,62,415945,0,0,0,2,0,112521
,640,65,199324,0,0,0,2,39,0
,642,65,199330,0,0,0,2,27,0
,644,63,203280,0,0,0,2,0,0
,648,63,203286,0,0,0,2,40,0
,651,254,202746,0,0,0,2,25,0
,653,254,356719,0,0,0,2,30,0
,658,254,203129,0,0,0,2,35,103465
,659,254,248443,0,0,0,2,0,110865
,660,254,203155,0,0,0,2,30,0
,661,255,203235,0,0,0,2,0,0
,662,255,212640,0,0,0,2,0,0
,664,255,407028,0,0,0,2,21,0
,665,255,212638,0,0,0,2,35,0
,666,268,202107,0,0,0,2,28,103478
,667,268,410346,0,0,0,2,30,0
,668,268,202200,0,0,0,2,34,103480
,669,268,202162,0,0,0,2,0,0
,670,268,354540,0,0,0,2,40,0
,672,268,202335,0,0,0,2,21,0
,673,268,202370,0,0,0,2,0,0
,675,269,247483,0,0,0,2,30,0
,679,270,353502,0,0,0,2,30,0
,680,270,202577,0,0,0,2,0,0
,683,270,205234,0,0,0,2,25,0
,686,255,203340,0,0,0,2,40,0
,691,105,409785,0,0,0,2,0,0
,692,105,247543,0,0,0,2,23,103444
,693,253,356976,0,0,0,2,0,110864
,697,105,305497,0,0,0,2,35,0
,700,105,233755,0,0,0,2,0,0
,701,251,204080,0,0,0,2,0,103420
,702,251,233396,0,0,0,2,0,0
,707,264,460697,0,0,0,2,50,126727
,708,264,204331,0,0,0,2,0,0
,714,264,206642,0,0,0,2,39,103457
,715,264,204336,0,0,0,2,30,0
,721,263,289874,0,0,0,2,0,0
,722,263,193876,0,0,0,2,48,0
,727,262,355580,0,0,0,2,0,0
,752,70,210256,0,0,0,2,0,0
,754,70,246806,0,0,0,2,0,0
,756,70,247675,0,0,0,2,30,0
,763,258,211522,0,0,0,2,0,0
,765,268,205147,0,0,0,2,0,0
,805,577,205625,0,0,0,2,0,0
,806,577,205604,0,0,0,2,30,0
,811,577,206803,0,0,0,2,30,0
,812,577,205596,0,0,0,2,35,103459
,813,577,354489,0,0,0,2,42,0
,814,581,205625,0,0,0,2,0,0
,815,581,205626,0,0,0,2,0,0
,816,581,205627,0,0,0,2,0,0
,819,581,205630,0,0,0,2,0,0
,820,103,205673,0,0,0,2,27,103439
,822,102,410544,0,0,0,2,30,0
,824,253,208652,0,0,0,2,0,0
,825,253,205691,0,0,0,2,0,0
,830,259,354124,0,0,0,2,58,0
,831,73,206572,0,0,0,2,0,0
,833,73,213915,0,0,0,2,47,103499
,834,102,233755,0,0,0,2,0,0
,835,105,203553,0,0,0,2,21,0
,836,102,209749,0,0,0,2,0,0
,838,105,200931,0,0,0,2,48,0
,841,250,207018,56222,0,0,2,0,0
,842,104,207017,6795,0,0,2,25,0
,843,268,207025,115546,0,0,2,0,0
,844,66,207028,62124,0,0,2,0,0
,845,73,205800,355,0,0,2,0,0
,846,261,198675,0,0,0,2,0,0
,852,269,342928,0,0,0,2,0,0
,853,260,209752,0,0,0,2,0,103453
,855,256,316262,0,0,0,2,50,0
,856,261,197899,0,0,0,2,0,103454
,860,66,210341,0,0,0,2,0,0
,861,66,215652,0,0,0,2,0,0
,1206,577,357419,0,0,0,2,40,103461
,1208,260,221622,0,0,0,2,48,103451
,1209,261,359053,0,0,0,2,25,0
,1213,266,212628,0,0,0,2,40,0
,1214,253,248518,0,0,0,2,30,108678
,1215,105,203624,0,0,0,2,34,103442
,1218,577,213480,0,0,0,2,0,0
,1220,581,207029,185245,0,0,2,0,0
,1237,104,236147,0,0,0,2,0,0
,1927,257,408853,0,0,0,2,49,103428
,1928,270,209584,0,0,0,2,0,0
,1948,581,211489,0,0,0,2,0,0
,1958,268,232876,0,0,0,2,23,0
,3052,269,233759,0,0,0,2,0,0
,3053,103,236019,0,0,0,2,0,0
,3058,102,356517,0,0,0,2,34,111629
,3421,260,198020,0,0,0,2,0,0
,3423,581,205629,0,0,0,2,0,0
,3429,581,205604,0,0,0,2,30,0
,3430,581,205596,0,0,0,2,40,103459
,3439,251,199719,0,0,0,2,50,0
,3441,250,199720,0,0,0,2,40,0
,3447,261,197000,0,0,0,2,0,0
,3448,259,197000,0,0,0,2,0,0
,3462,261,269513,0,0,0,2,0,0
,3474,66,199428,0,0,0,2,25,0
,3479,259,269513,0,0,0,2,0,0
,3480,259,212182,0,0,0,2,25,0
,3483,260,212182,0,0,0,2,25,0
,3487,263,460697,0,0,0,2,50,126727
,3488,262,460697,0,0,0,2,50,126727
,3489,263,204331,0,0,0,2,0,0
,3490,262,204331,0,0,0,2,0,0
,3491,262,356736,0,0,0,2,0,0
,3492,263,356736,0,0,0,2,0,0
,3506,266,248855,0,0,0,2,49,103501
,3508,267,212295,0,0,0,2,0,0
,3511,250,77606,0,0,0,2,0,0
,3512,251,77606,0,0,0,2,0,0
,3517,62,198111,0,0,0,2,30,0
,3528,72,235941,0,0,0,2,46,103491
,3529,62,198100,30449,0,0,2,40,103447
,3533,72,236077,0,0,0,2,0,0
,3534,71,236077,0,0,0,2,0,0
,3599,253,202746,0,0,0,2,25,0
,3604,253,356719,0,0,0,2,30,0
,3607,255,202746,0,0,0,2,25,0
,3609,255,356719,0,0,0,2,30,0
,3618,65,216868,0,0,0,2,0,0
,3619,260,269513,0,0,0,2,0,0
,3620,262,204336,0,0,0,2,30,0
,3622,263,204336,0,0,0,2,30,0
,3624,266,212295,0,0,0,2,0,0
,3727,581,213480,0,0,0,2,0,0
,3728,102,209730,0,0,0,2,0,0
,3729,254,203235,0,0,0,2,0,0
,3730,253,203235,0,0,0,2,0,0
,3731,102,305497,0,0,0,2,35,0
,3732,270,233759,0,0,0,2,40,0
,3735,72,352998,0,0,0,2,36,103494
,3737,269,357633,0,0,0,2,20,103487
,3743,251,287250,0,0,0,2,0,103421
,3744,269,345829,0,0,0,2,40,103488
,3745,269,287681,0,0,0,2,0,0
,3746,252,288848,0,0,0,2,29,103423
,3750,104,213200,0,0,0,2,43,103434
,3751,103,202626,0,0,0,2,40,0
,3755,264,290250,0,0,0,2,21,110799
,5365,257,316262,0,0,0,2,50,0
,5366,257,328530,0,0,0,2,22,0
,5372,71,329033,0,0,0,2,41,111628
,5373,72,329033,0,0,0,2,41,111628
,5374,73,329033,0,0,0,2,41,111628
,5376,71,356353,0,0,0,2,45,0
,5379,265,335052,0,0,0,2,30,0
,5381,258,316262,0,0,0,2,50,0
,5382,267,248855,0,0,0,2,49,103501
,5383,102,200931,0,0,0,2,48,103433
,5384,103,200931,0,0,0,2,48,0
,5386,265,426352,0,0,0,2,0,0
,5387,105,353114,0,0,0,2,39,112034
,5388,264,353115,0,0,0,2,49,103458
,5389,63,353082,0,0,0,2,55,0
,5390,64,352278,0,0,0,2,55,0
,5392,265,353294,0,0,0,2,55,103500
,5393,267,353294,0,0,0,2,55,103500
,5394,266,353294,0,0,0,2,55,103500
,5395,270,353313,0,0,0,2,49,103484
,5397,62,353128,0,0,0,2,55,0
,5398,270,353361,0,0,0,2,35,0
,5401,267,353753,0,0,0,2,55,0
,5402,270,353936,0,0,0,2,35,0
,5405,259,207777,0,0,0,2,0,0
,5406,261,207777,0,0,0,2,0,0
,5407,102,354541,0,0,0,2,55,103438
,5408,259,221622,0,0,0,2,48,103451
,5409,261,221622,0,0,0,2,48,103451
,5410,104,354654,0,0,0,2,55,0
,5411,261,354661,0,0,0,2,48,0
,5412,260,354843,0,0,0,2,25,0
,5416,256,356085,0,0,0,2,35,0
,5417,268,355917,0,0,0,2,58,103479
,5429,251,47476,221562,0,0,2,45,126724
,5430,252,47476,221562,0,0,2,45,126724
,5431,72,356353,0,0,0,2,45,0
,5432,73,356353,0,0,0,2,45,0
,5433,577,355995,0,0,0,2,42,103460
,5434,581,355995,0,0,0,2,42,103460
,5435,251,356470,0,0,0,2,30,0
,5436,252,356512,0,0,0,2,35,103422
