ID,Name_lang,TypeID,Parent_group_ID,Order_index
1,Classic Dungeons,1,0,114
2,Burning Crusade Normal,1,0,113
3,Burning Crusade Heroic,1,0,112
4,Wrath of the Lich King Normal,1,0,111
5,Wrath of the Lich King Heroic,1,0,110
6,Classic Raid,2,0,522
7,Burning Crusade Raid,2,0,521
8,Wrath of the Lich King Raid (10),2,0,520
9,Wrath of the Lich King Raid (25),2,0,519
11,World Events,0,0,10
12,Cataclysm Heroic,1,0,108
13,Cataclysm Normal,1,0,109
14,Cataclysm Raid (25),2,0,517
15,Cataclysm Raid (10),2,0,518
20,Rated Battleground,2,0,1024
33,Hour of Twilight Heroic,1,0,107
36,Mists of Pandaria Heroic,1,0,105
37,Mists of Pandaria Normal,1,0,106
38,Scenarios,1,0,1025
40,Mists of Pandaria Raid (25),2,0,516
41,Mists of Pandaria Raid (10),2,0,515
43,Heroic Scenarios,1,0,1026
44,Timewalking,0,0,1027
45,Mists of Pandaria Raid (Flex),2,0,514
46,Mists of Pandaria World Boss,2,0,513
47,Warlords of Draenor Normal,1,0,104
48,Warlords of Draenor Heroic,1,0,103
49,Warlords of Draenor Raid (Normal),2,0,510
50,Warlords of Draenor Raid (Heroic),2,0,511
51,Warlords of Draenor Raid (Mythic),2,0,512
52,Legion Heroic,1,0,102
53,Legion Normal,1,0,101
54,Legion Raid (Normal),2,0,507
55,Legion Raid (Heroic),2,0,508
56,Legion Raid (Mythic),2,0,509
57,Battle for Azeroth Normal,1,0,99
58,Battle for Azeroth Heroic,1,0,100
159,Battle for Azeroth Raid (Normal),2,0,510
160,Battle for Azeroth Raid (Heroic),2,0,511
161,Battle for Azeroth Raid (Mythic),2,0,512
162,Battle for Azeroth Mythic,1,0,101
163,Shadowlands Mythic,1,0,98
164,Shadowlands Heroic,1,0,97
165,Shadowlands Normal,1,0,96
166,Exile's Reach,1,0,115
167,Shadowlands Raid (Mythic),2,0,95
168,Shadowlands Raid (Heroic),2,0,94
169,Shadowlands Raid (Normal),2,0,93
170,Dragonflight Mythic,1,0,92
171,Dragonflight Heroic,1,0,91
172,Dragonflight Normal,1,0,90
173,Dragonflight Follower,1,0,90
177,The War Within Normal,1,0,87
178,The War Within Heroic,1,0,88
180,Mists of Pandaria Follower,1,0,106
182,Timerunning Dungeons,0,0,1028
183,Timerunning Heroic Dungeons,0,0,1029
184,Timerunning Scenarios,1,0,1030
185,Timerunning Heroic Scenarios,1,0,1031
186,The War Within Heroic: Season 1,1,0,89
