ID,KeystoneAffixID,Field_9_1_0_38511_003,Field_9_1_0_38511_004,DisplaySeasonID
1,9,1,1,10
2,10,1,1,10
3,9,1,1,11
4,10,1,1,11
5,3,1,0,10
6,4,1,0,10
7,6,1,0,10
8,7,1,0,10
9,8,1,0,10
10,11,1,0,10
11,12,1,0,10
12,13,1,0,10
13,14,1,0,10
14,123,1,0,10
15,124,1,0,10
16,122,1,0,10
17,121,2,0,10
18,128,2,0,11
19,122,1,0,11
20,124,1,0,11
21,123,1,0,11
22,14,1,0,11
23,13,1,0,11
24,12,1,0,11
25,11,1,0,11
26,8,1,0,11
27,7,1,0,11
28,6,1,0,11
29,4,1,0,11
30,3,1,0,11
31,10,1,1,12
32,9,1,1,12
33,130,2,0,12
34,122,1,0,12
35,124,1,0,12
36,123,1,0,12
37,14,1,0,12
38,13,1,0,12
39,12,1,0,12
40,11,1,0,12
41,8,1,0,12
42,7,1,0,12
43,6,1,0,12
44,4,1,0,12
45,3,1,0,12
134,131,2,0,17
142,10,1,1,17
143,9,1,1,17
144,6,1,0,17
145,7,1,0,17
146,8,1,0,17
147,11,1,0,17
148,122,1,0,17
149,123,1,0,17
150,3,1,0,17
151,4,1,0,17
152,12,1,0,17
153,14,1,0,17
154,13,1,0,17
155,124,1,0,17
156,10,1,1,19
157,9,1,1,19
158,6,1,0,19
159,7,1,0,19
161,8,1,0,19
162,11,1,0,19
163,123,1,0,19
164,3,1,0,19
165,12,1,0,19
166,14,1,0,19
167,13,1,0,19
168,124,1,0,19
169,132,2,0,19
170,10,1,1,21
171,9,1,1,21
172,6,2,0,21
173,7,2,0,21
174,8,2,0,21
175,11,2,0,21
176,123,2,0,21
177,3,2,0,21
178,135,2,0,21
179,134,2,0,21
180,136,2,0,21
181,124,2,0,21
195,10,1,1,22
196,9,1,1,22
197,6,2,0,22
198,7,2,0,22
199,8,2,0,22
200,11,2,0,22
201,123,2,0,22
202,3,2,0,22
203,135,2,0,22
204,134,2,0,22
205,136,2,0,22
206,124,2,0,22
207,10,1,1,23
208,9,1,1,23
209,6,2,0,23
210,7,2,0,23
211,8,2,0,23
212,11,2,0,23
213,123,2,0,23
214,3,2,0,23
215,135,2,0,23
216,134,2,0,23
217,136,2,0,23
218,124,2,0,23
219,10,10,0,24
220,9,10,0,24
231,148,10,1,24
232,158,10,1,24
233,159,10,1,24
234,160,10,1,24
235,152,15,0,24
236,147,25,1,24
