ID,QuestID,UiQuestDetailsThemeID
1,40519,1
2,43926,2
3,47221,3
4,47835,3
5,50476,5
6,46727,6
7,50668,7
8,51795,8
9,52058,6
10,51796,10
11,53372,7
12,53370,6
13,56030,11
14,56031,12
15,58582,5
16,58496,13
17,53029,14
18,53026,14
19,51211,14
20,52428,14
22,60113,24
23,60115,25
24,60424,17
25,60425,17
26,60430,17
27,60434,17
28,60439,17
29,60442,17
30,60447,17
31,60450,17
32,60454,17
33,60465,17
34,60458,17
35,60415,17
36,60372,17
37,60358,17
38,60377,17
39,60380,17
40,60391,17
41,60392,17
43,60395,17
44,60400,17
45,60403,17
46,60404,17
47,60407,17
48,60412,17
49,60423,19
50,60426,19
51,60429,19
52,60433,19
53,60440,19
54,60443,19
55,60445,19
56,60449,19
57,60455,19
58,60464,19
59,60459,19
60,60416,19
61,60371,19
62,60363,19
63,60376,19
64,60379,19
65,60390,19
66,60393,19
67,60396,19
68,60398,19
69,60402,19
70,60405,19
71,60408,19
72,60411,19
73,60419,22
74,60418,22
75,60420,22
76,60421,22
77,60438,22
78,60437,22
79,60436,22
80,60435,22
81,60452,22
82,60462,22
83,60457,22
84,60414,22
85,60369,22
86,60364,22
87,60374,22
88,60373,22
89,60381,22
90,60384,22
91,60383,22
92,60382,22
93,60388,22
94,60387,22
95,60386,22
96,60385,22
97,60422,20
98,60427,20
99,60431,20
100,60432,20
101,60441,20
102,60444,20
103,60446,20
104,60448,20
105,60456,20
106,60463,20
107,60460,20
108,60417,20
109,60370,20
110,60365,20
111,60375,20
112,60378,20
113,60389,20
114,60394,20
115,60397,20
116,60399,20
117,60401,20
118,60406,20
119,60409,20
120,60410,20
121,63822,27
122,63824,28
123,63543,29
124,63823,30
125,64554,27
126,66693,32
127,66694,32
128,66695,32
129,66696,32
130,66619,32
131,66618,32
132,66617,32
133,66615,32
134,66616,32
135,66614,32
138,66937,38
139,66938,38
140,66940,38
141,67080,38
142,70025,33
143,70026,34
144,70027,37
145,70028,45
146,70029,40
147,70030,35
148,70031,42
149,70032,43
150,70033,44
151,70034,36
152,70183,38
153,70184,33
154,70186,40
155,70187,35
156,70188,42
157,70189,43
158,70190,34
159,70191,44
160,70192,45
161,70193,36
162,70194,37
163,70355,38
164,70357,33
165,70358,33
166,70359,35
167,70360,40
168,70361,42
169,70362,44
170,70363,36
171,70364,34
172,70365,43
173,70366,37
174,70211,33
175,70233,33
176,70234,33
177,70235,33
178,70530,38
179,70531,38
180,70532,38
181,70533,38
182,70539,35
183,70540,35
184,70545,35
185,70557,35
186,70558,42
187,70559,42
188,70560,42
189,70561,42
190,70562,43
191,70563,43
192,70564,43
193,70565,43
194,70567,44
195,70568,44
196,70569,44
197,70571,44
198,70572,37
199,70582,37
200,70586,37
201,70587,37
202,70046,38
203,70589,33
204,70590,40
205,70591,35
206,70592,42
207,70593,43
208,70594,44
209,70595,37
210,70613,34
211,70614,34
212,70615,34
213,70616,34
214,70617,45
215,70618,45
216,70619,36
217,70620,36
222,72245,38
223,72251,39
224,72250,39
225,72242,35
226,72253,41
227,72252,41
228,72243,34
229,72244,42
230,72247,43
231,72249,37
234,72427,38
235,66517,33
236,66897,33
237,66941,33
238,72398,33
239,66884,40
240,66900,40
241,66935,40
242,72423,40
243,66890,35
244,66891,35
245,66942,35
246,72396,35
247,66943,42
248,66944,42
249,66945,42
250,72438,42
251,66516,43
252,66949,43
253,66950,43
254,72428,43
255,66364,44
256,66363,44
257,66951,44
258,72407,44
259,66899,37
260,66952,37
261,66953,37
262,72410,37
263,72155,40
264,72172,40
265,72173,40
266,72175,40
269,66959,52
270,66858,52
271,72681,52
274,74913,46
275,74923,46
276,74924,46
277,74912,46
278,75149,42
279,75148,33
280,75150,40
282,75286,33
283,75288,40
284,75289,42
285,75301,38
286,75304,37
287,75307,39
288,75308,35
289,75309,43
290,75351,44
291,75354,42
292,75362,42
293,75363,42
294,75368,42
295,75371,42
296,75407,42
297,75569,33
298,75573,42
299,75575,35
300,75602,43
301,75608,35
302,75833,52
303,75865,40
304,75600,37
305,76103,52
306,76104,52
307,76105,52
308,76106,52
309,76107,52
310,76108,52
311,76112,52
312,76113,52
313,76114,52
314,76159,52
321,77861,44
322,77889,42
323,77891,35
324,77892,43
325,77910,40
326,77912,43
327,77914,42
328,77932,38
329,77933,38
330,77935,33
331,77936,33
332,77937,40
333,77938,35
334,77945,44
335,77946,44
336,77947,37
337,77949,37
350,81696,52
352,81714,52
353,81715,52
354,81717,52
355,81718,52
356,81719,52
357,81720,52
358,81721,52
359,81722,52
360,81723,52
361,81724,52
362,81725,52
363,81726,52
370,82916,34
371,82958,34
372,82962,34
373,82965,34
374,82970,34
375,82992,36
376,82993,36
377,83097,36
378,83098,36
379,83100,36
380,83102,45
381,83103,45
382,83104,45
383,83105,45
384,83106,45
385,84084,40
386,84085,40
387,84086,40
388,84127,33
389,84128,35
390,84129,42
391,84130,43
392,84131,44
393,84132,37
394,84133,38
395,84134,40
399,85005,62
