ID,Sound[0],Sound[1],Sound[2],Sound[3]
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,1185,1202,0,0
8,1191,1213,0,0
9,1190,1207,0,0
10,1195,1212,0,0
11,1188,1206,0,0
12,1198,1217,0,0
13,1217,1216,0,0
14,1193,1210,0,0
15,1189,1208,0,0
16,1186,1203,0,0
17,1197,1215,0,0
18,1183,1200,0,0
19,1184,1201,0,0
20,1192,1209,0,0
21,1196,1214,0,0
22,1194,1211,0,0
23,1187,1205,0,0
24,1221,1204,0,0
237,250396,0,0,0
238,265641,0,0,0
239,289778,289778,0,0
240,298816,298817,0,0
241,323952,323953,0,0
242,345266,345218,0,0
243,345265,345217,0,0
244,345264,345216,0,0
245,345263,345215,0,0
246,345262,345214,0,0
247,345261,345213,0,0
248,345260,345212,0,0
249,345259,345211,0,0
250,345258,345210,0,0
251,345257,345208,0,0
252,345256,345207,0,0
253,345255,345206,0,0
254,345254,345205,0,0
255,345253,345204,0,0
256,345252,345203,0,0
257,345251,345202,0,0
258,345250,345201,0,0
259,345249,345200,0,0
260,345248,345199,0,0
261,345247,345198,0,0
262,345244,345195,0,0
263,345246,345197,0,0
264,345243,345194,0,0
265,345242,345193,0,0
266,345241,345192,0,0
267,345240,345190,0,0
268,345239,345189,0,0
269,345238,345191,0,0
270,345237,345188,0,0
271,345236,345187,0,0
272,345234,345185,0,0
273,345235,345186,0,0
274,345233,345183,0,0
275,345232,345184,0,0
276,345231,345183,0,0
277,345229,345181,0,0
278,345226,345180,0,0
