ID,SpellAuraVisibilityID,TalentTabID
1,760,1
2,813,1
1319,182,709
1320,183,709
1321,181,710
1322,182,710
1323,183,710
1324,746,710
1325,748,710
1326,750,710
1327,752,710
1328,815,710
1329,845,710
1330,181,711
1331,182,711
1332,183,711
1333,746,711
1334,748,711
1335,750,711
1336,752,711
1337,815,711
1338,845,711
1348,181,713
1349,182,713
1350,183,713
1351,746,713
1352,748,713
1353,750,713
1354,752,713
1355,815,713
1356,845,713
1357,181,714
1358,182,714
1359,183,714
1360,746,714
1361,748,714
1362,750,714
1363,752,714
1364,815,714
1365,845,714
1390,398,728
1391,750,728
1392,839,728
1393,845,728
1394,398,715
1395,750,715
1396,839,715
1397,845,715
1398,398,729
1399,750,729
1400,839,729
1401,845,729
1402,398,730
1403,750,730
1404,839,730
1405,845,730
1414,398,733
1415,750,733
1416,839,733
1417,845,733
1422,398,735
1423,750,735
1424,839,735
1425,845,735
1426,183,736
1427,746,736
1428,750,736
1433,183,737
1434,746,737
1435,750,737
1436,183,738
1437,746,738
1438,750,738
1439,183,739
1440,746,739
1441,750,739
1442,183,740
1443,746,740
1444,750,740
1445,183,741
1446,746,741
1447,750,741
1460,398,745
1461,750,745
1462,839,745
1463,845,745
1464,398,746
1465,750,746
1466,839,746
1467,845,746
1468,398,747
1469,750,747
1470,839,747
1471,845,747
1472,398,748
1473,750,748
1474,839,748
1475,845,748
1476,398,749
1477,750,749
1478,839,749
1479,845,749
1993,181,1039
1994,182,1039
1995,183,1039
1996,746,1039
1997,748,1039
1998,750,1039
1999,752,1039
2000,815,1039
2001,845,1039
2061,261,1078
2062,262,1078
2063,263,1078
2064,261,1079
2065,262,1079
2066,263,1079
2067,261,1080
2068,262,1080
2069,263,1080
2070,261,1081
2071,262,1081
2072,263,1081
2073,261,1082
2074,262,1082
2075,263,1082
2076,261,1083
2077,262,1083
2078,263,1083
2085,831,1086
2086,839,1086
2087,855,1086
2164,261,1147
2165,262,1147
2166,263,1147
2167,261,1148
2168,262,1148
2169,263,1148
2170,181,1149
2171,182,1149
2172,183,1149
2173,746,1149
2174,748,1149
2175,750,1149
2176,752,1149
2177,815,1149
2178,845,1149
2417,795,1077
2438,2223,1550
2449,2096,1571
2450,2096,1572
