ID,TabardAngle,TabardDampening,ExpectedWeaponSize,Angle[0],Angle[1],Angle[2],Angle[3],Angle[4],Dampening[0],Dampening[1],Dampening[2],Dampening[3],Dampening[4],TailAngle[0],TailAngle[1],TailDampening[0],TailDampening[1]
1,0,0.5,1.25,0,-5,8,25,10,0.8,0.8,0.7,0.5,0,0,0,0,0
2,0,0.2,0.6,-12,-14,18,10,0,0.7,0.5,0.5,0.4,0,0,0,0,0
3,0,0,1,-17,25,30,0,0,0.6,0.6,0.4,0.2,0.2,0,0,0,0
4,0,0.65,0.35,-4,5,-2,10,20,0.98,0.95,0.95,0.7,0.5,0,0,0,0
5,0,0.3,0.8,-5,-5,18,20,0,0.7,0.6,0.6,0.5,0.3,0,0,0,0
6,0,0.4,0.6,-5,-5,15,20,0,0.5,0.7,0.7,0.5,0,0,0,0,0
7,0,0.3,0.8,-5,3,3,3,12,0.8,0.8,0.8,0.6,0.8,0,0,0,0
8,5,0.5,0.35,-5,0,0,20,20,0.9,0.8,0.8,0.8,0.5,0,0,0,0
9,-2,0.75,0.9,-4,-6,5,20,20,0.6,0.7,0.7,0.5,0.3,0,0,0,0
10,0,0.3,0.5,-3,0,0,10,10,0.5,0.5,0.5,0.3,0,0,0,0,0
12,-3,0.4,1,-5,-8,15,40,0,0.7,0.7,0.6,0.6,0.2,0,0,0,0
13,0,0,0.8,-6,-3,20,28,0,0.7,0.7,0.7,0.45,0,0,0,0.3,0.3
14,0,0,0.6,-8,24,10,10,0,0.8,0.8,0.5,0.3,0,-10,0,0.3,0.3
15,0,0.5,1.25,2,0,5,10,0,0.5,0.6,0.6,0,0,0,0,0,0
16,0,0.3,0.3,-6,-7,-3,0,0,0.6,0.8,0.6,0.5,0,0,0,0,0
17,0,0.3,0.3,5,4,0,0,0,0.8,0.98,0.98,0.8,0,0,0,0,0
18,0,0.5,1.3,-3,0,-5,0,-8,0.7,0.7,0.7,0.5,0.3,0,0,0,0
19,0,0.5,1,0,0,10,25,0,0.7,0.6,0.6,0.5,0,0,0,0,0
20,0,0.2,0.4,0,0,0,0,0,0.6,0.4,0.25,0.15,0,0,0,0,0
21,0,0.2,0.5,0,0,0,0,0,0.5,0.3,0.3,0.3,0,0,0,0,0
22,0,0.3,1.6,-3,-4,0,40,10,0.6,0.8,0.8,0.4,0,0,0,0,0
23,0,0.3,1.2,0,0,0,15,10,0.6,0.5,0.3,0.2,0,0,0,0,0
24,0,0,0.5,3.5,4,5,5,5,0.25,0.25,0.15,0.25,0,0,0,0,0
25,0,0,0.5,0,0,-5,-5,0,0.4,0.4,0.3,0.3,0.5,0,0,0,0
26,0,0,1.3,5,-3,0,0,0,0.7,0.6,0.45,0.3,0,-20,0,0.3,0.3
27,0,0.3,1.6,-6,-3,8,15,0,0.6,0.8,0.7,0.6,0,0,0,0,0
28,0,0.65,0.35,-4,0,0,8,16,0.7,0.7,0.7,0.6,0.6,0,0,0,0
30,0,0.5,0.35,-4,0,-4,10,20,0.9,0.9,0.8,0.6,0.5,0,0,0,0
31,0,0,0.35,-3,4,2,2,8,0.6,0.6,0.5,0.5,0.4,0,0,0,0
32,-5,0.7,0.9,2,-6,7.5,25,25,0.95,0.95,0.95,0.8,0.5,0,0,0,0
33,0,0.7,0.9,-3,-3,2.5,10,10,0.3,0.35,0.35,0.25,0.25,0,0,0,0
