OffsetPos[0],OffsetPos[1],OffsetPos[2],OffsetRot[0],OffsetRot[1],OffsetRot[2],ID,ExteriorComponentID
6.4977,0,1.5893,0,0,0,28,590
5.2496,0,1.6625,0,0,0,29,596
5.9434,0,1.6626,0,0,0,30,597
18.8725,0,1.4271,0,0,0,31,618
19.9999,0,1.427,0,0,0,32,619
21.3334,0,1.427,0,0,0,33,620
0.4989,0.1847,1.1408,0,0,0,54,975
0.5266,0.4544,2.3738,0,0,0,55,976
-0.3392,0,2.0782,0,0,0,56,977
-1.25,0,1.9779,0,0,0,66,1380
-1.25,0,1.9779,0,0,0,67,1419
-1.25,0,1.9779,0,0,0,68,1425
-1.25,0,1.9779,0,0,0,281,1381
-1.25,0,1.9779,0,0,0,282,1382
-1.25,0,1.9779,0,0,0,283,1383
-1.25,0,1.9779,0,0,0,284,1384
-1.25,0,1.9779,0,0,0,285,1385
-1.25,0,1.9779,0,0,0,287,1420
-1.25,0,1.9779,0,0,0,288,1421
-1.25,0,1.9779,0,0,0,289,1422
-1.25,0,1.9779,0,0,0,290,1423
-1.25,0,1.9779,0,0,0,291,1424
-1.25,0,1.9779,0,0,0,293,1426
-1.25,0,1.9779,0,0,0,294,1427
-1.25,0,1.9779,0,0,0,295,1428
-1.25,0,1.9779,0,0,0,296,1429
-1.25,0,1.9779,0,0,0,297,1430
-1.25,0,1.9779,0,0,0,298,1431
-1.25,0,1.9779,0,0,0,299,1432
-1.25,0,1.9779,0,0,0,300,1433
-1.25,0,1.9779,0,0,0,301,1434
-1.25,0,1.9779,0,0,0,302,1435
5.9434,0,1.6626,0,0,0,420,5532
5.9434,0,1.6626,0,0,0,421,5533
5.9434,0,1.6626,0,0,0,422,5534
5.9434,0,1.6626,0,0,0,423,5535
5.9434,0,1.6626,0,0,0,424,5536
5.2496,0,1.6625,0,0,0,426,5538
5.2496,0,1.6625,0,0,0,427,5539
5.2496,0,1.6625,0,0,0,428,5540
5.2496,0,1.6625,0,0,0,429,5541
5.2496,0,1.6625,0,0,0,430,5542
6.4977,0,1.5893,0,0,0,432,5549
6.4977,0,1.5893,0,0,0,433,5550
6.4977,0,1.5893,0,0,0,434,5551
6.4977,0,1.5893,0,0,0,435,5552
6.4977,0,1.5893,0,0,0,436,5553
21.3334,0,1.427,0,0,0,451,5831
21.3334,0,1.427,0,0,0,452,5832
21.3334,0,1.427,0,0,0,453,5833
21.3334,0,1.427,0,0,0,454,5834
21.3334,0,1.427,0,0,0,455,5835
19.9999,0,1.427,0,0,0,457,5837
19.9999,0,1.427,0,0,0,458,5838
19.9999,0,1.427,0,0,0,459,5839
19.9999,0,1.427,0,0,0,460,5840
19.9999,0,1.427,0,0,0,461,5841
