ID,Name_lang,Description_lang,GarrAbilityCategoryID,GarrFollowerTypeID,IconFileDataID,FactionChangeGarrAbilityID,Flags
4,Orcslayer,Increases success chance when fighting orcs.,1,1,897144,0,1
5,Blizzard,Cast by a mage to deal damage to many enemies.,0,1,135857,0,0
6,Shield Wall,Used by a warrior to greatly reduce damage.,0,1,132362,0,0
7,Mountaineer,Increases success chance when fighting in the mountains.,6,1,236848,0,1
8,Cold-Blooded,Increases success chance when fighting in the snow.,6,1,236833,0,1
9,Wastelander,Increases success chance when fighting in the desert.,6,1,236846,0,1
10,Leap of Faith,Cast by a priest to help the target escape harm's way (or just to mess with them).,0,1,463835,0,0
11,Prayer of Healing,Cast by a priest to heal a group of allies.,0,1,135943,0,0
29,Fast Learner,Increases the experience this follower gains from a mission by 50%.,7,1,236225,0,33
30,Natural Leader,Increases the XP gained for all followers on a mission.,0,1,236362,0,3
36,Demonslayer,Increases success chance when fighting demons.,1,1,254651,0,1
37,Beastslayer,Increases success chance when fighting beasts.,1,1,298659,0,1
38,Ogreslayer,Increases success chance when fighting ogres.,1,1,236695,0,1
39,Primalslayer,Increases success chance when fighting primals and their minions.,1,1,254105,0,1
40,Gronnslayer,Increases success chance when fighting breakers and their minions.,1,1,236412,0,1
41,Furyslayer,Increases success chance when fighting elemental furies.,1,1,254652,0,1
42,Voidslayer,Increases success chance when fighting aberrations and undead.,1,1,298680,0,1
43,Talonslayer,Increases success chance when fighting arakkoa and their minions.,1,1,952507,0,1
44,Naturalist,Increases success chance when fighting in a forest.,6,1,236830,0,1
45,Cave Dweller,Increases success chance when fighting underground.,6,1,409595,0,1
46,Guerilla Fighter,Increases success chance when fighting in the jungle.,6,1,236850,0,1
47,Master Assassin,Grants a very large bonus to mission success chance.,11,1,458726,0,19
48,Marshwalker,Increases success chance when fighting in a swamp.,6,1,236819,0,1
49,Plainsrunner,Increases success chance when fighting on plains.,6,1,236712,0,1
52,Mining,Boosts work order production when assigned to the Mine.,5,1,4620679,0,33
53,Herbalism,Grants herbalism benefits and boosts work orders when assigned to the Herb Garden.,5,1,4620675,0,33
54,Alchemy,"Offers various Alchemy benefits when assigned to the Alchemy Lab, and increases success chance on Alchemy missions.",5,1,4620669,0,33
55,Blacksmithing,"Can reduce your durability damage and increase work order output when assigned to the Forge, and increases success chance on Blacksmithing missions.",5,1,4620670,0,33
56,Enchanting,"Offers a variety of enchanting benefits when assigned to the Enchanter's Study, and increases success chance on Enchanting missions.",5,1,4620672,0,33
57,Engineering,"Sells engineering gadgets and boosts work orders when assigned to the Engineering Works, and increases success chance on Engineering missions.",5,1,136243,0,33
58,Inscription,"Allows the creation of special documents and boosts work orders when assigned to the Scribe's Quarters, and increases success chance on Inscription missions.",5,1,4620676,0,33
59,Jewelcrafting,"Offers a variety of Jewelcrafting benefits when assigned to the Gem Boutique, and increases success chance on Jewelcrafting missions.",5,1,4620677,0,33
60,Leatherworking,"Can craft tents and boost work orders when assigned to the Tannery, and increases success chance on Leatherworking missions.",5,1,4620678,0,33
61,Tailoring,"Offers a variety of tailoring benefits when assigned to the Tailoring Emporium, and increases success chance on Tailoring missions.",5,1,4620681,0,33
62,Skinning,Boosts work order production based on follower level while assigned to the Barn.,5,1,4620680,0,33
63,Gnome-Lover,Increases success chance when on a mission with a gnome.,4,1,236446,73,9
64,Humanist,Increases success chance when on a mission with a human.,4,1,236447,71,9
65,Dwarvenborn,Increases success chance when on a mission with a dwarf.,4,1,236443,70,9
66,Child of the Moon,Increases success chance when on a mission with a night elf.,4,1,236450,74,9
67,Ally of Argus,Increases success chance when on a mission with a draenei.,4,1,236442,72,9
68,Canine Companion,Increases success chance when on a mission with a worgen.,4,1,528692,75,9
69,Brew Aficionado,Increases success chance when on a mission with a pandaren.,4,1,626190,0,1
70,Child of Draenor,Increases success chance when on a mission with an orc.,4,1,236451,65,5
71,Death Fascination,Increases success chance when on a mission with an undead.,4,1,236457,64,5
72,Totemist,Increases success chance when on a mission with a tauren.,4,1,236454,67,5
73,Voodoo Zealot,Increases success chance when on a mission with a troll.,4,1,236456,63,5
74,Elvenkind,Increases success chance when on a mission with a blood elf.,4,1,236440,66,5
75,Economist,Increases success chance when on a mission with a goblin.,4,1,632354,68,5
76,High Stamina,Increases success chance on missions with duration longer than 7 hours.,8,1,135987,0,1
77,Burst of Power,Increases success chance on missions with duration shorter than 7 hours.,8,1,136088,0,1
78,Lone Wolf,Increases success chance when on a mission alone.,9,1,538568,0,3
79,Scavenger,Increases the garrison resources gained from a mission by 100%.,7,1,413571,0,1
80,Extra Training,Increases the experience gained from a mission for all followers by 30%.,7,1,975743,0,1
100,Taunt,Forces an enemy to attack the warrior.,0,1,136080,0,0
101,Multi-Shot,Used by a hunter to damage many enemies.,0,1,132330,0,0
102,Heroic Leap,Used by a warrior to quickly escape harm's way.,0,1,236171,0,0
103,Rapid Fire,Significantly increases the hunter's burst damage.,0,1,132208,0,0
104,Sap,Used by a rogue to neutralize a dangerous enemy (or just to annoy you).,0,1,132310,0,0
105,Kick,Used by a rogue to interrupt a spell (super frustrating).,0,1,132219,0,0
106,Chain Heal,Cast by a shaman to heal a group of allies.,0,1,136042,0,0
107,Purify Spirit,Cast by a shaman to remove a harmful magic effect.,0,1,236288,0,0
108,Growl,Forces the target to attack the druid.,0,1,132270,0,0
114,Dark Command,Forces the target to attack the death knight.,0,1,136088,0,0
115,Bone Shield,Protects the death knight with a shield of bone.,0,1,458717,0,0
116,Death and Decay,Cast by a death knight to damage many enemies.,0,1,136144,0,0
117,Mind Freeze,"Freezes the opponent's mind, interrupting a spell.",0,1,237527,0,0
118,Empower Rune Weapon,Significantly increases the death knight's burst damage.,0,1,135372,0,0
119,Anti-Magic Shell,Protects the death knight from harmful magic effects.,0,1,136120,0,0
120,Cleave,Used by a warrior to damage multiple enemies.  Also used to describe every arena team.,0,1,132338,0,0
121,Pummel,Used by a warrior to interrupt a spell.,0,1,132938,0,0
122,Recklessness,Used by a warrior to greatly increase burst damage.,0,1,603532,0,0
123,Reckoning,Forces the target to attack the paladin.,0,1,135984,0,0
124,Divine Shield,Cast by a paladin to prevent damage.  Also used to escape in a cowardly manner (shameful).,0,1,524354,0,0
125,Cleanse,Cast by a paladin to remove a harmful magic effect.,0,1,135949,0,0
126,Rebuke,Cast by a paladin to interrupt a spell.,0,1,523893,0,0
127,Repentance,Cast by a paladin to neutralize a dangerous enemy.,0,1,135942,0,0
128,Holy Radiance,Cast by a paladin to heal a group of allies.,0,1,457654,0,0
129,Divine Plea,Cast by a paladin to quickly regenerate mana.,0,1,237537,0,2
130,Divine Storm,Cast by a paladin to deal damage to many enemies.,0,1,236250,0,0
131,Avenging Wrath,Cast by a paladin to greatly increase burst damage.,0,1,135875,0,0
132,Barkskin,"The druid takes on a hardened skin, significantly reducing damage taken.",0,1,136097,0,0
133,Innervate,Cast by a druid to rapidly regenerate the target's mana.,0,1,136048,0,2
134,Entangling Roots,Cast by a druid to neutralize a dangerous enemy.,0,1,136100,0,0
135,Wild Growth,Cast by a druid to heal a group of allies.,0,1,236153,0,0
136,Nature's Cure,Cast by a druid to remove a harmful magic effect.,0,1,236288,0,0
