ID,Pos[0],Pos[1],Pos[2],MapID
7262,-9005.4,928.815,68.0824,0
7263,-307.16,-1772.89,62.2411,870
7264,-9004.444,870.625,64.86025,0
7266,-9016.94,877.294,148.619,0
7267,-8233.01,415.668,118.044,0
7268,-8212.43,399.024,117.636,0
7269,-8186.15,413.646,117.113,0
7270,-8191.02,449.62,116.811,0
7271,-8208.73,451.03,117.655,0
7272,-8223.43,451.326,117.464,0
7273,-9443.31,-958.36,111.01,1
7274,5534.08,-3624.69,1567.04,1
7275,5541.51,-3587.83,1567.93,1
7276,-8209.33,428.635,117.465,0
7277,-4890.07,-6626.74,10.2846,0
7278,-4454.77,3806.13,-82.4591,0
7279,-369.208,1058.73,21.7719,732
7280,-343.934,1030.02,22.2881,732
7281,974.921,566.768,-47.5163,646
7282,965.337,577.084,-44.2608,646
7283,-311.71,-1776.82,62.6702,870
7284,-9023.46,952.326,68.3371,0
7285,5807.75,588.35,660.94,571
7286,5718.95,719.6,641.727,571
7287,-9005.96,965.135,68.2229,0
7288,-4031.24,-11569.6,-138.299,530
7289,-4047.94,-11569.2,-138.493,530
7290,7415.11,46.24,2.76,1
7293,-275.219,931.873,84.38,530
7294,-8988.7,942.458,68.1319,0
7295,-1824.32,5417.23,-12.43,530
7296,-1839.92,5500.79,-12.4272,530
7297,12803.7,-6907.38,41.1164,530
7298,-1894.24,5387.85,-12.4267,530
7299,-9061.09,886.907,68.3454,0
7300,3841.72,-4013.77,26.7179,1116
7301,3613.56,-4061.22,6.84189,1116
7302,3675.36,-3978.84,24.9204,1116
7303,-4613.71,-915.287,501.062,0
7304,3734.95,-4042.91,44.8186,1116
7305,-9077.75,908.878,68.3293,0
7306,-13.4931,6756.61,53.5135,1220
7307,-13.5414,6756.73,53.5152,1220
7308,-9098.51,875.684,68.0439,0
7309,728.168,-445.574,14.9454,1643
7314,-930.149,4547.72,729.23,1220
7315,828.241,176.805,519.935,870
7316,-4606.36,-929.109,501.069,0
7317,-270.27,934.55,84.38,530
7318,-4839.43,-1320.09,501.868,0
7319,69.2277,10.3932,-4.29665,369
7320,4.62962,28.139,-3.45694,369
7321,4.62941,2510.42,-3.27041,369
7322,1132.53,-524.588,17.5342,1643
7323,1154.2,-529.198,17.6945,1643
7324,1149.65,-538.035,17.6946,1643
7325,-8646.23,1331.63,5.69915,0
7326,1020.56,-659.007,6.48783,1643
7327,-8293.92,1405.71,4.43307,0
7328,-3863.57,-652.811,5.42935,0
7329,-4005.55,-4729.66,4.72207,1
7330,-3684.88,-600.227,4.358,0
7331,589.746,-5103.84,5.26046,571
7332,-14284.5,557.979,8.68417,0
7333,-996.906,-3829.77,5.59738,1
7334,2836.41,4022.56,4.87723,571
7335,2629.91,938.416,4.6334,571
7336,2642.05,844.015,4.55116,571
7337,787.654,-2816.87,4.56563,571
7338,-9004.444,870.625,64.86025,0
7339,-8395.42,562.019,91.7974,0
7340,45.0956,2490.52,-4.29649,369
7343,2230.99,5130.77,5.34428,571
7344,1009.73,-526.26,13.1,1643
7345,2123.57,186.54,0.487226,1642
7346,-2628.08,2285.88,12.3523,1642
7347,2804.09,4311.38,19.0495,1642
7348,-11896.8,-3206.77,-11.5962,0
7349,3667.8,-3843,44.14,1116
7350,2308.57,447.47,5.12,1116
7351,4066.5,-2382.25,94.85,1265
7352,-248.113,922.9,84.3497,530
7353,-247.295,895.951,84.3497,530
7354,500.281,1469.68,742.442,1669
7355,4727.45,9862.25,40.9347,1669
7356,-2635.64,8698.67,-94.1744,1669
7357,-828.72,4371.78,738.636,1220
7358,-5024.69,-829.697,495.319,0
7386,2042.72,-4395.74,98.2991,1
7387,5503.95,-3624.57,1567.38,1
7388,1445.21,-4499.56,18.3064,1
7389,2065.92,-4390.91,98.0662,1
7390,995.808,471.879,-48.1172,646
7391,990.419,454.321,-44.2473,646
7392,2029.28,-4379.79,98.3819,1
7393,-4032.79,-6318.53,37.8791,0
7394,-4038.39,-6314.78,38.7064,0
7395,2047.33,-4378.39,99.0858,1
7396,2039.44,-4356.23,98.6156,1
7397,2063.41,-4362.2,98.0602,1
7398,-4609.18,3982.54,-70.7972,0
7399,2031.16,-4330.47,95.4716,1
7400,-603.724,1387.62,21.5384,732
7401,2031.16,-4330.47,95.4716,1
7402,1463.9,-4480,20.059,1
7403,9998.46,-7106.55,47.7054,530
7404,10003.3,-7109.87,47.7054,530
7405,10032.3,-7000.33,61.7127,530
7406,1947.26,-98.15,41.1467,0
7407,1424.09,-4506.42,-3.07801,1
7408,-1899.68,5392.73,-12.4264,530
7409,1420.04,-4466.64,-2.9477,1
7410,5276.4,-4045.24,19.58,1116
7411,3719.66,-3875.17,30.7212,1116
7412,3816.8,-1307.71,92.78,1464
7413,5266.4,-4075.89,21.1302,1116
7414,4276.18,-1495.57,80.8435,1464
7415,5307.6,-4014.79,15.8457,1116
7416,1448.64,-4530.79,20.0579,1
7417,-8.19146,6756.28,53.8341,1220
7418,1427.37,-4525.27,19.8045,1
7419,-1128.39,771.866,433.386,1642
7420,-1114.66,759.444,433.624,1642
7421,-1123.95,759.76,433.623,1642
7422,-1132.93,759.643,433.623,1642
7423,-967.375,284.82,110.773,1
7424,-1142.65,760.224,433.623,1642
7425,-7096.17,1294.58,-93.4057,1
7426,1416.81,-4505.94,19.8481,1
7427,2999.41,-539.199,248.213,870
7428,1735.16,873.493,487.444,870
7429,1423.16,-4484.62,20.1574,1
7431,5807.75,588.35,660.94,571
7434,5925.79,593.604,640.593,571
7437,1842.19,-4389.04,135.233,1
