ID,GossipNpcOption,LFGDungeonsID,TrainerID,GarrFollowerTypeID,CharShipmentID,GarrTalentTreeID,UiMapID,UiItemInteractionID,Field_10_0_0_45141_008,Field_10_0_0_45141_009,CovenantID,GossipIndex,TraitTreeID,ProfessionID,Field_10_0_2_46144_014,NeighborhoodMapID,SkillLineID
39892,1,0,0,0,0,0,0,0,0,0,0,95273,0,0,0,0,0
39893,1,0,0,0,0,0,0,0,0,0,0,95274,0,0,0,0,0
39894,1,0,0,0,0,0,0,0,0,0,0,95281,0,0,0,0,0
39895,3,0,0,0,0,0,0,0,0,0,0,95282,0,0,0,0,0
39896,3,0,0,0,0,0,0,0,0,0,0,95297,0,0,0,0,0
39897,1,0,0,0,0,0,0,0,0,0,0,95299,0,0,0,0,0
39898,1,0,0,0,0,0,0,0,0,0,0,95300,0,0,0,0,0
39899,1,0,0,0,0,0,0,0,0,0,0,95301,0,0,0,0,0
39900,1,0,0,0,0,0,0,0,0,0,0,95302,0,0,0,0,0
39901,3,0,0,0,0,0,0,0,0,0,0,95303,0,0,0,0,0
39902,3,0,0,0,0,0,0,0,0,0,0,95304,0,0,0,0,0
39903,3,0,0,0,0,0,0,0,0,0,0,95305,0,0,0,0,0
39904,3,0,0,0,0,0,0,0,0,0,0,95307,0,0,0,0,0
39905,1,0,0,0,0,0,0,0,0,0,0,95308,0,0,0,0,0
39906,3,0,0,0,0,0,0,0,0,0,0,95317,0,0,0,0,0
39907,3,0,0,0,0,0,0,0,0,0,0,95319,0,0,0,0,0
39908,3,0,0,0,0,0,0,0,0,0,0,95321,0,0,0,0,0
39909,3,0,14,0,0,0,0,0,0,0,0,95322,0,0,0,0,0
39910,3,0,0,0,0,0,0,0,0,0,0,95326,0,0,0,0,0
39911,3,0,0,0,0,0,0,0,0,0,0,95327,0,0,0,0,0
39912,1,0,0,0,0,0,0,0,0,0,0,95328,0,0,0,0,0
39913,1,0,0,0,0,0,0,0,0,0,0,95329,0,0,0,0,0
39914,1,0,0,0,0,0,0,0,0,0,0,95330,0,0,0,0,0
39915,1,0,0,0,0,0,0,0,0,0,0,95331,0,0,0,0,0
39916,1,0,0,0,0,0,0,0,0,0,0,95332,0,0,0,0,0
39917,1,0,0,0,0,0,0,0,0,0,0,95333,0,0,0,0,0
39918,3,0,0,0,0,0,0,0,0,0,0,95335,0,0,0,0,0
39919,3,0,0,0,0,0,0,0,0,0,0,95336,0,0,0,0,0
39920,1,0,0,0,0,0,0,0,0,0,0,95341,0,0,0,0,0
39921,5,0,0,0,0,0,0,0,0,0,0,95346,0,0,0,0,0
39922,3,0,0,0,0,0,0,0,0,0,0,95355,0,0,0,0,0
39923,3,0,0,0,0,0,0,0,0,0,0,95356,0,0,0,0,0
39924,3,0,0,0,0,0,0,0,0,0,0,95357,0,0,0,0,0
39925,3,0,0,0,0,0,0,0,0,0,0,95358,0,0,0,0,0
39926,3,0,0,0,0,0,0,0,0,0,0,95359,0,0,0,0,0
39927,3,0,0,0,0,0,0,0,0,0,0,95360,0,0,0,0,0
39928,3,0,0,0,0,0,0,0,0,0,0,95361,0,0,0,0,0
39929,1,0,0,0,0,0,0,0,0,0,0,95362,0,0,0,0,0
39930,1,0,0,0,0,0,0,0,0,0,0,95363,0,0,0,0,0
39931,1,0,0,0,0,0,0,0,0,0,0,95364,0,0,0,0,0
39932,1,0,0,0,0,0,0,0,0,0,0,95365,0,0,0,0,0
39933,3,0,0,0,0,0,0,0,0,0,0,95366,0,0,0,0,0
39934,3,0,0,0,0,0,0,0,0,0,0,95381,0,0,0,0,0
39935,3,0,0,0,0,0,0,0,0,0,0,95382,0,0,0,0,0
39936,3,0,0,0,0,0,0,0,0,0,0,95383,0,0,0,0,0
39937,3,0,0,0,0,0,0,0,0,0,0,95385,0,0,0,0,0
39938,3,0,0,0,0,0,0,0,0,0,0,95386,0,0,0,0,0
39939,3,0,0,0,0,0,0,0,0,0,0,95387,0,0,0,0,0
39940,3,0,0,0,0,0,0,0,0,0,0,95388,0,0,0,0,0
39941,3,0,0,0,0,0,0,0,0,0,0,95389,0,0,0,0,0
