ID,GarrMechanicID,GarrMechanicSetID,GarrEncounterID
66,12,0,29
69,34,0,30
70,34,0,31
72,2,0,2
73,33,0,33
74,11,0,34
75,10,0,1
76,2,0,4
77,2,0,5
78,16,0,4
79,36,0,4
80,17,0,4
83,12,0,5
84,18,0,5
85,35,0,5
88,11,0,7
89,11,0,35
90,15,0,36
91,40,0,37
92,39,0,38
93,39,0,39
94,33,0,40
95,33,0,41
96,41,0,42
97,41,0,43
98,34,0,44
99,34,0,45
100,42,0,46
101,42,0,47
102,43,0,48
103,43,0,49
104,16,0,7
105,36,0,7
106,17,0,7
108,9,0,7
109,12,0,35
110,18,0,35
111,35,0,35
112,38,0,35
113,10,0,35
114,16,0,36
115,36,0,36
116,17,0,36
118,9,0,36
119,12,0,37
120,18,0,37
121,35,0,37
122,38,0,37
123,10,0,37
124,16,0,38
125,36,0,38
126,17,0,38
128,9,0,38
129,12,0,39
130,18,0,39
131,35,0,39
132,38,0,39
133,10,0,39
134,16,0,40
135,36,0,40
136,17,0,40
138,9,0,40
139,12,0,41
140,18,0,41
141,35,0,41
142,38,0,41
143,10,0,41
144,16,0,42
145,36,0,42
146,17,0,42
148,9,0,42
149,12,0,43
150,18,0,43
151,35,0,43
152,38,0,43
153,10,0,43
154,16,0,44
155,36,0,44
156,17,0,44
158,9,0,44
159,12,0,45
160,18,0,45
161,35,0,45
162,38,0,45
163,10,0,45
164,16,0,46
165,36,0,46
166,17,0,46
168,9,0,46
169,12,0,47
170,18,0,47
171,35,0,47
172,38,0,47
173,10,0,47
174,16,0,48
175,36,0,48
176,17,0,48
178,9,0,48
179,12,0,49
180,18,0,49
181,35,0,49
182,38,0,49
183,10,0,49
184,9,0,50
186,12,0,51
187,18,0,52
188,35,0,53
189,10,0,54
190,12,0,55
191,18,0,56
192,36,0,57
193,18,0,58
195,12,0,60
196,9,0,59
197,18,0,61
199,36,0,63
200,38,0,63
201,10,0,63
202,16,0,64
203,10,0,65
205,35,0,66
206,36,0,67
207,35,0,67
208,36,0,68
209,12,0,68
210,36,0,69
211,12,0,69
213,35,0,70
214,10,0,71
215,12,0,72
216,35,0,72
217,38,0,72
218,12,0,73
219,38,0,73
220,36,0,74
221,17,0,75
222,18,0,75
223,17,0,76
224,18,0,77
226,36,0,78
228,12,0,79
229,35,0,80
233,10,0,82
234,9,0,83
235,9,0,84
236,10,0,85
237,38,0,85
238,16,0,86
240,38,0,88
241,18,0,89
242,9,0,90
243,35,0,90
244,9,0,91
245,17,0,92
246,36,0,93
247,10,0,32
249,17,0,95
250,17,0,96
251,10,0,97
252,9,0,98
254,16,0,100
255,16,0,101
256,18,0,101
257,35,0,102
260,17,0,105
261,9,0,106
262,18,0,107
263,10,0,108
264,17,0,109
265,18,0,110
266,10,0,111
267,12,0,111
268,36,0,111
269,9,0,112
270,16,0,112
271,36,0,113
272,36,0,114
273,17,0,115
274,35,0,116
281,12,0,118
282,35,0,119
283,18,0,120
284,9,0,121
285,10,0,122
287,16,0,124
288,36,0,125
289,35,0,126
290,16,0,127
291,10,0,128
292,12,0,129
293,38,0,130
294,36,0,131
295,12,0,132
296,18,0,133
297,10,0,134
299,9,0,136
300,18,0,137
302,35,0,139
303,36,0,140
304,12,0,141
305,10,0,142
306,18,0,143
307,36,0,144
308,17,0,145
309,9,0,146
310,36,0,147
311,9,0,148
312,35,0,149
314,12,0,151
315,10,0,152
316,16,0,153
317,9,0,154
318,36,0,155
319,18,0,156
320,10,0,157
322,16,0,159
323,35,0,160
324,17,0,161
325,36,0,162
326,10,0,163
327,36,0,164
328,38,0,165
331,9,0,168
332,17,0,169
334,16,0,171
335,9,0,172
336,18,0,173
337,12,0,174
338,17,0,175
339,12,0,176
340,17,0,177
341,12,0,178
342,38,0,178
343,12,0,179
344,36,0,180
345,38,0,181
346,9,0,182
347,16,0,182
348,18,0,183
349,10,0,184
350,12,0,184
351,35,0,185
352,16,0,62
353,12,0,186
354,16,0,186
355,10,0,187
356,10,0,188
358,17,0,190
359,38,0,191
360,10,0,192
363,17,0,194
365,18,0,196
366,35,0,197
367,12,0,198
368,38,0,199
369,17,0,200
371,36,0,87
372,12,0,158
373,17,0,69
374,9,0,202
375,10,0,203
376,36,0,204
377,9,0,205
378,9,0,206
379,35,0,207
381,35,0,208
382,38,0,208
383,10,0,209
384,9,0,210
385,16,0,211
386,16,0,212
387,10,0,213
388,36,0,214
389,16,0,213
390,9,0,214
391,36,0,215
392,12,0,216
393,9,0,217
394,12,0,218
395,9,0,218
396,35,0,219
399,10,0,222
401,9,0,223
402,35,0,224
404,16,0,226
405,18,0,227
406,18,0,228
407,9,0,229
408,35,0,230
409,9,0,231
410,36,0,232
411,35,0,233
412,18,0,234
413,10,0,235
414,16,0,236
415,16,0,237
416,17,0,238
417,16,0,239
418,17,0,240
419,18,0,241
420,17,0,242
421,16,0,243
423,12,0,245
425,16,0,247
426,35,0,248
428,10,0,250
429,35,0,251
430,10,0,252
431,12,0,253
432,17,0,254
433,38,0,255
434,10,0,256
435,35,0,257
436,12,0,258
437,18,0,259
438,18,0,260
439,16,0,261
440,16,0,262
441,17,0,263
443,17,0,265
444,36,0,266
445,35,0,267
446,36,0,268
447,38,0,269
448,16,0,270
449,17,0,271
451,16,0,273
452,10,0,274
453,35,0,275
454,9,0,276
455,18,0,277
456,17,0,278
457,12,0,279
458,38,0,280
459,35,0,281
460,17,0,282
462,36,0,284
463,38,0,285
464,16,0,286
465,16,0,287
466,35,0,288
467,12,0,289
468,10,0,290
470,12,0,291
471,18,0,292
472,16,0,292
473,10,0,293
474,36,0,294
475,35,0,295
476,9,0,296
477,10,0,297
478,12,0,297
479,17,0,297
480,12,0,298
481,17,0,299
482,16,0,299
483,38,0,300
484,36,0,301
485,18,0,302
486,18,0,303
487,35,0,304
488,35,0,305
489,10,0,306
490,16,0,307
491,9,0,308
492,10,0,309
493,18,0,310
494,12,0,311
495,16,0,311
496,18,0,312
497,10,0,313
500,9,0,314
501,35,0,314
502,18,0,315
503,35,0,315
504,10,0,316
505,12,0,317
506,36,0,317
507,18,0,318
508,12,0,319
509,12,0,320
510,12,0,321
