ID,Name_lang,Sex,BaseSection,UiCustomizationType,Flags,ComponentSection[0],ComponentSection[1],ComponentSection[2],RaceID
1,Skin Color,3,0,0,4,-1,-1,-1,0
2,Face,3,1,1,0,-1,-1,-1,0
3,Hair Style,3,3,2,0,-1,-1,-1,0
4,Hair Color,3,3,3,4,-1,-1,-1,0
5,Facial Hair,3,2,4,0,-1,-1,-1,0
6,Tattoo Style,3,5,5,1,12,-1,-1,4
7,Horn Style,3,6,6,0,-1,-1,-1,0
8,Blindfolds,3,7,7,0,-1,-1,-1,0
9,Tattoo Color,3,5,8,5,12,-1,-1,4
10,Piercings,1,2,4,0,-1,-1,-1,1
11,Piercings,1,2,4,0,-1,-1,-1,2
12,Piercings,1,2,4,0,-1,-1,-1,3
13,Markings,1,2,4,0,-1,-1,-1,4
14,Features,3,2,4,0,-1,-1,-1,5
15,Hair,1,2,4,0,-1,-1,-1,6
16,Horn Style,3,3,2,0,-1,-1,-1,6
17,Horn Color,3,3,3,4,-1,-1,-1,6
18,Earrings,1,2,4,0,-1,-1,-1,7
19,Tusks,3,2,4,0,-1,-1,-1,8
20,Ears,3,2,4,0,-1,-1,-1,9
21,Earrings,1,2,4,0,-1,-1,-1,10
22,Ears,1,2,4,0,-1,-1,-1,22
23,Horn Style,1,2,4,0,-1,-1,-1,11
24,Horn Style,1,2,4,0,-1,-1,-1,30
25,Rune,3,7,7,0,-1,-1,-1,30
26,Earrings,1,2,4,0,-1,-1,-1,24
27,Earrings,1,2,4,0,-1,-1,-1,25
28,Earrings,1,2,4,0,-1,-1,-1,26
29,Tusks,3,6,6,0,-1,-1,-1,31
30,Earrings,3,7,7,0,-1,-1,-1,31
31,Accessories,1,2,4,0,-1,-1,-1,31
32,Tattoo Style,3,5,5,1,13,-1,-1,31
34,Tattoo Style,3,5,5,1,12,-1,-1,10
35,Tattoo Color,3,5,8,5,12,-1,-1,10
36,Tattoo Style,3,5,5,1,12,-1,-1,30
37,Tattoo Style,3,5,5,1,13,-1,-1,28
38,Hair,1,2,4,0,-1,-1,-1,28
39,Horn Style,3,3,2,0,-1,-1,-1,28
40,Horn Color,3,3,3,4,-1,-1,-1,28
41,Earrings,1,2,4,0,-1,-1,-1,29
42,Tattoo Style,3,5,5,1,13,-1,-1,27
43,Earrings,1,2,4,0,-1,-1,-1,27
44,Earrings,0,2,4,0,-1,-1,-1,27
46,Posture,0,7,7,0,-1,-1,-1,2
47,Tattoo Style,0,6,6,0,13,-1,-1,34
48,Tattoo Style,1,5,5,0,13,-1,-1,34
49,Posture,0,7,7,0,-1,-1,-1,36
50,Skin Color,3,0,0,5,-1,-1,-1,36
52,Piercings,0,5,5,0,-1,-1,-1,34
153,Pattern,3,5,5,3,13,-1,-1,35
155,Earrings,1,6,6,0,-1,-1,-1,32
156,Necklace,1,7,7,0,-1,-1,-1,32
157,Arm Upgrade,3,6,6,0,0,1,-1,37
158,Leg Upgrade,3,7,7,0,5,6,-1,37
159,Modification,3,5,5,0,9,10,-1,37
160,Snout,3,6,6,0,-1,-1,-1,35
161,Ears,3,2,4,0,-1,-1,-1,35
162,Skin Color,3,0,0,5,-1,-1,-1,35
163,Tattoo Style,3,5,5,0,-1,-1,-1,0
164,Facial Hair,0,2,4,0,-1,-1,-1,6
165,Skin Color,3,0,0,4,-1,-1,-1,6
166,Accessories,1,2,4,0,-1,-1,-1,36
167,Accessories,1,2,4,0,-1,-1,-1,34
168,Eyebrows,1,2,4,0,-1,-1,-1,32
169,Skin Color,3,0,0,4,-1,-1,-1,28
170,Facial Hair,0,2,4,0,-1,-1,-1,28
171,Skin Color,3,0,0,4,-1,-1,-1,24
172,Facial Hair,0,2,4,0,-1,-1,-1,24
173,Hair Style,0,3,2,0,-1,-1,-1,24
174,Hair Style,3,3,4,0,-1,-1,-1,35
175,Face,3,1,1,0,-1,-1,-1,36
176,Face,3,1,1,0,-1,-1,-1,35
177,Face,3,1,1,0,-1,-1,-1,6
178,Face,3,1,1,0,-1,-1,-1,28
179,Face,3,1,1,0,-1,-1,-1,24
180,Piercings,1,2,4,0,-1,-1,-1,23
