ID,SpellID,GlyphPropertiesID
62,118,328
67,31687,1081
70,24858,613
71,197625,613
72,883,440
77,117952,1045
78,101643,1041
80,107428,1028
83,20271,989
84,20271,457
86,31884,454
87,20473,1083
88,1706,1007
89,9484,461
93,20711,1049
94,2006,1048
95,64843,1087
96,2050,1084
97,921,733
98,114051,1215
99,114052,1215
100,114050,1215
101,2645,471
102,51533,1090
103,2008,1091
105,710,761
106,29893,482
107,30146,278
108,34428,488
109,1719,483
110,1719,1101
111,100,1020
112,163201,990
114,184361,991
115,115768,486
116,6343,851
117,57330,522
118,42650,529
120,46584,1074
121,5487,432
122,768,1220
123,191034,1206
127,34433,1085
128,20271,1222
133,126,1224
134,126,1225
135,185987,1051
137,186065,1226
138,186065,1227
139,186065,1228
140,186065,1229
141,190925,1230
142,190925,1231
143,187650,1233
146,185358,1236
147,185987,1237
148,1543,1238
149,1543,1239
150,3714,1240
151,3714,1241
152,2645,1242
153,198103,1243
154,198067,1244
155,86659,1245
156,48707,1246
157,48707,1247
162,1850,1252
164,51514,1254
172,197690,1262
173,117952,1263
174,117952,1264
175,124502,1265
176,130,1266
177,190319,1267
179,118,1269
180,586,1270
181,1725,1271
182,6770,1272
183,204254,1273
184,178940,1273
185,178940,1274
186,204254,1274
188,131347,1276
189,131347,1277
190,131347,1278
191,188501,1279
192,188501,1280
193,130,1281
194,1953,1282
195,2983,1283
198,191427,1284
199,187827,1284
201,193265,1232
204,190740,1268
205,6544,1286
212,112870,278
217,132603,1085
221,212641,1245
222,190784,1287
233,232698,961
234,232698,1052
239,33763,1221
240,33763,1288
241,211898,1224
242,49576,1289
243,49576,1290
266,246985,1296
267,246985,1297
268,246985,1298
269,34433,1299
270,132603,1299
271,34433,1300
272,132603,1300
273,34433,1301
274,132603,1301
275,254232,1085
277,254224,1085
278,254232,1300
280,254224,1300
281,254232,1301
283,254224,1301
284,254232,1299
286,254224,1299
287,47540,1302
288,190784,1303
289,190784,1304
290,190784,1305
291,190784,1306
292,53270,1253
293,53270,1234
294,53270,1235
295,77485,1295
394,275773,457
395,275779,457
396,1459,1410
401,53270,1415
402,190336,1416
409,322109,1039
410,258920,1275
411,783,1419
412,276012,1420
413,276029,1421
414,3411,1223
415,46585,1074
416,46585,514
417,46584,514
418,5308,990
419,280735,990
427,281000,990
430,145205,1423
457,2645,1426
458,2645,1427
468,185123,1431
469,204157,1431
470,57755,1432
479,83242,440
480,83243,440
481,83244,440
482,83245,440
484,228260,1439
485,20707,1440
486,12472,1079
487,12472,1080
488,12472,1407
489,12472,1408
490,12472,1412
491,12472,1413
492,12472,1414
493,24858,1441
494,197625,1441
496,32223,190
501,388193,1443
502,376079,1444
503,370965,1445
504,391429,1446
505,390163,1447
506,391528,1448
507,391888,1449
508,375891,1450
509,382440,1451
510,376103,1452
511,387184,1453
512,375576,1454
513,388007,1455
514,375901,1456
515,385616,1457
516,385408,1458
517,384631,1459
518,375982,1460
519,428332,1460
520,386997,1461
521,383269,1462
522,100780,1463
526,458359,454
527,100780,1464
528,1459,1465
530,114050,1466
531,114050,1467
532,114051,1466
533,114052,1466
534,114052,1467
535,114051,1467
