ID,DifficultyID,OrderIndex
249383,4,0
249479,4,0
249756,5,0
249757,6,0
249762,5,0
249773,6,0
249806,6,0
249813,6,0
249814,4,0
249824,4,0
249825,5,0
249826,6,0
249863,4,0
249864,5,0
249865,6,0
249867,4,0
249868,5,0
249869,5,0
249874,4,0
249921,5,0
249922,6,0
249923,5,0
249924,6,0
249925,6,0
249926,4,0
249927,5,0
249930,4,0
249970,4,0
249971,6,0
249973,4,0
249974,5,0
249975,4,0
249976,6,0
249977,4,0
249978,5,0
249979,6,0
249980,4,0
249981,5,0
250024,4,0
250025,5,0
250026,4,0
250027,5,0
250028,5,0
250029,6,0
250031,4,0
250032,5,0
250033,6,0
250034,6,0
250035,4,0
250036,5,0
250037,4,0
250072,6,0
250079,6,0
250081,6,0
250082,4,0
250083,6,0
250095,4,0
250096,4,0
250126,4,0
250127,6,0
250131,4,0
250171,4,0
250172,5,0
250173,6,0
250174,4,0
250175,5,0
250176,6,0
250177,4,0
250181,6,0
250182,6,0
250201,6,0
250218,5,0
250219,4,0
250220,5,0
250221,5,0
250222,6,0
250225,4,0
250237,5,0
250266,6,0
250267,5,0
250270,6,0
250271,4,0
250272,5,0
250319,5,0
250321,5,0
250322,6,0
250323,5,0
250324,6,0
250373,4,0
250374,5,0
250375,4,0
250423,4,0
250424,6,0
250425,5,0
250473,4,0
250521,6,0
250522,4,0
250526,4,0
250527,5,0
250528,6,0
250539,4,0
250540,5,0
250583,4,0
250584,4,0
250629,4,0
250636,4,0
250759,4,0
250998,4,0
250999,4,0
251114,4,0
251115,4,0
251167,4,0
251168,4,0
251214,4,0
251414,4,0
251481,4,0
251489,5,0
251495,4,0
251498,4,0
251527,4,0
251534,6,0
251622,5,0
251704,4,0
251727,4,0
251736,4,0
251778,4,0
251875,4,0
251876,4,0
251922,4,0
251953,4,0
251968,4,0
252074,4,0
252298,4,0
252391,4,0
252477,4,0
252516,4,0
252579,4,0
252700,5,0
253298,4,0
253468,5,0
253469,6,0
253470,4,0
253595,4,0
253601,4,0
253711,6,0
254097,4,0
254282,6,0
254466,4,0
254528,6,0
254531,6,0
254691,4,0
254831,5,0
254833,4,0
254837,4,0
255033,4,0
255062,4,0
255071,6,0
255078,4,0
255267,4,0
255274,5,0
255305,5,0
255307,6,0
255349,6,0
255380,4,0
255423,5,0
255446,4,0
255450,6,0
255593,6,0
255631,4,0
255632,4,0
255700,4,0
255867,5,0
255925,4,0
256027,4,0
256028,5,0
256051,4,0
256136,5,0
256167,6,0
256229,5,0
256312,4,0
256324,4,0
256433,5,0
256530,4,0
256590,4,0
264027,2,0
264052,2,0
264079,2,0
264084,2,0
264092,2,0
264120,2,0
264121,2,0
264122,2,0
264123,2,0
264126,2,0
264127,2,0
264128,2,0
264129,2,0
264130,2,0
264132,2,0
264134,2,0
264135,2,0
264136,2,0
264137,2,0
264138,2,0
264139,2,0
264140,2,0
264143,2,0
264144,2,0
264145,2,0
264147,2,0
264148,2,0
264149,2,0
264152,2,0
264153,2,0
264154,2,0
264155,2,0
264156,2,0
264160,2,0
264161,2,0
264162,2,0
264165,2,0
264166,2,0
264167,2,0
264169,2,0
264170,2,0
264171,2,0
264172,2,0
264181,2,0
264182,2,0
264183,2,0
264188,2,0
264189,2,0
264196,2,0
264197,2,0
264198,2,0
264201,2,0
264209,2,0
264210,2,0
264226,2,0
264227,2,0
264239,2,0
264241,2,0
264243,2,0
264244,2,0
264246,2,0
264252,2,0
264253,2,0
264258,2,0
264259,2,0
264262,2,0
264263,2,0
264264,2,0
264276,2,0
264297,2,0
264298,2,0
264299,2,0
264301,2,0
264305,2,0
264312,2,0
264316,2,0
264332,2,0
264334,2,0
264356,2,0
264373,2,0
264382,2,0
264384,2,0
264385,2,0
264390,2,0
264415,2,0
264416,2,0
264417,2,0
264425,2,0
264433,2,0
264435,2,0
264453,2,0
264507,2,0
264543,2,0
264547,2,0
