ID,Field_5_5_0_61000_000,Field_5_5_0_61000_001,Field_5_5_0_61000_002,Field_5_5_0_61000_003,Field_5_5_0_61000_004,Field_5_5_0_61000_005,Field_5_5_0_61000_006,Field_5_5_0_61000_007,Field_5_5_0_61000_008,Field_5_5_0_61000_009,Field_5_5_0_61000_010,Field_5_5_0_61000_011,Field_5_5_0_61000_012,Field_5_5_0_61000_013,Field_5_5_0_61000_014,Field_5_5_0_61000_015,Field_5_5_0_61000_016,Field_5_5_0_61000_017,Field_5_5_0_61000_018,Field_5_5_0_61000_019,Field_5_5_0_61000_020,Field_5_5_0_61000_021,Field_5_5_0_61000_022,Field_5_5_0_61000_023,Field_5_5_0_61000_024,Field_5_5_0_61000_025,Field_5_5_0_61000_026,Field_5_5_0_61000_027,Field_5_5_0_61000_028,Field_5_5_0_61000_029,Field_5_5_0_61000_030,Field_5_5_0_61000_031[0],Field_5_5_0_61000_031[1],Field_5_5_0_61000_031[2],Field_5_5_0_61000_031[3],Field_5_5_0_61000_032[0],Field_5_5_0_61000_032[1],Field_5_5_0_61000_032[2],Field_5_5_0_61000_032[3],Field_5_5_0_61000_033[0],Field_5_5_0_61000_033[1],Field_5_5_0_61000_033[2],Field_5_5_0_61000_033[3],Field_5_5_0_61000_034[0],Field_5_5_0_61000_034[1],Field_5_5_0_61000_034[2],Field_5_5_0_61000_034[3],Field_5_5_0_61000_035[0],Field_5_5_0_61000_035[1],Field_5_5_0_61000_035[2],Field_5_5_0_61000_035[3],Field_5_5_0_61000_036[0],Field_5_5_0_61000_036[1],Field_5_5_0_61000_036[2],Field_5_5_0_61000_036[3],Field_5_5_0_61000_037[0],Field_5_5_0_61000_037[1],Field_5_5_0_61000_037[2],Field_5_5_0_61000_037[3],Field_5_5_0_61000_038[0],Field_5_5_0_61000_038[1],Field_5_5_0_61000_038[2],Field_5_5_0_61000_038[3]
1,1,6,6,8,3,4,8,3,9,3,2,1,3,1,14,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,31,51,77,27,42,68,102,22,34,55,83,24,37,60,89,19,29,47,70,15,24,38,57,17,26,43,64,12,18,30,45
2,2,7,6,9,3,4,9,3,9,3,3,2,3,1,15,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,34,56,84,30,46,75,112,24,37,61,91,26,40,66,98,21,32,52,77,17,26,42,63,19,29,47,70,13,20,33,49
3,3,8,7,9,3,4,9,3,12,4,3,2,4,1,16,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,37,61,91,32,50,81,122,26,41,66,99,28,44,71,107,22,34,56,84,18,28,46,69,20,31,51,76,14,22,35,53
4,4,9,7,10,3,5,10,3,12,4,3,2,4,1,18,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,40,65,98,35,54,87,131,28,44,71,106,31,47,76,115,24,37,60,90,20,30,49,74,22,34,54,82,15,24,38,57
5,5,10,8,10,4,5,10,4,15,5,4,3,5,2,19,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,43,70,105,38,57,94,141,31,46,76,115,33,50,82,123,26,39,65,97,21,32,53,79,24,36,59,88,17,25,41,62
6,6,11,8,11,4,5,11,4,15,5,4,3,5,2,20,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,46,75,113,40,61,100,150,33,50,81,122,35,53,88,131,28,42,69,103,23,34,56,84,25,38,63,94,18,27,44,66
7,7,12,9,11,4,5,11,4,18,6,4,3,6,3,22,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,49,80,120,43,65,106,160,35,53,86,130,38,57,93,140,30,45,73,110,24,37,60,90,27,41,66,100,19,28,46,70
8,8,13,9,12,4,6,12,4,21,7,5,4,7,3,23,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,52,85,127,45,69,113,169,37,56,92,137,39,60,99,148,31,47,78,116,25,39,64,95,28,43,71,106,20,30,49,74
9,9,14,10,13,5,6,13,5,21,7,5,4,7,3,24,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,55,89,134,48,73,119,179,39,59,97,145,42,64,104,157,33,50,82,123,27,41,67,101,30,46,74,112,21,32,52,78
10,10,15,10,13,5,6,13,5,24,8,6,4,8,3,25,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,58,94,141,50,77,125,188,41,63,102,153,44,67,109,165,34,53,86,129,28,43,70,106,31,48,78,118,22,34,55,82
