ID,SpellID,Field_3_4_0_43659_001,Field_3_4_0_43659_002,SpellIconFileDataID,GlyphSlotFlags
2,52084,0,0,237634,0
21,12320,0,0,0,162
22,12297,0,0,0,128
61,46831,0,0,0,2
81,52084,0,0,0,1
82,52085,0,0,0,128
101,0,0,0,0,0
121,46487,0,0,132371,64
141,54292,0,0,237637,1
161,54810,0,0,237636,0
162,54811,0,0,237635,0
163,54812,0,0,237651,0
164,54813,0,0,237646,0
165,54815,0,0,237652,0
166,54818,0,0,237633,0
167,54821,0,0,237650,0
168,54824,0,0,237645,0
169,54832,0,0,237644,0
170,54733,0,0,237649,0
171,54743,0,0,237634,0
172,54754,0,0,237647,0
173,54825,0,0,237641,0
174,54826,0,0,237642,0
175,54845,0,0,237639,0
176,54830,0,0,237643,0
177,54831,0,0,237640,0
178,54828,0,0,237638,0
179,54756,0,0,237648,0
180,54829,0,0,237632,0
181,54760,0,0,237637,0
182,54912,0,0,0,1
183,54922,0,0,237650,0
184,54925,0,0,237644,0
185,54923,0,0,237633,0
186,54924,0,0,237637,0
187,54926,0,0,237639,0
188,54927,0,0,237632,0
189,54928,0,0,237641,0
190,54929,0,0,237640,0
191,54930,0,0,237647,0
192,54931,0,0,237651,0
193,54934,0,0,237643,0
194,54935,0,0,237648,0
195,54936,0,0,237649,0
196,54937,0,0,237652,0
197,54938,0,0,237635,0
198,54939,0,0,237636,0
199,54940,0,0,237646,0
200,54943,0,0,237645,0
211,55436,0,0,237639,0
212,55437,0,0,237640,0
213,55449,0,0,237636,0
214,55454,0,0,237638,0
215,55442,0,0,237646,0
216,55439,0,0,237652,0
217,55455,0,0,237642,0
218,55450,0,0,237635,0
219,55447,0,0,237647,0
220,55451,0,0,237637,0
221,55443,0,0,237643,0
222,55456,0,0,237649,0
223,55440,0,0,237651,0
224,55438,0,0,237633,0
225,55448,0,0,237648,0
226,55453,0,0,237641,0
227,55441,0,0,237644,0
228,55446,0,0,237645,0
229,55444,0,0,237632,0
230,55452,0,0,237634,0
231,55445,0,0,237650,0
251,55675,0,0,237634,0
252,55677,0,0,237633,0
253,55684,0,0,237635,0
254,55678,0,0,237639,0
255,55679,0,0,237637,0
256,55683,0,0,237652,0
257,55686,0,0,237641,0
258,55673,0,0,237651,0
259,55691,0,0,237642,0
260,55688,0,0,237644,0
261,55681,0,0,237650,0
262,55689,0,0,237636,0
263,55672,0,0,237647,0
264,55680,0,0,237645,0
265,55676,0,0,237648,0
266,55674,0,0,237632,0
267,55690,0,0,237640,0
268,55682,0,0,237638,0
269,55687,0,0,237643,0
270,55692,0,0,237649,0
271,55685,0,0,237646,0
272,56242,0,0,237650,0
273,56235,0,0,237644,0
274,56218,0,0,237647,0
275,56241,0,0,237646,0
276,56232,0,0,237634,0
277,56244,0,0,237637,0
278,56246,0,0,237638,0
279,56249,0,0,237636,0
280,56238,0,0,237635,0
281,56224,0,0,237648,0
282,56217,0,0,237645,0
283,56228,0,0,237651,0
284,56248,0,0,237641,0
285,56226,0,0,237649,0
286,56240,0,0,237632,0
287,56229,0,0,237639,0
288,56216,0,0,237640,0
289,56231,0,0,237633,0
290,56250,0,0,237652,0
291,56233,0,0,237642,0
292,56247,0,0,237643,0
311,56360,0,0,237635,0
312,56363,0,0,237637,0
313,56381,0,0,237650,0
314,56365,0,0,237641,0
315,56380,0,0,237632,0
316,56368,0,0,237651,0
317,56369,0,0,237646,0
318,56376,0,0,237647,0
319,56370,0,0,237634,0
320,56384,0,0,237648,0
321,56372,0,0,237633,0
322,56377,0,0,237644,0
323,56374,0,0,237643,0
324,56371,0,0,237649,0
325,56366,0,0,237645,0
326,56383,0,0,237652,0
327,56367,0,0,237639,0
328,56382,0,0,237640,0
329,56375,0,0,237638,0
330,56364,0,0,237642,0
331,56373,0,0,237636,0
351,56824,0,0,237647,0
352,56841,0,0,237648,0
353,56857,0,0,237635,0
354,56833,0,0,237637,0
355,56851,0,0,237641,0
356,56830,0,0,237632,0
357,56850,0,0,237643,0
358,56844,0,0,237649,0
359,56845,0,0,237633,0
360,56847,0,0,237639,0
361,56829,0,0,237652,0
362,56846,0,0,237650,0
363,56856,0,0,237636,0
364,56836,0,0,237640,0
365,56828,0,0,237644,0
366,56832,0,0,237645,0
367,56849,0,0,237646,0
368,56826,0,0,237651,0
369,56842,0,0,237634,0
370,56838,0,0,237638,0
371,56848,0,0,237642,0
391,56808,0,0,237634,0
392,56813,0,0,237650,0
393,56800,0,0,237647,0
