ID,InitialAnimID,LoopAnimID,AnimKitID,Field_12_0_0_63967_003
2,-1,32,0,0
3,-1,54,0,0
4,-1,32,0,0
5,-1,32,0,0
6,-1,109,0,0
7,-1,53,0,0
9,-1,53,0,0
10,-1,51,0,0
13,-1,353,0,0
14,-1,51,0,0
15,-1,54,0,0
16,-1,51,0,0
17,-1,53,0,0
18,-1,14,0,0
19,-1,51,0,0
20,-1,52,0,0
21,-1,53,0,0
22,-1,14,0,0
23,-1,51,0,0
24,-1,51,0,0
25,-1,53,0,0
26,-1,53,0,0
27,-1,54,0,0
28,-1,51,0,0
29,-1,53,0,0
30,-1,56,0,0
35,-1,51,0,0
36,-1,54,0,0
37,-1,52,0,0
38,-1,54,0,0
39,-1,1742,0,0
40,-1,54,0,0
41,-1,57,0,0
42,-1,10,0,0
44,-1,53,0,0
45,-1,59,0,0
46,-1,55,0,0
47,-1,52,0,0
48,-1,10,0,0
49,-1,57,0,0
50,-1,58,0,0
51,-1,61,0,0
52,-1,57,0,0
53,-1,54,0,0
54,-1,32,0,0
55,-1,53,0,0
58,-1,52,0,0
59,-1,52,0,0
62,-1,52,0,0
67,-1,74,0,0
68,-1,51,0,0
69,-1,57,0,0
70,-1,-1,10573,0
71,-1,53,0,0
73,-1,9,0,0
74,-1,51,0,0
76,-1,54,0,0
77,-1,10,0,0
78,-1,53,0,0
80,-1,52,0,0
81,-1,54,0,0
82,-1,51,0,0
83,-1,51,0,0
84,-1,53,0,0
85,-1,123,0,0
86,-1,54,0,0
87,106,110,0,0
88,-1,95,0,0
89,-1,123,0,0
91,-1,54,0,0
93,-1,-1,11586,0
94,-1,52,0,0
97,112,111,0,0
98,-1,107,0,0
99,-1,123,0,0
100,-1,61,0,0
101,-1,123,0,0
102,-1,123,0,0
104,-1,53,0,0
106,-1,54,0,0
107,-1,176,0,0
108,-1,54,0,0
109,-1,51,0,0
110,-1,52,0,0
111,-1,52,0,0
112,-1,51,0,0
113,-1,53,0,0
114,-1,54,0,0
115,-1,53,0,0
116,-1,54,0,0
117,-1,51,0,0
118,-1,52,0,0
119,-1,51,0,0
120,-1,52,0,0
121,-1,51,0,0
122,-1,52,0,0
123,-1,51,0,0
124,-1,52,0,0
125,-1,51,0,0
126,-1,52,0,0
127,-1,53,0,0
128,-1,54,0,0
129,-1,53,0,0
130,-1,54,0,0
131,-1,53,0,0
132,-1,54,0,0
133,-1,53,0,0
134,-1,54,0,0
135,-1,9,0,0
136,-1,52,0,0
137,-1,54,0,0
138,-1,52,0,0
139,-1,54,0,0
140,-1,54,0,0
141,-1,61,0,0
142,-1,108,0,0
143,-1,107,0,0
144,-1,123,0,0
145,-1,85,0,0
146,-1,18,0,0
147,-1,123,0,0
148,-1,55,0,0
149,-1,53,0,0
150,-1,53,0,0
151,-1,52,0,0
153,-1,178,0,0
154,-1,172,0,0
155,-1,54,0,0
156,-1,54,0,0
157,-1,53,0,0
158,-1,54,0,0
159,-1,14,0,0
160,-1,32,0,0
161,-1,9,0,0
162,-1,124,0,0
163,-1,9,0,0
164,-1,52,0,0
165,-1,141,0,0
166,-1,74,0,0
167,-1,82,0,0
168,-1,123,0,0
169,-1,53,0,0
170,-1,53,0,0
171,-1,9,0,0
172,-1,16,0,0
173,-1,-1,11984,0
174,-1,74,0,0
175,-1,84,0,0
176,-1,70,0,0
177,-1,54,0,0
178,-1,54,0,0
179,-1,52,0,0
180,-1,124,0,0
181,-1,124,0,0
182,-1,52,0,0
183,-1,-1,1525,0
184,-1,-1,28311,0
185,-1,55,0,0
186,-1,55,0,0
187,-1,53,0,0
188,-1,74,0,0
189,-1,181,0,0
191,-1,57,0,0
192,-1,57,0,0
193,-1,-1,12358,0
194,-1,126,0,0
195,112,111,0,0
197,-1,123,0,0
198,-1,54,0,0
199,-1,123,0,0
200,-1,32,0,0
201,-1,51,0,0
202,-1,32,0,0
203,-1,55,0,0
204,-1,55,0,0
205,-1,55,0,0
206,-1,57,0,0
207,-1,-1,14966,0
208,-1,123,0,0
209,-1,123,0,0
210,-1,17,0,0
211,-1,123,0,0
212,-1,124,0,0
213,-1,123,0,0
214,-1,54,0,0
215,-1,122,0,0
216,-1,61,0,0
217,-1,57,0,0
218,-1,17,0,0
219,-1,107,0,0
220,-1,16,0,0
221,-1,54,0,0
222,-1,53,0,0
223,-1,113,0,0
224,-1,107,0,0
225,-1,54,0,0
226,-1,125,0,0
227,-1,52,0,0
228,-1,60,0,0
229,-1,124,0,0
230,-1,124,0,0
231,-1,32,0,0
232,-1,9,0,0
233,-1,61,0,0
234,-1,140,0,0
235,-1,142,0,0
236,-1,123,0,0
237,-1,74,0,0
238,-1,18,0,0
239,-1,74,0,0
240,-1,74,0,0
241,-1,74,0,0
242,-1,74,0,0
243,-1,74,0,0
244,-1,54,0,0
245,-1,61,0,0
246,-1,71,0,0
247,-1,59,0,0
248,-1,-1,2662,0
249,-1,124,0,0
250,-1,53,0,0
251,-1,54,0,0
252,-1,54,0,0
253,-1,54,0,0
254,-1,17,0,0
255,-1,54,0,0
256,-1,118,0,0
257,-1,58,0,0
258,-1,54,0,0
259,-1,-1,3294,0
260,-1,57,0,0
261,-1,9,0,0
262,-1,84,0,0
263,-1,78,0,0
264,-1,66,0,0
265,-1,54,0,0
266,-1,16,0,0
267,-1,123,0,0
268,-1,16,0,0
269,-1,67,0,0
270,-1,17,0,0
271,-1,9,0,0
272,-1,123,0,0
273,-1,62,0,0
274,-1,-1,11984,0
275,-1,17,0,0
276,-1,9,0,0
277,-1,10,0,0
278,-1,9,0,0
279,-1,60,0,0
280,-1,70,0,0
281,-1,64,0,0
282,-1,57,0,0
283,-1,14,0,0
284,-1,75,0,0
285,-1,57,0,0
286,-1,17,0,0
287,-1,125,0,0
288,-1,53,0,0
289,-1,-1,1525,0
290,-1,-1,703,0
291,-1,9,0,0
292,-1,61,0,0
293,-1,125,0,0
294,-1,125,0,0
295,-1,125,0,0
296,-1,115,0,0
297,-1,79,0,0
298,-1,51,0,0
299,-1,32,0,0
300,-1,9,0,0
301,-1,124,0,0
303,-1,57,0,0
304,-1,55,0,0
305,-1,108,0,0
306,-1,57,0,0
307,-1,85,0,0
308,-1,32,0,0
309,-1,14,0,0
310,-1,129,0,0
311,-1,32,0,0
312,-1,58,0,0
313,-1,17,0,0
314,-1,123,0,0
315,-1,53,0,0
316,-1,-1,1525,0
317,-1,54,0,0
318,-1,107,0,0
319,-1,57,0,0
320,-1,70,0,0
321,-1,14,0,0
322,-1,107,0,0
323,-1,53,0,0
324,-1,51,0,0
325,-1,130,0,0
326,-1,32,0,0
327,-1,57,0,0
328,-1,14,0,0
329,-1,14,0,0
330,-1,127,0,0
331,-1,51,0,0
333,838,842,0,0
334,-1,49,0,0
335,-1,-1,1525,0
336,-1,54,0,0
337,-1,55,0,0
338,-1,32,0,0
339,-1,123,0,0
340,-1,130,0,0
341,-1,57,0,0
342,-1,57,0,0
343,-1,55,0,0
344,-1,74,0,0
345,-1,53,0,0
346,-1,10,0,0
347,-1,133,0,0
348,-1,134,0,0
349,-1,54,0,0
350,-1,17,0,0
351,-1,14,0,0
352,-1,82,0,0
353,-1,108,0,0
354,-1,64,0,0
355,-1,9,0,0
356,-1,122,0,0
357,-1,122,0,0
358,-1,74,0,0
359,-1,17,0,0
360,-1,54,0,0
361,-1,54,0,0
362,-1,41,0,0
363,-1,17,0,0
364,-1,141,0,0
365,-1,82,0,0
366,-1,112,0,0
367,-1,9,0,0
368,-1,139,0,0
369,-1,124,0,0
370,-1,130,0,0
371,-1,54,0,0
372,-1,32,0,0
373,-1,78,0,0
374,-1,51,0,0
375,-1,53,0,0
376,-1,32,0,0
377,-1,123,0,0
378,-1,82,0,0
379,-1,74,0,0
380,-1,108,0,0
381,-1,81,0,0
382,-1,84,0,0
383,-1,71,0,0
384,-1,32,0,0
385,-1,54,0,0
386,-1,10,0,0
387,-1,123,0,0
388,-1,-1,1525,0
389,-1,140,0,0
390,-1,53,0,0
391,-1,74,0,0
392,-1,19,0,0
393,-1,124,0,0
394,-1,124,0,0
395,-1,17,0,0
396,-1,9,0,0
397,-1,53,0,0
398,-1,54,0,0
399,-1,-1,1525,0
400,-1,54,0,0
401,-1,61,0,0
402,-1,61,0,0
403,-1,52,0,0
404,-1,54,0,0
405,-1,53,0,0
406,-1,118,0,0
407,-1,10,0,0
408,-1,14,0,0
409,-1,74,0,0
410,-1,124,0,0
411,-1,124,0,0
412,-1,68,0,0
413,-1,142,0,0
414,-1,-1,1525,0
415,-1,107,0,0
416,-1,62,0,0
417,-1,75,0,0
418,-1,125,0,0
419,-1,123,0,0
420,-1,54,0,0
421,-1,54,0,0
422,-1,52,0,0
423,-1,123,0,0
424,-1,54,0,0
425,-1,53,0,0
426,-1,52,0,0
427,-1,124,0,0
428,-1,177,0,0
429,-1,54,0,0
430,-1,124,0,0
431,-1,55,0,0
432,-1,54,0,0
433,-1,124,0,0
434,-1,54,0,0
435,-1,54,0,0
436,-1,54,0,0
437,-1,54,0,0
438,-1,54,0,0
439,-1,54,0,0
440,-1,54,0,0
441,-1,54,0,0
442,27,654,0,0
443,-1,10,0,0
444,-1,10,0,0
445,-1,108,0,0
446,-1,107,0,0
447,-1,33,0,0
448,-1,52,0,0
449,-1,9,0,0
450,-1,9,0,0
451,-1,9,0,0
452,-1,129,0,0
453,-1,124,0,0
454,-1,51,0,0
455,-1,53,0,0
456,-1,124,0,0
457,-1,124,0,0
458,-1,52,0,0
459,-1,54,0,0
460,-1,54,0,0
461,-1,54,0,0
462,-1,54,0,0
463,-1,54,0,0
464,-1,51,0,0
465,-1,17,0,0
466,-1,173,0,0
467,75,115,0,0
468,-1,53,0,0
469,-1,54,0,0
470,-1,118,0,0
471,-1,18,0,0
472,-1,115,0,0
473,-1,61,0,0
474,-1,53,0,0
475,-1,52,0,0
476,-1,-1,3023,0
477,-1,10,0,0
478,-1,124,0,0
