ID,Description_lang,ModifiedCraftingCategoryID,ItemBonusTreeID,Field_12_0_0_64124_003
3,Test for new modified crafting currency tech,903,3743,0
4,Set Item Level based on Crafting Quality (220 - 233).,902,5883,0
5,Set Item Level based on Crafting Quality (233 - 246).,902,5880,0
6,Set Item Level based on Crafting Quality (246 - 259).,900,5102,0
7,Set Item Level based on Crafting Quality (259 - 272).,901,5881,0
8,Set Item Level based on Crafting Quality (272 - 285).,901,5882,0
9,Set Item Level based on Crafting Quality (305 - 318).,911,6087,0
10,Set Item Level based on Crafting Quality (318 - 331).,911,6088,0
11,Set Item Level based on Crafting Quality (266 - 279).,902,6110,0
12,Set Item Level based on Crafting Quality (279 - 292).,902,6111,0
