ID,FFTTileID,LiquidTypeID
46,12,1235
47,15,1235
48,17,1237
49,20,1240
50,24,1240
58,108,1251
59,103,1251
62,108,1279
63,103,1279
65,20,1288
66,24,1288
67,20,1290
68,24,1290
69,122,1288
70,124,1279
71,122,1240
72,124,1251
76,44,1296
77,45,1296
78,46,1296
79,96,1296
82,20,1307
83,24,1307
84,122,1307
98,20,1319
99,24,1319
101,20,1320
102,24,1320
105,20,1325
106,24,1325
107,122,1325
108,20,1324
109,24,1324
110,122,1324
111,20,1337
112,24,1337
113,122,1337
114,20,1338
115,122,1338
116,20,1339
117,122,1339
118,44,1250
119,45,1250
120,46,1250
121,96,1250
122,137,1306
123,137,1323
124,139,1313
125,24,1313
126,139,1297
127,24,1297
128,122,1297
132,140,1341
133,141,1341
134,142,1341
135,20,1340
136,24,1340
137,122,1340
138,20,1343
139,24,1343
140,122,1343
145,146,1344
