Description_lang,ID,MapID
Flag Captures,42,489
Flag Returns,44,489
Towers Assaulted,61,30
Graveyards Assaulted,63,30
Towers Defended,64,30
Graveyards Defended,65,30
Secondary Objectives,82,30
Bases Assaulted,122,529
Bases Defended,123,529
Flag Captures,183,566
Walls Destroyed,215,571
Buildings Destroyed,216,571
Gates Destroyed,231,607
Demolishers Destroyed,232,607
Bases Assaulted,245,628
Bases Defended,246,628
Flag Captures,290,726
Flag Returns,291,726
Bases Assaulted,370,761
Bases Defended,371,761
Bases Assaulted,391,968
Bases Defended,392,968
Flag Captures,393,968
Orb Possessions,418,998
Victory Points,419,998
Flag Captures,422,1010
Flag Returns,423,1010
Carts Controlled,428,727
Carts Captures,457,1105
Carts Returned,458,1105
Mines Assaulted,459,1105
Mines Defended,460,1105
Score,501,451
Bases Assaulted,679,1681
Bases Defended,680,1681
Bases Assaulted,688,2177
Bases Defended,690,2177
Azerite Collected,744,1803
Flag Captures,762,1740
Flag Returns,763,1740
Ingredients Gathered,923,1691
Bases Assaulted,926,2107
Bases Defended,927,2107
Flag Captures,928,2106
Flag Returns,929,2106
Artifacts Collected,931,1191
Bases Assaulted,1001,2245
Bases Defended,1002,2245
Towers Assaulted,1003,2197
Secondary Objectives,1004,2197
Graveyards Defended,1005,2197
Towers Defended,1006,2197
Graveyards Assaulted,1007,2197
Rounds Won,1008,1505
Rounds Won,1009,1672
Rounds Won,1010,1134
Rounds Won,1011,980
Rounds Won,1012,572
Rounds Won,1013,1911
Rounds Won,1014,1504
Rounds Won,1015,2509
Rounds Won,1016,2511
Rounds Won,1017,2547
Rounds Won,1018,2563
Flag Captures,1020,2656
Carts Controlled,1021,2656
Rounds Won,1022,2759
