ID,ChrModelAltVariantID,SourceChrCustomizationOptionID,VariantChrCustomizationOptionID
1,7,9490,9397
2,1,9494,9406
3,10,559,9407
4,5,34,9425
5,6,9496,9427
6,13,9486,9443
7,3,9493,9447
8,9,563,9459
9,7,42,9395
10,7,43,9396
11,8,50,9398
12,9,58,9399
13,9,59,9400
14,9,61,9401
15,10,63,9402
16,10,65,9403
17,1,11,9404
18,1,12,9405
19,11,378,9408
20,11,71,9409
21,11,73,9410
22,12,77,9411
23,2,14,9412
24,2,15,9413
25,2,16,9414
26,2,17,9415
27,2,501,9416
28,3,19,9417
29,3,20,9418
30,3,22,9419
31,4,25,9420
32,4,27,9421
33,4,9495,9422
34,5,31,9423
35,5,32,9424
36,6,36,9426
37,7,41,9428
38,12,78,9429
39,13,80,9430
40,13,82,9431
41,1,9,9432
42,1,10,9433
43,14,86,9434
44,14,87,9435
45,14,89,9436
46,15,91,9437
47,15,92,9438
48,15,94,9439
49,16,96,9440
50,16,97,9441
51,16,99,9442
52,14,85,9444
53,8,52,9445
54,3,21,9446
55,4,26,9448
56,4,28,9449
57,5,30,9450
58,5,33,9451
59,6,35,9452
60,6,38,9453
61,7,40,9454
62,8,49,9455
63,8,51,9456
64,8,53,9457
65,9,60,9458
66,10,64,9460
67,10,66,9461
68,11,68,9462
69,11,72,9463
70,12,74,9464
71,12,79,9465
72,13,81,9466
73,13,83,9467
74,14,88,9468
75,15,90,9469
76,15,93,9470
77,16,95,9471
78,16,98,9472
79,12,379,9473
80,6,37,9474
81,15,767,9478
82,15,768,9479
83,9,62,9480
84,9,534,9481
85,10,535,9482
86,10,67,9487
87,5,936,9488
88,8,745,9489
89,11,661,9491
90,11,671,9492
91,17,100,9483
92,17,102,9484
93,18,105,9485
