ID,ItemID,ItemSlot,MinItemLevel,GarrFollItemSetID
2,1602,0,600,1
3,71355,0,650,1
4,3652,1,0,1
5,5443,1,600,1
6,1168,1,650,1
7,3752,2,0,1
8,2314,2,600,1
9,71058,2,650,1
19,116362,0,0,1
91,41239,0,0,23
92,59788,1,0,23
93,29156,0,615,23
94,55425,1,615,23
95,47810,0,630,23
96,94778,1,630,23
100,25119,0,0,25
106,11932,0,0,26
107,34182,0,615,26
112,8199,0,0,6
113,55463,0,615,6
114,51392,0,630,6
115,33688,0,645,6
116,2018,0,0,7
117,36526,1,0,7
118,44250,0,615,7
119,15218,1,615,7
120,87510,0,630,7
121,51858,1,630,7
122,94318,0,645,7
123,100193,1,645,7
124,1455,0,0,8
125,13017,0,615,8
126,45165,0,630,8
127,86386,0,645,8
128,25302,0,0,9
129,16887,1,0,9
130,55068,0,615,9
131,62236,1,615,9
132,28345,0,630,9
133,72829,1,630,9
134,71427,0,645,9
135,78433,1,645,9
136,24155,0,0,10
137,47114,0,615,10
138,69897,0,630,10
139,71360,0,645,10
140,30021,0,0,11
141,50805,0,615,11
142,72846,0,630,11
143,73462,0,645,11
144,20220,0,0,12
145,80788,0,615,12
146,72808,0,630,12
147,45695,0,645,12
148,27402,0,0,13
149,39818,0,615,13
150,21459,0,630,13
151,51802,0,645,13
152,25250,0,0,14
153,67224,0,615,14
154,37050,0,630,14
155,86801,0,645,14
156,73000,0,0,15
157,23746,0,615,15
158,55353,0,630,15
159,47568,0,645,15
160,32662,0,0,16
161,28604,0,615,16
162,49992,0,630,16
163,78451,0,645,16
164,15275,0,0,17
165,34987,0,615,17
166,71409,0,630,17
167,77190,0,645,17
168,55044,0,0,18
169,15975,1,0,18
170,30071,0,615,18
171,29272,1,615,18
172,35570,0,630,18
173,40192,1,630,18
174,49968,0,645,18
175,73465,1,645,18
176,89580,0,0,19
177,81671,0,615,19
178,45128,0,630,19
179,96019,0,645,19
180,80789,0,0,20
181,79339,0,615,20
182,70227,0,630,20
183,105136,0,645,20
