ID,MapID,Field_12_1_0_68209_001
11,1116,0
12,1160,0
18,1159,0
19,1158,0
24,1116,0
25,1203,0
31,1116,0
32,1152,0
33,1153,0
34,1154,0
37,1116,0
38,1277,0
39,1116,0
40,1207,0
41,1116,0
42,1277,0
43,1331,0
44,1330,0
45,1116,0
46,1329,0
47,1329,0
48,1116,0
49,1402,0
54,1220,0
55,1626,0
56,1116,0
57,1464,0
58,1220,0
59,1220,0
60,1478,0
61,1220,0
62,1502,0
63,0,0
64,1539,0
65,1549,0
66,1550,0
67,1480,0
68,1528,0
69,0,0
70,1533,0
71,1533,0
72,1533,0
73,1489,0
78,1539,0
79,1616,0
80,1220,0
81,0,0
82,1620,0
83,0,0
84,1617,0
85,1220,0
86,1612,0
87,1220,0
89,1220,0
90,1495,0
91,646,0
92,1503,0
93,0,0
94,1611,0
95,870,0
96,1526,0
98,1609,0
99,571,0
100,1599,0
101,1,0
102,1498,0
103,1220,0
104,1545,0
105,1220,0
106,1220,0
107,1498,0
111,1539,0
113,1539,0
114,1539,0
115,1511,0
116,1511,0
117,1495,0
118,1220,0
119,1662,0
120,1662,0
121,1220,0
125,1642,0
126,1661,0
127,1,0
128,1730,0
129,1220,0
130,1731,0
131,1220,0
132,1666,0
133,1642,0
134,1690,0
135,1690,0
136,1642,0
138,1643,0
241,2231,0
242,2230,0
243,1,0
244,2241,0
245,1,0
246,2237,0
249,2222,0
250,2222,0
254,2222,0
255,2301,0
256,2222,0
257,2305,0
258,2362,0
259,2222,0
260,2370,0
261,2222,0
262,2453,0
263,2222,0
264,2453,0
265,2471,0
267,2532,0
268,0,0
270,2444,0
271,2534,0
272,2582,0
274,2444,0
275,2454,0
276,2552,0
279,2530,0
280,2552,0
281,2597,0
282,2552,0
283,2552,0
285,2601,0
287,2552,0
288,2664,0
289,2664,0
290,2601,0
291,2552,0
292,2552,0
293,2681,0
294,2681,0
296,2601,0
297,2683,0
298,2683,0
299,2510,0
300,2510,0
301,2533,0
302,2533,0
303,2601,0
306,2689,0
307,2601,0
308,2689,0
309,2552,0
310,2680,0
311,2680,0
314,2601,0
315,2688,0
316,2688,0
317,2601,0
318,2679,0
319,2679,0
320,2601,0
321,2686,0
322,2686,0
323,2601,0
324,2690,0
325,2690,0
328,2601,0
329,2682,0
330,2682,0
332,2601,0
333,2684,0
334,2684,0
335,2601,0
336,2601,0
337,2685,0
338,2685,0
339,2687,0
340,2687,0
344,2803,0
345,2738,0
346,2601,0
347,2815,0
348,2815,0
349,2706,0
350,2826,0
351,2826,0
352,2601,0
353,2706,0
354,1642,0
355,2706,0
356,2706,0
357,2601,0
358,2706,0
359,1642,0
360,2831,0
361,2552,0
362,2836,0
363,2836,0
364,2552,0
365,2552,0
367,0,0
368,2850,0
369,2850,0
370,2706,0
371,2831,0
372,0,0
373,2907,0
374,2803,0
375,2175,0
376,2444,0
378,0,0
379,2771,0
380,2951,0
381,2951,0
382,2738,0
383,2953,0
384,2953,0
385,0,0
386,2933,0
387,2953,0
388,0,0
389,2963,0
390,2963,0
391,2694,0
392,2771,0
393,2979,0
394,2979,0
395,1533,0
396,1612,0
397,1498,0
398,1533,0
399,1599,0
400,1609,0
401,1616,0
402,1539,0
403,1620,0
404,1545,0
405,1533,0
406,1526,0
407,1503,0
408,1495,0
409,1495,0
410,1511,0
411,1511,0
412,1539,0
413,1539,0
414,1539,0
415,1539,0
416,1498,0
417,2962,0
418,2962,0
419,0,0
420,2961,0
421,2961,0
422,0,0
423,1478,0
424,1731,0
425,1730,0
426,1662,0
427,1662,0
428,1626,0
429,1617,0
430,1611,0
431,2965,0
432,2965,0
433,2771,0
434,2952,0
435,2952,0
436,0,0
437,2964,0
438,2964,0
439,2694,0
440,2966,0
441,2966,0
442,2771,0
443,1666,0
444,3003,0
445,3003,0
446,0,0
452,3038,0
453,3038,0
454,0,0
455,3077,0
456,3077,0
457,0,0
458,3079,0
459,3079,0
460,0,0
461,0,0
462,2916,0
463,2916,0
464,2916,0
465,0,0
466,0,0
467,0,0
468,3040,1
469,0,3
470,3040,2
471,0,3
472,2771,3
492,1,3
