ID,Name_lang,HordeName_lang,Charges,Effect[0],Effect[1],Effect[2],EffectPointsMin[0],EffectPointsMin[1],EffectPointsMin[2],EffectPointsMax[0],EffectPointsMax[1],EffectPointsMax[2],EffectArg[0],EffectArg[1],EffectArg[2],ItemVisual,Flags,Field_1_15_3_55112_009[0],Field_1_15_3_55112_009[1],Field_1_15_3_55112_009[2],Field_1_15_3_55112_010,ScalingClassRestricted,Field_1_15_3_55112_012,Field_1_15_3_55112_013,Field_1_15_3_55112_014,Field_1_15_3_55112_015,MinLevel,MaxLevel,Field_1_15_3_55112_018,ItemLevel,Field_1_15_3_55112_020,Field_1_15_3_55112_021
1,Rockbiter 3,,0,3,0,0,0,0,0,0,0,0,15568,0,0,61,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Frostbrand 1,,0,1,0,0,0,0,0,0,0,0,8034,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,Flametongue 3,,0,3,3,0,100,0,0,100,0,0,436519,415138,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,Flametongue 2,,0,3,3,0,100,0,0,100,0,0,436519,415138,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,Flametongue 1,,0,3,3,0,100,0,0,100,0,0,436519,415138,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,Rockbiter 2,,0,3,0,0,0,0,0,0,0,0,15567,0,0,61,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,Deadly Poison,,60,1,0,0,30,0,0,30,0,0,2818,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,Deadly Poison II,,75,1,0,0,30,0,0,30,0,0,2819,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,Poison (15 Dmg),,0,1,0,0,30,0,0,30,0,0,2820,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,Poison (20 Dmg),,0,1,0,0,30,0,0,30,0,0,2821,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,Poison (25 Dmg),,0,1,0,0,30,0,0,30,0,0,2822,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,Frostbrand 2,,0,1,0,0,0,0,0,0,0,0,8037,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,Sharpened +3,,0,2,0,0,3,0,0,3,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,Sharpened +4,,0,2,0,0,4,0,0,4,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,Reinforced Armor +8,,0,4,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,Reinforced Armor +16,,0,4,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,Reinforced Armor +24,,0,4,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,Reinforced Armor +32,,0,4,0,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,Weighted +2,,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,Weighted +3,,0,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,Weighted +4,,0,2,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,Crippling Poison,,0,1,0,0,30,0,0,30,0,0,3409,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,Mind-numbing Poison II,,75,1,0,0,20,0,0,20,0,0,8692,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,Mana +5,,0,3,0,0,0,0,0,0,0,0,7442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,Shadow Oil,,0,1,0,0,15,0,0,15,0,0,350026,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,Frost Oil,,0,1,0,0,10,0,0,10,0,0,350025,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,Sundered,,0,2,0,0,-10,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,+4 All Resistances,,0,3,0,0,0,0,0,0,0,0,7438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,Rockbiter 1,,0,3,0,0,0,0,0,0,0,0,10400,0,0,61,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,Scope (+1 Damage),,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,Beastslaying +4,,0,3,0,0,0,0,0,0,0,0,7433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,Scope (+2 Damage),,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,Scope (+3 Damage),,0,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,Counterweight +3% Attack Speed,,0,3,0,0,0,0,0,0,0,0,7217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,Mind Numbing Poison,,50,1,0,0,20,0,0,20,0,0,5760,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,Enchant: Fiery Blaze,,0,1,0,0,15,0,0,15,0,0,6297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,Weapon Chain - Immune Disarm,,0,3,0,0,0,0,0,0,0,0,7219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,Defense Skill +3,,0,3,0,0,0,0,0,0,0,0,7427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,Sharpened +1,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,Sharpened +2,,0,2,0,0,2,0,0,2,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,Health +5,,0,3,0,0,0,0,0,0,0,0,7419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,Poison (Instant 20),,0,1,0,0,10,0,0,10,0,0,6647,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,Iron Spike (8-12),,0,3,0,0,0,0,0,0,0,0,9784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,Absorption (10),,0,3,0,0,0,0,0,0,0,0,7445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,Absorption (25),,0,3,0,0,0,0,0,0,0,0,7446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,Spirit +3,,0,3,0,0,0,0,0,0,0,0,7450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,+1 All Resistances,,0,3,0,0,0,0,0,0,0,0,7452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,Stamina +1,,0,3,0,0,0,0,0,0,0,0,7455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
67,+1 Damage,,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,+1 Strength,,0,3,0,0,0,0,0,0,0,0,7464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,+2 Strength,,0,3,0,0,0,0,0,0,0,0,7465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,+3 Strength,,0,3,0,0,0,0,0,0,0,0,7466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71,+1 Stamina,,0,3,0,0,0,0,0,0,0,0,7477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,+2 Stamina,,0,3,0,0,0,0,0,0,0,0,7478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
73,+3 Stamina,,0,3,0,0,0,0,0,0,0,0,7479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,+1 Agility,,0,3,0,0,0,0,0,0,0,0,7471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75,+2 Agility,,0,3,0,0,0,0,0,0,0,0,7472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,+3 Agility,,0,3,0,0,0,0,0,0,0,0,7473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
77,+2 Damage,,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,+3 Damage,,0,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
79,+1 Intellect,,0,3,0,0,0,0,0,0,0,0,7468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80,+2 Intellect,,0,3,0,0,0,0,0,0,0,0,7469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
81,+3 Intellect,,0,3,0,0,0,0,0,0,0,0,7470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82,+1 Spirit,,0,3,0,0,0,0,0,0,0,0,7474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83,+2 Spirit,,0,3,0,0,0,0,0,0,0,0,7475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84,+3 Spirit,,0,3,0,0,0,0,0,0,0,0,7476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
85,+3 Armor,,0,4,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86,+8 Armor,,0,4,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87,+12 Armor,,0,4,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,+16 Armor,,0,4,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,+4 Agility,,0,3,0,0,0,0,0,0,0,0,7490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,+5 Agility,,0,3,0,0,0,0,0,0,0,0,7491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92,+6 Agility,,0,3,0,0,0,0,0,0,0,0,7492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,+7 Agility,,0,3,0,0,0,0,0,0,0,0,7493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
94,+4 Intellect,,0,3,0,0,0,0,0,0,0,0,7494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
95,+5 Intellect,,0,3,0,0,0,0,0,0,0,0,7495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
96,+6 Intellect,,0,3,0,0,0,0,0,0,0,0,7496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
97,+7 Intellect,,0,3,0,0,0,0,0,0,0,0,7497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
98,+4 Spirit,,0,3,0,0,0,0,0,0,0,0,7498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
99,+5 Spirit,,0,3,0,0,0,0,0,0,0,0,7499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100,+6 Spirit,,0,3,0,0,0,0,0,0,0,0,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
101,+7 Spirit,,0,3,0,0,0,0,0,0,0,0,7501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102,+4 Stamina,,0,3,0,0,0,0,0,0,0,0,7502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103,+5 Stamina,,0,3,0,0,0,0,0,0,0,0,7503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104,+6 Stamina,,0,3,0,0,0,0,0,0,0,0,7504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105,+7 Stamina,,0,3,0,0,0,0,0,0,0,0,7505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,+4 Strength,,0,3,0,0,0,0,0,0,0,0,7506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,+5 Strength,,0,3,0,0,0,0,0,0,0,0,7507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
108,+6 Strength,,0,3,0,0,0,0,0,0,0,0,7508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
