Name_lang,ID,Field_10_0_5_47118_002
,1,0
January: Begin Again,6,1
February: Caring and Sharing,7,2
March: Lookin' Good,8,3
April: Spring in your Step,9,4
May: Child's Play,10,5
June: Playing with Fire,11,6
July: Celebration!,12,7
August: Face Off!,13,8
September: Party Time,14,9
October: Spooky and Kooky,16,10
"November: The More, The Merrier",18,11
December: Chilling,19,12
January: Begin Again,20,13
February: New and Rekindled Love,21,14
March: Getting Fancy,22,15
April: Spring is in the Air,23,16
May: Flower Power,24,17
June: Summer Fun,25,18
July: The Dark Depths,26,19
August: The Spirit of Competition,27,20
September: Gather Your Crew,28,21
October: Light vs Dark,29,22
November: Iconic,30,23
December: Ice Try,31,24
January: Forward Progression,32,25
February: Moonlit Magnificence,33,26
March: Sparkles and Flair,34,27
April: Faire Game,35,28
May: Critter Country,36,29
June: Burning Hearts,37,30
July: Forsaken Memories,38,31
August: Either Or,39,32
September: Dwarven Charm,40,33
October: Fel Festivities,41,34
November: Bountiful Gifts,42,35
December: Frozen Hearts,43,36
