ID,Type,Flags,SpellID
3045,1,0,158263
4423,0,2,1459
4424,0,2,1460
4425,0,2,1461
4426,0,2,10156
4427,0,2,10157
4428,0,2,23028
4429,0,2,1243
4430,0,2,1244
4431,0,2,1245
4432,0,2,2791
4433,0,2,10937
4434,0,2,10938
4435,0,2,21562
4436,0,2,21564
4437,0,2,14752
4438,0,2,14818
4439,0,2,14819
4440,0,2,27841
4441,0,2,27681
4442,0,2,1126
4443,0,2,5232
4444,0,2,6756
4445,0,2,5234
4446,0,2,8907
4447,0,2,9884
4448,0,2,9885
4449,0,2,21849
4450,0,2,21850
4451,0,2,465
4452,0,2,10290
4453,0,2,643
4454,0,2,10291
4455,0,2,1032
4456,0,2,10292
4457,0,2,10293
4458,0,2,7294
4459,0,2,10298
4460,0,2,10299
4461,0,2,10300
4462,0,2,10301
4463,0,2,19746
4464,0,2,19876
4465,0,2,19895
4466,0,2,19896
4467,0,2,19888
4468,0,2,19897
4469,0,2,19898
4470,0,2,19891
4471,0,2,19899
4472,0,2,19900
4773,0,2,25392
4774,0,2,27127
4775,0,2,27126
4776,0,2,27149
4777,0,2,25312
4778,0,2,27153
4779,0,2,27152
4780,0,2,26991
4781,0,2,26990
4782,0,2,32999
4783,0,2,27150
4784,0,2,27151
4785,0,2,27683
4786,0,2,39374
4831,0,2,26992
4832,0,2,467
4833,0,2,782
4834,0,2,1075
4835,0,2,8914
4836,0,2,9756
4837,0,2,9910
4838,0,1,41635
4839,1,1,41635
5105,0,2,61316
5106,0,2,43002
5107,0,2,61024
5108,0,2,42995
5109,0,2,48942
5110,0,2,48941
5111,0,2,48073
5112,0,2,48947
5113,0,2,48945
5114,0,2,48943
5115,0,2,48470
5116,0,2,48469
5117,0,2,48162
5118,0,2,48074
5119,0,2,54043
