ID,DifficultyID,JournalEncounterItemID
39,1,9111
40,3,9111
41,1,9112
42,3,9112
43,2,9113
44,4,9113
45,2,9114
46,4,9114
47,1,9115
48,3,9115
49,2,9116
50,4,9116
51,2,9117
52,4,9117
53,2,9118
54,4,9118
55,1,9119
56,3,9119
57,2,9120
58,4,9120
59,2,9121
60,4,9121
61,1,9122
62,3,9122
63,2,9123
64,4,9123
65,2,9124
66,4,9124
67,1,9125
68,3,9125
69,2,9126
70,4,9126
71,1,9127
72,3,9127
73,1,9128
74,3,9128
75,1,9129
76,3,9129
77,1,9130
78,3,9130
79,2,9131
80,4,9131
81,2,9132
82,4,9132
83,2,9133
84,4,9133
85,1,9134
86,3,9134
87,2,9135
88,4,9135
89,2,9136
90,4,9136
91,2,9137
92,4,9137
93,1,9138
94,3,9138
95,1,9139
96,3,9139
97,1,9140
98,3,9140
99,2,9141
100,4,9141
101,2,9142
102,4,9142
103,2,9143
104,4,9143
105,2,9144
106,4,9144
107,1,9145
108,3,9145
109,1,9146
110,3,9146
111,2,9147
112,4,9147
113,1,9148
114,3,9148
115,1,9149
116,3,9149
117,2,9150
118,4,9150
119,2,9151
120,4,9151
123,2,9153
124,4,9153
125,2,9154
126,4,9154
127,2,9155
128,4,9155
129,2,9156
130,4,9156
131,2,9157
132,4,9157
133,2,9158
134,4,9158
137,2,9160
138,4,9160
139,1,9161
140,3,9161
141,2,9162
142,4,9162
143,1,9163
144,3,9163
145,2,9164
146,4,9164
147,1,9165
148,3,9165
149,2,9166
150,4,9166
151,2,9167
152,4,9167
153,2,9168
154,4,9168
155,1,9169
156,3,9169
157,2,9170
158,4,9170
159,2,9171
160,4,9171
161,1,9172
162,3,9172
163,1,9173
164,3,9173
165,2,9174
166,4,9174
167,1,9175
168,3,9175
169,2,9176
170,4,9176
171,1,9177
172,3,9177
173,2,9178
174,4,9178
175,2,9179
176,4,9179
177,2,9180
178,4,9180
179,2,9181
180,4,9181
181,1,9182
182,3,9182
183,2,9183
184,4,9183
185,1,9184
186,3,9184
187,1,9185
188,3,9185
189,2,9186
190,4,9186
191,1,9187
192,3,9187
193,2,9188
194,4,9188
195,2,9189
196,4,9189
197,1,9190
198,3,9190
199,2,9191
200,4,9191
201,2,9192
202,4,9192
203,2,9193
204,4,9193
205,1,9194
206,3,9194
207,2,9195
208,4,9195
209,2,9196
210,4,9196
211,2,9197
212,4,9197
213,1,9198
214,3,9198
217,2,9200
218,4,9200
219,2,9201
220,4,9201
221,2,9202
222,4,9202
223,2,9203
224,4,9203
225,2,9204
226,4,9204
227,1,9205
228,3,9205
229,1,9206
230,3,9206
231,1,9207
232,3,9207
233,1,9208
234,3,9208
235,1,9209
236,3,9209
237,2,9210
238,4,9210
239,2,9211
240,4,9211
241,1,9212
242,3,9212
243,2,9213
244,4,9213
245,2,9214
246,4,9214
247,2,9215
248,4,9215
249,1,9216
250,3,9216
251,2,9217
252,4,9217
253,2,9218
254,4,9218
255,2,9219
256,4,9219
257,2,9220
258,4,9220
259,1,9221
260,3,9221
261,1,9222
262,3,9222
263,1,9223
264,3,9223
265,1,9224
266,3,9224
267,1,9225
268,3,9225
269,2,9226
270,4,9226
273,1,9228
274,3,9228
275,1,9229
276,3,9229
277,2,9230
278,4,9230
279,1,9231
280,3,9231
281,2,9232
282,4,9232
283,2,9233
284,4,9233
287,2,9235
288,4,9235
289,1,9236
290,3,9236
291,2,9237
292,4,9237
293,2,9238
294,4,9238
295,2,9239
296,4,9239
297,2,9240
298,4,9240
299,1,9241
300,3,9241
301,1,9242
302,3,9242
