ID,Function,Type,Data,Flags
1,JUMP,0,79579,0
2,JUMP,1,43574,0
10,JUMP,0,129108,0
11,JUMP,0,129466,0
13,JUMP,0,136448,0
15,STRAFELEFT,0,140859,0
16,STRAFERIGHT,0,140860,0
17,TURNLEFT,0,140859,0
18,TURNRIGHT,0,140860,0
19,MOVEBACKWARD,0,140861,0
20,JUMP,0,52477,0
21,MOVEBACKWARD,0,52477,0
22,JUMP,0,148335,0
23,JUMP,0,143935,0
24,JUMP,0,164103,0
25,JUMP,0,169137,0
26,JUMP,0,172690,0
27,STRAFELEFT,0,194549,0
28,STRAFERIGHT,0,194550,0
29,TURNLEFT,0,194549,0
30,TURNRIGHT,0,194550,0
31,JUMP,0,92678,0
32,MOVEFORWARD,0,92678,0
33,JUMP,0,163887,0
34,JUMP,1,131347,0
35,MOVEFORWARD,0,92678,0
36,JUMP,0,92678,0
37,STRAFELEFT,0,92678,0
38,STRAFERIGHT,0,92678,0
39,MOVEBACKWARD,0,92678,0
40,JUMP,0,199453,0
41,JUMP,1,206768,0
42,STRAFELEFT,0,229456,0
43,STRAFERIGHT,0,229451,0
44,TURNLEFT,0,229456,0
45,TURNRIGHT,0,229451,0
46,MOVEBACKWARD,0,229455,0
47,MOVEFORWARD,0,229454,0
48,JUMP,0,234086,0
49,JUMP,0,247729,0
50,JUMP,0,248879,0
51,JUMP,0,248880,0
52,JUMP,0,248881,0
53,STRAFELEFT,0,251243,0
54,STRAFERIGHT,0,251244,0
55,TURNLEFT,0,251243,0
56,TURNRIGHT,0,251244,0
57,MOVEFORWARD,0,251240,0
58,MOVEBACKWARD,0,251242,0
59,JUMP,0,261019,0
60,JUMP,0,274516,0
163,JUMP,1,284741,0
164,TOGGLEBATTLEFIELDMINIMAP,0,284991,0
165,MOVEANDSTEER,0,13360,0
166,MOVEFORWARD,0,292038,0
167,JUMP,0,331381,0
168,JUMP,1,302771,0
169,JUMP,0,290193,0
170,JUMP,1,313056,0
171,TOGGLEWORLDMAP,0,319125,0
172,TOGGLEQUESTLOG,0,319125,0
173,JUMP,0,319125,0
174,MOVEBACKWARD,0,319125,0
176,JUMP,0,327762,0
177,JUMP,1,319125,0
178,STRAFELEFT,0,334372,0
179,TURNLEFT,0,334372,0
180,STRAFERIGHT,0,334373,0
181,TURNRIGHT,0,334373,0
182,MOVEFORWARD,0,334374,0
183,MOVEBACKWARD,0,334375,0
184,JUMP,0,346731,0
186,JUMP,1,351504,0
187,JUMP,1,351539,0
189,JUMP,0,351630,0
190,JUMP,1,351630,0
191,JUMP,0,355604,0
192,JUMP,1,356167,1
193,JUMP,1,357215,0
194,JUMP,1,357899,0
195,JUMP,1,357907,0
196,JUMP,0,357924,0
197,MOVEFORWARD,0,52477,0
198,MOVEBACKWARD,0,52477,0
199,JUMP,0,357989,0
200,JUMP,0,358018,0
201,JUMP,1,358733,0
202,TURNRIGHT,0,359845,0
203,TURNLEFT,0,359881,0
204,STRAFERIGHT,0,359845,0
205,STRAFELEFT,0,359881,0
206,MOVEFORWARD,0,359882,0
207,MOVEBACKWARD,0,359883,0
208,JUMP,0,359882,0
210,JUMP,1,360954,0
214,MOVEFORWARD,0,371200,0
215,JUMP,1,371418,0
216,JUMP,0,371820,0
218,JUMP,1,374763,3
219,JUMP,0,378087,0
226,JUMP,0,383189,0
227,JUMP,0,384258,0
228,TOGGLEWORLDMAP,0,385456,0
229,JUMP,0,388936,0
230,JUMP,0,389044,0
232,JUMP,0,396765,0
233,JUMP,0,398222,3
235,JUMP,0,400525,0
238,JUMP,0,401985,0
240,JUMP,0,405844,3
241,JUMP,0,405845,3
242,JUMP,0,405846,3
243,JUMP,0,405848,3
244,JUMP,0,0,0
245,JUMP,0,411568,0
246,JUMP,0,412847,0
247,JUMP,0,418631,0
248,JUMP,0,419198,0
249,JUMP,1,423859,3
250,JUMP,1,424987,3
251,JUMP,0,430339,0
252,JUMP,0,431351,0
253,JUMP,1,430339,0
254,JUMP,1,433783,0
255,JUMP,1,433784,0
256,JUMP,0,446643,0
257,JUMP,0,448881,0
258,JUMP,0,449590,0
259,SITMOVEDOWN,0,453563,0
260,JUMP,0,457424,0
261,JUMP,0,457276,0
262,JUMP,0,462633,0
263,JUMP,1,457276,0
264,JUMP,0,465888,0
265,TURNLEFT,0,92678,0
266,TURNRIGHT,0,92678,0
268,JUMP,0,0,0
269,JUMP,0,1217487,0
