ID,FileDataID,TopTextureBlendSetID,BotTextureBlendSetID,ModX,InnerRadius,OuterRadius,Rim,Gain,Field_10_0_0_45141_008,Flags,Scale,FadeIn,FadeOut,Priority,BlendMode,GameFlags,CasterDecalPropertiesID,ArbitraryBoxHeight,Field_9_0_1_33978_018,Field_9_0_1_33978_019,Field_10_0_0_45232_020,Field_10_0_0_45232_021,Field_11_2_0_61476_022,Field_11_2_0_61476_023,Field_11_2_0_61476_024,Field_9_0_1_33978_020[0],Field_9_0_1_33978_020[1],Field_9_0_1_33978_020[2],Field_9_0_1_33978_020[3],Field_9_0_1_33978_021[0],Field_9_0_1_33978_021[1],Field_9_0_1_33978_021[2],Field_9_0_1_33978_021[3],Field_10_0_0_45232_024[0],Field_10_0_0_45232_024[1],Field_10_0_0_45232_024[2],Field_10_0_0_45232_024[3]
13,0,29,30,4,2,2,-2,4,-2,0,1,0.5,0.5,75,0,0,0,1,1344,1344,1344,0,0,0,0,1,-1,0,0,1,-1,0,0,1,-1,0,0
485,0,1147,0,1,0.8,0.07,1,2,0,41,1,4.25,0.5,75,0,0,0,10,1344,1344,1344,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0
491,0,1163,1164,4,0.8,1.1,1,3,-2,40,1,0.25,0.75,75,0,0,0,10,1344,1344,1344,0.04,0,0,0,1,-1,0,0,1,-1,0,0,1,-1,0,0
634,0,1491,1491,1,0.8,0.07,1,2,0,41,1,4.25,0.5,75,0,0,0,10,1344,1344,78137,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0
654,0,1147,0,1,0.8,0.07,1,2,0,41,1,4.25,0.5,75,0,0,0,10,1344,1344,79564,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0
670,0,1561,1562,1,0.7,1,-0.5,1.25,0,41,1,1,1,0,0,0,0,10,1344,1344,81442,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0
890,0,1147,0,1,0.8,0.07,1,2,0,41,1,4.25,0.5,75,0,0,0,10,1344,1344,100629,0,0,0,0,1,-1,0,0,1,-1,0,0,1,-1,0,0
891,0,6958,0,1,-0.6,1.7,0,3,0,128,1,1,1,75,0,0,0,10,1344,1344,1344,0,5,3,0,1,-1,0,0,1,-1,0,0,1,-1,0,0
904,0,7306,7307,1,2,1.2,-2,4,0,128,1,1,1,75,0,0,0,10,1344,1344,1344,0,0,0,0,1,-1,0,0,1,-1,0,0,1,-1,0,0
906,0,7320,7321,1,2,1.2,-1,1,0,128,1,1,1,75,0,0,0,10,1344,1344,1344,0,0,0,0,1,-1,0,0,1,-1,0,0,1,-1,0,0
907,0,7332,7333,1,2,1.2,-1,3,0,128,1,1,1,75,0,0,0,10,1344,1344,1344,0,0,0,0,1,-1,0,0,1,-1,0,0,1,-1,0,0
908,0,7344,7345,1,2,1.2,-1,1,0,128,1,1,1,75,0,0,0,10,1344,1344,1344,0,0,0,0,1,-1,0,0,1,-1,0,0,1,-1,0,0
910,0,7350,7351,1,1,0,0,1,0,128,1,1,1,75,0,0,0,10,1344,1344,1344,0,0,0,0,1,-1,0,0,1,-1,0,0,1,-1,0,0
911,0,7350,7351,1,1,0,0,1,0,128,1,1,1,75,0,0,0,10,1344,1344,1344,0,0,0,0,1,-1,0,0,1,-1,0,0,1,-1,0,0
912,0,7354,7355,1,1,0,0,1,0,128,1,1,1,75,0,0,0,10,1344,1344,1344,0,0,0,0,1,-1,0,0,1,-1,0,0,1,-1,0,0
915,0,7364,7364,1,1,4,1,1,0.1,0,1,1,1,75,0,0,0,10,1344,1344,1344,0,0,0,0,1,-1,0,0,1,-1,0,0,1,-1,0,0
939,0,0,0,1,10,10,0,0,0,33,1,0,0,0,1,0,0,10,1344,1344,1344,0,0,0,0,1,-1,0,0,1,-1,0,0,1,-1,0,0
964,0,0,0,1,50,50,0,0,0,33,1,0,0,0,1,0,0,10,1344,1344,1344,0,0,0,0,1,-1,0,0,1,-1,0,0,1,-1,0,0
965,0,0,0,1,100,100,0,0,0,33,1,0,0,0,1,0,0,10,1344,1344,1344,0,0,0,0,1,-1,0,0,1,-1,0,0,1,-1,0,0
