ID,CreatureID,PetDisplayID,PetFamilyID,CharacterLoadoutID
199,0,70260,26,1350
200,0,4449,23,1352
201,0,61927,2,1355
202,0,74899,151,1356
203,0,76591,32,1357
204,0,4449,23,1366
205,0,8180,52,1372
206,0,52602,1,1373
207,0,4449,23,1385
208,0,91332,138,1396
209,0,78253,35,1405
210,0,68853,154,1406
211,0,4449,23,1411
212,0,4449,23,1412
213,165189,81080,26,1415
260,165189,52602,1,1026
261,165189,52602,1,1024
276,0,4449,23,1736
277,0,4449,23,1737
278,0,4449,23,1738
279,0,4449,23,1739
280,0,4449,23,1740
