ID,ItemButtonName,SlotIconFileID,SlotNumber
1,HeadSlot,136516,1
2,NeckSlot,136519,2
3,ShoulderSlot,136526,3
4,ShirtSlot,136525,4
5,ChestSlot,136512,5
6,WaistSlot,136529,6
7,LegsSlot,136517,7
8,FeetSlot,136513,8
9,WristSlot,136530,9
10,HandsSlot,136515,10
11,Finger0Slot,136514,11
12,Finger1Slot,136514,12
13,Trinket0Slot,136528,13
14,Trinket1Slot,136528,14
15,BackSlot,136512,15
16,MainHandSlot,136518,16
17,SecondaryHandSlot,136524,17
18,RangedSlot,136520,18
19,TabardSlot,136527,19
21,Bag1,136511,64
22,Bag2,136511,65
23,Bag3,136511,66
24,Bag4,136511,67
25,Bag5,136511,68
26,Bag6,136511,69
27,Bag7,136511,70
28,Bag8,136511,71
29,Bag9,136511,72
30,Bag10,136511,73
31,Bag11,136511,74
32,Bag12,136511,75
36,Bag0Slot,136511,31
37,Bag1Slot,136511,32
38,Bag2Slot,136511,33
39,Bag3Slot,136511,34
40,AmmoSlot,136520,0
148,Prof0ToolSlot,4760248,20
149,Prof0Gear0Slot,4760248,21
150,Prof0Gear1Slot,4760248,22
151,Prof1ToolSlot,4760248,23
152,Prof1Gear0Slot,4760248,24
153,Prof1Gear1Slot,4760248,25
154,CookingToolSlot,4760248,26
155,CookingGear0Slot,4760248,27
156,FishingToolSlot,4760248,28
157,FishingGear0Slot,4760248,29
158,FishingGear1Slot,4760248,30
159,ReagentBag0Slot,136511,35
