ID,ChrModelID,ChrCustomizationReqID,PlayerConditionID,Flags,ChrCustomizationCategoryID
1,148,365,0,1,21
2,176,365,0,1,37
3,180,365,0,1,39
4,181,365,0,1,42
5,182,365,0,1,43
6,183,365,0,1,44
7,184,365,0,1,45
8,123,0,133682,24,61
9,124,0,133684,24,52
10,129,0,133685,24,53
11,126,0,133686,24,54
12,125,0,133687,24,55
13,149,0,133688,24,56
14,186,0,133689,24,57
15,189,147,117121,2,6
16,188,0,133690,24,58
17,190,147,117122,2,7
18,191,147,117126,2,9
19,192,147,117124,2,10
20,193,147,117127,2,11
21,194,147,117128,2,12
27,197,365,0,1,47
28,198,365,0,1,48
54,202,0,133691,24,59
64,206,0,133692,24,60
