ID,ChallengeModeRewardID,MapChallengeModeID
74,93,2
75,93,56
76,93,57
77,93,58
78,93,59
79,93,60
80,93,76
81,93,77
82,93,78
83,94,2
84,94,56
85,94,57
86,94,58
87,94,59
88,94,60
89,94,76
90,94,77
91,94,78
92,95,2
93,95,56
94,95,57
95,95,58
96,95,59
97,95,60
98,95,76
99,95,77
100,95,78
101,96,2
102,96,56
103,96,57
104,96,58
105,96,59
106,96,60
107,96,76
108,96,77
109,96,78
110,97,2
111,97,56
112,97,57
113,97,58
114,97,59
115,97,60
116,97,76
117,97,77
118,97,78
119,98,2
120,98,56
121,98,57
122,98,58
123,98,59
124,98,60
125,98,76
126,98,77
127,98,78
128,99,2
129,99,56
130,99,57
131,99,58
132,99,59
133,99,60
134,99,76
135,99,77
136,99,78
137,100,2
138,100,56
139,100,57
140,100,58
141,100,59
142,100,60
143,100,76
144,100,77
145,100,78
147,103,2
148,103,56
149,103,57
150,103,58
151,103,59
152,103,60
153,103,76
154,103,77
155,103,78
156,102,2
157,102,56
158,102,57
159,102,58
160,102,59
161,102,60
162,102,76
163,102,77
164,102,78
165,104,2
166,104,56
167,104,57
168,104,58
169,104,59
170,104,60
171,104,76
172,104,77
173,104,78
174,105,2
175,105,56
176,105,57
177,105,58
178,105,59
179,105,60
180,105,76
181,105,77
182,105,78
183,106,2
184,106,56
185,106,57
186,106,58
187,106,59
188,106,60
189,106,76
190,106,77
191,106,78
192,107,2
193,107,56
194,107,57
195,107,58
196,107,59
197,107,60
198,107,76
199,107,77
200,107,78
201,108,2
202,108,56
203,108,57
204,108,58
205,108,59
206,108,60
207,108,76
208,108,77
209,108,78
224,112,2
225,112,56
226,112,57
227,112,58
228,112,59
229,112,60
230,112,76
231,112,77
232,112,78
233,113,2
234,113,56
235,113,57
236,113,58
237,113,59
238,113,60
239,113,76
240,113,77
241,113,78
242,114,2
243,114,56
244,114,57
245,114,58
246,114,59
247,114,60
248,114,76
249,114,77
250,114,78
