ID,ModelName,GeoBox[0],GeoBox[1],GeoBox[2],GeoBox[3],GeoBox[4],GeoBox[5],FileDataID,ObjectEffectPackageID,OverrideLootEffectScale,OverrideNameScale,Field_1_15_4_56400_006
1,World\Generic\ActiveDoodads\Chest02\Chest02.mdx,-0.26073328,-0.45122895,0.0074184677,0.26061738,0.44935983,0.6864135,196979,0,0,0,0
2,World\Generic\Orc\Passive Doodads\WantedPosters\WantedPosterStuck01.mdx,-0.32545474,-0.33729446,0.0014874466,0.3507911,0.31053096,0.99064606,199426,0,0,0,0
3,World\Azeroth\Stranglethorn\Buildings\TrollWatchTower\TrollWatchTower.mdx,-5.3587046,-6.2068734,-0.018553602,7.331823,6.69399,14.530236,190175,0,0,0,0
4,World\Generic\Human\Passive Doodads\Wardrobe\DuskwoodWardrobe02.mdx,-0.3198101,-0.9863999,0.004529507,1.0944186,0.9939026,2.8029408,198634,0,0,0,0
5,World\Generic\Troll\Passive Doodads\TrollTablets\TrollTablet.mdx,-0.76551574,-1.6526741,-0.30177286,0.05226283,1.6281916,4.4329247,200640,0,0,0,0
6,World\Azeroth\Elwynn\PassiveDoodads\Statue\LionStatue.mdx,-4.303809,-5.1949854,-1.0001191,4.28994,4.9612637,12.124715,189908,0,0,0,0
7,World\Azeroth\Elwynn\PassiveDoodads\jugs\jug02.mdx,-0.26655567,-0.2645531,0.0027142458,0.25674373,0.26863176,0.65079683,189821,0,0,0,0
8,World\Generic\Human\Passive Doodads\Footlockers\DuskwoodFootLocker01.mdx,-0.30524224,-0.6988019,-0.005983777,0.3033076,0.690087,0.46764046,198238,0,0,0,0
9,World\Generic\PassiveDoodads\Barrel\BrokenBarrel02.mdx,-1.2347351,-0.5800236,-0.035214752,0.42883316,0.81566906,1.0184832,199567,0,0,0,0
10,World\Generic\ActiveDoodads\Chest01\Chest01.mdx,-0.39367023,-0.5908163,0.012198171,0.39355436,0.58895504,0.63073164,196976,0,0,0,0
11,World\Generic\Human\Passive Doodads\Sarcophagi\Sarcophagus.mdx,-1.6327696,-0.5471354,-0.21628433,1.4697015,0.56848955,1.0122513,198445,0,0,0,0
12,World\Azeroth\Duskwood\PassiveDoodads\Tombs\WoodCross02.mdx,-0.11186711,-0.35378963,-0.2988583,0.11960421,0.386132,2.008659,189541,0,0,0,0
13,WORLD\GENERIC\HUMAN\ACTIVEDOODADS\DOORS\FARMDOOR01TEST.MDX,-2.81626,-0.418783,-1.70882,0.0410669,0.418783,1.70882,197807,0,0,0,0
14,World\Generic\Human\Passive Doodads\Meat\BloodyMeat01.mdx,-1.1866013,-1.1098127,-0.348854,0.80661875,0.9310319,1.1826123,198343,0,0,0,0
15,WORLD\GENERIC\ORC\PASSIVE DOODADS\WANTEDPOSTERS\WANTEDPOSTERSCROLL01.MDX,-0.10644483,-0.68075246,0.80249524,0.22540037,0.7049428,2.8060007,199424,0,0,0,0
17,World\Generic\Orc\Passive Doodads\WantedPosters\WantedPosterFramed01.mdx,-0.21421577,-0.5067237,-1.652187,0.11620184,0.5224805,2.4974272,199421,0,0,0,0
18,World\Azeroth\Westfall\PassiveDoodads\Crate\WestFallCrate.mdx,-0.42892313,-0.7637713,0.0033449298,0.42892313,0.7640065,0.5033449,190543,0,0,0,0
19,World\Azeroth\Duskwood\PassiveDoodads\Tombs\TombStone07.mdx,-0.21944447,-0.5083334,-0.14763239,0.21944447,0.5083334,1.4261128,189534,0,0,0,0
20,World\Azeroth\Duskwood\PassiveDoodads\Tombs\DirtMound01.mdx,-1.6928806,-1.0636394,-0.010464747,1.6928806,1.0042584,0.66691935,189528,0,0,0,0
21,World\Generic\Orc\Passive Doodads\Jars\JarOrc02.mdx,-0.20790155,-0.24486396,0,0.20705934,0.23429152,0.5509838,199180,0,0,0,0
22,World\Generic\Human\Passive Doodads\SignPosts\WoodSignPointerWorn01.mdx,0.41762933,-0.9848747,2.660958,0.6507019,1.2925855,3.518984,198479,0,0,0,0
25,World\Generic\PassiveDoodads\BindStone\NewBindStone.mdx,-2.0301125,-3.055414,-0.23933427,2.5925093,3.023229,9.040523,199571,0,0,0,0
26,World\Generic\Human\Passive Doodads\SignPosts\WoodSignPointerNice01.mdx,-0.09028915,-0.8076245,3.4631574,0.0902899,0.8648584,3.9073818,198478,0,0,0,0
27,World\Generic\Human\Passive Doodads\SignPosts\StoneSignPointer01.mdx,-0.16612008,-0.8465595,2.8460808,0.16611663,1.409833,3.9066548,198476,0,0,0,0
28,World\Generic\ActiveDoodads\Bushes\BerryBush01.mdx,-1.4279913,-1.9914178,-0.55691016,1.4365703,1.5392828,2.2626545,196975,0,0,0,0
30,World\Generic\Human\Passive Doodads\GunShop\GunShopPowderKegOpen.mdx,-0.35589322,-0.34772417,-0.0003886499,0.35538518,0.36983815,1.09105,198280,0,0,0,0
31,World\Generic\Human\Passive Doodads\Crates\StormwindCrate01.mdx,-0.636226,-0.693032,0.002947,0.63068,0.659836,1.243901,198168,0,0,0,0
32,World\Generic\PassiveDoodads\Barrel\Barrel01.mdx,-0.430319,-0.46780607,-0.001255753,0.42883322,0.5242575,0.99206364,199563,0,0,0,0
33,World\Generic\Dwarf\Passive Doodads\PowderKegs\PowderKeg01.mdx,-0.3087367,-0.36066118,-0.0012088743,0.30960143,0.3533341,0.9676722,197463,0,0,0,0
36,World\Generic\Human\Passive Doodads\CargoBoxes\DeadMineCargoBoxes.mdx,-1.2782434,-1.1433349,-0.02149,1.2942079,1.1195303,1.7595572,198085,0,0,0,0
39,World\Generic\Human\Passive Doodads\Chairs\GeneralChairLoEnd01.mdx,-0.9985464,-0.5532056,-0.0069886735,0.17892952,0.5532056,1.3278188,198115,0,0,0,0
41,World\Generic\ActiveDoodads\Chest03\Chest03.mdx,-0.3946011,-0.5906366,0.0050239707,0.39359954,0.5891347,0.62355745,196982,0,0,0,0
42,World\Generic\PassiveDoodads\ParticleEmitters\Bubbles01.mdx,-0.04906522,-0.026797706,-0.12109252,0.047085136,0.056470938,-0.0617915,199932,0,0,0,0
43,World\Generic\Human\Passive Doodads\BookStacks\GeneralBookStackTall01.mdx,-0.53545326,-0.23256649,-0.0006548567,0.2594887,0.61724836,0.7111038,198056,0,0,0,0
45,World\Generic\PassiveDoodads\ParticleEmitters\Blacksmith_smoke.mdx,0,0,0,0,0,0,199929,0,0,0,0
47,World\Azeroth\SwampOSorrow\PassiveDoodads\Plants\SwampSorrowRoot03.mdx,-1.292971,-1.1787139,-0.60938,1.2929713,1.8072754,3.7995737,190384,0,0,0,0
48,World\Generic\ActiveDoodads\Rocks\GemRock01.mdx,-2.012936,-2.029193,-2.3395786,1.0192996,2.0585468,3.6097102,197038,0,0,0,0
49,World\Lordaeron\TirisfalGlade\PassiveDoodads\Graves\TirisfallGraveDirtMound01.mdx,-2.1728973,-2.1873965,-0.5527104,2.192411,2.1779118,0.8319431,204112,0,0,0,0
51,World\Generic\PassiveDoodads\Furniture\Containers\TitanChest.mdx,-1.7046778,-2.409838,-0.158941,1.3534986,2.428247,2.1895323,199748,0,0,0,0
52,World\Generic\PassiveDoodads\Furniture\Containers\TitanVase01.mdx,-1.2093744,-1.2365979,-0.08822134,1.2563982,1.2291747,3.1479752,199751,0,0,0,0
53,World\Generic\PassiveDoodads\Furniture\Containers\TitanVase02.mdx,-0.6838904,-0.69697195,-0.06074598,0.73091406,0.71783245,3.1754506,199753,0,0,0,0
56,World\Generic\Dwarf\Passive Doodads\Steins\DwarvenStein02.mdx,-0.146553,-0.192744,0.00271667,0.150837,0.276062,0.632111,197552,0,0,0,0
58,World\Azeroth\Elwynn\PassiveDoodads\BattleGladeShield1\BattleGladeShield1.mdx,-0.5891189,-0.7421388,-0.0051800488,1.0755703,0.46249193,0.09970146,189676,0,0,0,0
