ID,Stage,DurationMs,SpellEmpowerID
1,0,1000,1
2,1,750,1
3,2,750,1
4,0,1000,2
5,1,750,2
6,2,750,2
7,0,1000,3
8,1,750,3
9,2,750,3
10,0,1000,4
11,1,750,4
12,2,750,4
13,0,1000,5
14,1,750,5
15,2,750,5
16,0,1000,6
17,1,750,6
18,2,750,6
477,0,750,12
478,1,750,12
480,2,750,12
481,3,2000,12
482,0,750,13
483,1,750,13
484,2,2000,13
486,0,1000,14
487,1,750,14
488,2,750,14
489,0,1000,15
490,1,750,15
491,2,750,15
492,3,750,15
493,0,1000,16
494,1,750,16
495,2,750,16
496,3,750,16
497,0,1000,17
498,1,750,17
499,2,750,17
500,3,750,17
501,0,1000,18
502,1,750,18
503,2,750,18
504,3,750,18
505,0,1000,19
506,1,750,19
507,2,750,19
508,0,5,20
509,1,1000,20
510,2,1000,20
511,0,1000,21
512,1,750,21
513,2,750,21
516,0,1000,24
517,1,750,24
518,2,750,24
525,0,1000,27
526,1,750,27
527,2,750,27
537,0,1000,28
538,1,750,28
539,2,750,28
543,0,1000,29
544,1,750,29
545,2,750,29
552,0,1000,30
553,1,750,30
554,2,750,30
598,0,1000,36
599,1,750,36
600,2,750,36
601,3,750,36
